Lista;Grupo;FamIlia;Especie.Simplificado;NomeComum;CategoriaAmeaCa;Status;Bioma;PrincipaisAmeacas;PresencaAreasProtegidas;PAN;OrdenamentoPesqueiro ;Nivel.Protecao.Estrategia.Nacional;Especie.exclusiva.Brasil;EstadosOcorrencia
Flora;Angiospermas;Salicaceae;Abatia angeliana;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Sim;PR
Fauna;Aves;Cracidae;Aburria jacutinga;Jacutinga;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Extracao Florestal";Sim;Não;Não;4;Não;"BA; ES; MG; PR; RJ; RS; SC; SP"
Flora;Angiospermas;Malvaceae;Abutilon anodoides;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Assentamentos Humanos: Cidades;Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Malvaceae;Abutilon nigricans;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;SP
Flora;Angiospermas;Santalaceae;Acanthosyris paulo-alvinii;-;Vulnerável (VU);VU;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos), Extração de Madeira, Agropecuária;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Myrtaceae;Accara elegans;-;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";Mineração, Desenvolvimento e Infraestrutura;Sim;Sim;Não;3;Não;MG
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis cornicauda;Libélula;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Poluição";Sim;Não;Não;2;Sim;"BA; ES"
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis mourei;Libélula;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;2;Sim;ES
Fauna;Invertebrados Terrestres;Hypogastruridae;Acherontides eleonorae;Colêmbolo;Em Perigo (EN);EN;Mata Atlântica;"Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Econômicas:Turismo";Sim;Não;Não;3;Sim;"PR; SP"
Flora;Angiospermas;Plantaginaceae;Achetaria caparaoense;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Queimadas;Sim;Não;Não;2;Sim;"ES; MG"
Flora;Angiospermas;Plantaginaceae;Achetaria latifolia;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Assentamentos Humanos: Cidades, Desenvolvimento e Infraestrutura;Sim;Sim;Não;2;Sim;"ES; MG; RJ"
Fauna;Peixes Marinhos;Achiridae;Achirus mucuri;Solha;Vulnerável (VU);VU;Mata Atlântica;"Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Poluição Assoreamento";Sim;Não;Não;1;Sim;BA
Flora;Angiospermas;Orchidaceae;Acianthera adiri;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;PR
Flora;Angiospermas;Orchidaceae;Acianthera heringeri;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"ES; MG; RJ"
Flora;Angiospermas;Orchidaceae;Acianthera langeana;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;PR
Flora;Angiospermas;Orchidaceae;Acianthera papillosa;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Agropecuária, Turismo/Recreação;Sim;Sim;Não;3;Informação não disponível;"BA; CE; PE; ES; MG; SP; RS"
Flora;Angiospermas;Asteraceae;Acmella pusilla;-;Em Perigo (EN);EN;Pampa;Agropecuária, Queimadas;Sim;Não;Não;2;Não;"PR; RS"
Flora;Angiospermas;Asteraceae;Acritopappus catolesensis;-;Vulnerável (VU);VU;Caatinga;Queimadas, Extração de Madeira, Assentamentos Humanos: Cidades;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Asteraceae;Acritopappus connatifolius;-;Em Perigo (EN);EN;Caatinga;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Asteraceae;Acritopappus irwinii;-;Vulnerável (VU);VU;Caatinga Cerrado;Vazio;Sim;Sim;Não;2;Informação não disponível;MG
Flora;Angiospermas;Asteraceae;Acritopappus pintoi;-;Criticamente em Perigo (CR);CR;Caatinga;Queimadas;Não;Não;Não;1;Sim;BA
Fauna;Aves;Furnariidae;Acrobatornis fonsecai;Acrobata;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;"BA; MG"
Flora;Angiospermas;Arecaceae;Acrocomia emensis;-;Vulnerável (VU);VU;Cerrado;Agropecuária, Queimadas, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Informação não disponível;"GO; MS; MG; SP; PR"
Flora;Angiospermas;Eriocaulaceae;Actinocephalus cipoensis;-;Criticamente em Perigo (CR);CR;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos), Agropecuária;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Eriocaulaceae;Actinocephalus claussenianus;-;Vulnerável (VU);VU;Cerrado;Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Sim;MG
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote quadra;Borboleta-palha;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;3;Sim;RJ
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote zikani;Borboleta;Criticamente em Perigo (CR);CR;Mata Atlântica;Poluição;Sim;Sim;Não;2;Sim;SP
Flora;Angiospermas;Orchidaceae;Adamantinia miltonioides;-;Criticamente em Perigo (CR);CR;Caatinga;Vazio;Sim;Não;Não;3;Sim;BA
Fauna;Invertebrados Terrestres;Baetidae;Adebrotus lugoi;Siriruia;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;ES
Fauna;Anfíbios;Eleutherodactylidae;Adelophryne maranguapensis;Desconhecido;Vulnerável (VU);VU;Caatinga;"Agropecuária; Assentamento Humano:cidades";Não;Sim;Não;2;Sim;CE
Flora;Angiospermas;Bignoniaceae;Adenocalymma dichilum;-;Em Perigo (EN);EN;Caatinga;Extração para Combustível, Agropecuária;Sim;Não;Não;2;Sim;"PI; CE; MG; BA"
Flora;Angiospermas;Bignoniaceae;Adenocalymma fruticosum;-;Em Perigo (EN);EN;Cerrado;Queimadas;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Bignoniaceae;Adenocalymma magnoalatum;-;Em Perigo (EN);EN;Mata Atlântica;Queimadas;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Bignoniaceae;Adenocalymma ubatubense;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"RJ; SP"
Flora;Angiospermas;Euphorbiaceae;Adenophaedra cearensis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;CE
Flora;Pteridófitas;Pteridaceae;Adiantum diphyllum;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária, Plantação de Madereiras;Sim;Não;Não;2;Sim;BA
Flora;Pteridófitas;Pteridaceae;Adiantum discolor;-;Em Perigo (EN);EN;Mata Atlântica;Plantação de Madereiras, Agropecuária;Sim;Não;Não;2;Sim;BA
Flora;Pteridófitas;Pteridaceae;Adiantum mynsseniae;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Plantação de Madereiras;Sim;Não;Não;2;Sim;"MG; RJ; SP"
Flora;Pteridófitas;Pteridaceae;Adiantum papillosum;-;Em Perigo (EN);EN;Mata Atlântica;Turismo/Recreação, Agropecuária;Sim;Não;Não;2;Informação não disponível;"PR; RJ; ES; MG"
Flora;Pteridófitas;Pteridaceae;Adiantum tetragonum;-;Em Perigo (EN);EN;Mata Atlântica;Plantação de Madereiras;Sim;Não;Não;2;Informação não disponível;"BA; MG"
Flora;Angiospermas;Bromeliaceae;Aechmea alopecurus;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Queimadas;Não;Não;Não;1;Sim;"BA; MG"
Flora;Angiospermas;Bromeliaceae;Aechmea amicorum;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Fatores Intrínsecos;Sim;Não;Não;2;Sim;"BA; ES"
Flora;Angiospermas;Bromeliaceae;Aechmea apocalyptica;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Extração Direta;Sim;Não;Não;2;Sim;"SC; SP; PR; SC"
Flora;Angiospermas;Bromeliaceae;Aechmea azurea;-;Vulnerável (VU);VU;Mata Atlântica;Agropecuária, Espécies Invasoras, Extração direta/Coleta;Sim;Não;Não;2;Sim;"BA; ES"
Flora;Angiospermas;Bromeliaceae;Aechmea bambusoides;-;Vulnerável (VU);VU;Mata Atlântica;Vazio;Sim;Não;Não;2;Informação não disponível;"MG; RJ"
Flora;Angiospermas;Bromeliaceae;Aechmea cariocae;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Distribuição Restrita;Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Bromeliaceae;Aechmea castanea;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Bromeliaceae;Aechmea depressa;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"BA; ES"
Flora;Angiospermas;Bromeliaceae;Aechmea echinata;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Distribuição Restrita;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Bromeliaceae;Aechmea fosteriana;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Distribuição Restrita;Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Bromeliaceae;Aechmea gustavoi;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"BA; PE; AL"
Flora;Angiospermas;Bromeliaceae;Aechmea kertesziae;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Sim;Não;2;Sim;SC
Flora;Angiospermas;Bromeliaceae;Aechmea kleinii;-;Em Perigo (EN);EN;Mata Atlântica;Extração de Não Madereiras;Sim;Não;Não;2;Sim;"SC; RS"
Flora;Angiospermas;Bromeliaceae;Aechmea macrochlamys;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Bromeliaceae;Aechmea marginalis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Baixa Densidade;Sim;Não;Não;2;Sim;AL
Flora;Angiospermas;Bromeliaceae;Aechmea muricata;-;Em Perigo (EN);EN;Mata Atlântica;Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Sim;"PE; AL; RN"
Flora;Angiospermas;Bromeliaceae;Aechmea mutica;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos), Distribuição Restrita;Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Bromeliaceae;Aechmea orlandiana;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Extração de Não Madereiras;Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Bromeliaceae;Aechmea sphaerocephala;-;Em Perigo (EN);EN;Mata Atlântica;Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Sim;"ES; RJ"
Flora;Angiospermas;Bromeliaceae;Aechmea triangularis;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"ES; PR"
Flora;Angiospermas;Bromeliaceae;Aechmea vanhoutteana;-;Vulnerável (VU);VU;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"MG; RJ; SP"
Flora;Angiospermas;Bromeliaceae;Aechmea werdermannii;-;Em Perigo (EN);EN;"Caatinga; Mata Atlântica";Distúrbio Humano;Sim;Não;Não;2;Sim;"PE; AL; RN"
Flora;Angiospermas;Bromeliaceae;Aechmea winkleri;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Extração de Não Madereiras;Sim;Não;Não;2;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla brevipalma;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla camargoi;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla cavernicola;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Poluição";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla franca;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte";Não;Sim;Não;1;Sim;"MG; SP"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla grisella;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Transporte; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inconspicua;Egla;Vulnerável (VU);VU;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inermis;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Transporte; Poluição";Sim;Sim;Não;2;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla itacolomiensis;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla lata;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Poluição; Queimadas";Não;Sim;Não;1;Sim;PR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leachi;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptochela;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Mineracao; Outras Atividades Econômicas:Turismo";Não;Não;Não;1;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptodactyla;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla ligulata;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Poluição";Sim;Sim;Não;2;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla manuinflata;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla microphthalma;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Mineracao";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla oblata;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla obstipa;Egla;Em Perigo (EN);EN;Pampa;"Agropecuária; Poluição; Poluição Assoreamento";Não;Não;Não;0;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla perobae;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;Poluição;Sim;Sim;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla plana;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla pomerana;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Turismo";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla renana;Egla;Criticamente em Perigo (CR);CR;Pampa;Poluição;Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla rossiana;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinipalma;Egla;Vulnerável (VU);VU;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinosa;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla strinatii;Egla;Em Perigo (EN);EN;Mata Atlântica;Assentamento Humano:rurais;Sim;Sim;Não;1;Sim;"PR; SP"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla violacea;Egla;Em Perigo (EN);EN;Pampa;"Agropecuária; Especies Exoticas; Poluição";Sim;Sim;Não;1;Sim;RS
Flora;Angiospermas;Fabaceae;Aeschynomene fructipendula;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Turismo/Recreação, Poluição;Não;Sim;Não;2;Informação não disponível;"RS; SC"
Flora;Angiospermas;Fabaceae;Aeschynomene laca-buendiana;-;Em Perigo (EN);EN;Cerrado;Distribuição Restrita;Não;Sim;Não;2;Sim;MG
Flora;Angiospermas;Orobanchaceae;Agalinis bandeirensis;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Queimadas, Turismo/Recreação;Sim;Não;Não;2;Sim;"ES; MG"
Flora;Angiospermas;Orobanchaceae;Agalinis brachyphylla;-;Vulnerável (VU);VU;Cerrado;Extração para Combustível, Mineração, Turismo/Recreação, Assentamentos Humanos: Cidades;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Orobanchaceae;Agalinis itambensis;-;Em Perigo (EN);EN;Cerrado;Extração para Combustível, Mineração, Assentamentos Humanos: Cidades, Turismo/Recreação;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Orobanchaceae;Agalinis nana;-;Em Perigo (EN);EN;Cerrado;Desastres Naturais, Queimadas;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Orobanchaceae;Agalinis ramulifera;-;Em Perigo (EN);EN;Mata Atlântica;Mineração, Turismo/Recreação;Não;Sim;Não;2;Sim;"MG; SP; PR"
Flora;Angiospermas;Orobanchaceae;Agalinis schwackeana;-;Criticamente em Perigo (CR);CR;Cerrado;Assentamentos Humanos: Cidades, Extração para Combustível, Mineração, Turismo/Recreação;Não;Sim;Não;2;Sim;MG
Fauna;Anfíbios;Hylidae;Agalychnis granulosa;Desconhecido;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;4;Sim;"AL; PE"
Flora;Angiospermas;Asteraceae;Agrianthus almasensis;-;Em Perigo (EN);EN;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos), Agropecuária;Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Asteraceae;Agrianthus giuliettiae;-;Em Perigo (EN);EN;"Caatinga; Cerrado";Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Poaceae;Agrostis lenis;-;Vulnerável (VU);VU;Mata Atlântica;Queimadas, Espécies Invasoras, Agropecuária;Sim;Sim;Não;2;Não;"MG; RJ; SP; PR; SC; RS"
Flora;Angiospermas;Poaceae;Agrostis longiberbis;-;Em Perigo (EN);EN;Mata Atlântica;Poluição, Agropecuária, Espécies Invasoras, Queimadas;Sim;Não;Não;2;Sim;"MG; RJ; SP; PR; SC; RS"
Fauna;Peixes Continentais;Pimelodidae;Aguarunichthys tocantinsensis;Bagre;Em Perigo (EN);EN;"Amazônia; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;"MT; PA; TO"
Flora;Angiospermas;Lauraceae;Aiouea benthamiana;louro rosa;Em Perigo (EN);EN;Amazônia;Perda de Habitat/Degradação (Induzida por Humanos), Desenvolvimento e Infraestrutura;Sim;Não;Não;3;Não;"AC; AM; AP"
Flora;Angiospermas;Lauraceae;Aiouea bracteata;-;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Agropecuária;Sim;Não;Não;2;Sim;"SP; MG"
Flora;Angiospermas;Lauraceae;Aiouea lehmannii;-;Em Perigo (EN);EN;Amazônia;Extração de Madeira, Assentamentos Humanos: Cidades, Agropecuária;Sim;Não;Não;2;Não;AC
Fauna;Mamíferos;Cricetidae;Akodon mystax;Rato-do-chão;Vulnerável (VU);VU;Mata Atlântica;"Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Queimadas";Sim;Não;Não;1;Sim;ES
Flora;Pteridófitas;Polypodiaceae;Alansmia senilis;-;Criticamente em Perigo (CR);CR;"Amazônia; Mata Atlântica";Vazio;Sim;Não;Não;2;Não;"AM; SP"
Flora;Angiospermas;Orchidaceae;Alatiglossum croesus;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;RJ
Flora;Angiospermas;Fabaceae;Albizia burkartiana;Angico-branco;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Não;Não;Não;1;Sim;"PR; SC; RS"
Flora;Angiospermas;Fabaceae;Albizia glabripetala;-;Em Perigo (EN);EN;Amazônia;Poluição;Sim;Não;Não;3;Não;"AM; RO"
Flora;Angiospermas;Bromeliaceae;Alcantarea benzingii;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Extração de Não Madereiras, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Bromeliaceae;Alcantarea duarteana;-;Em Perigo (EN);EN;Cerrado;Extração de Não Madereiras, Queimadas;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Bromeliaceae;Alcantarea farneyi;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Turismo/Recreação;Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Bromeliaceae;Alcantarea geniculata;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Bromeliaceae;Alcantarea glaziouana;-;Em Perigo (EN);EN;Mata Atlântica;Turismo/Recreação, Assentamentos Humanos: Cidades, Queimadas;Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Bromeliaceae;Alcantarea imperialis;-;Vulnerável (VU);VU;Mata Atlântica;Turismo/Recreação, Extração Direta, Queimadas;Sim;Não;Não;2;Sim;"MG; RJ"
Flora;Angiospermas;Bromeliaceae;Alcantarea nahoumii;-;Vulnerável (VU);VU;"Caatinga; Mata Atlântica";Extração de Não Madereiras, Queimadas;Não;Não;Não;1;Sim;BA
Flora;Angiospermas;Bromeliaceae;Alcantarea nevaresii;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Bromeliaceae;Alcantarea vinicolor;-;Em Perigo (EN);EN;Mata Atlântica;Extração de Não Madereiras;Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Asteraceae;Aldama corumbensis;-;Em Perigo (EN);EN;Cerrado;Vazio;Sim;Não;Não;2;Sim;MS
Flora;Angiospermas;Asteraceae;Aldama filifolia;-;Em Perigo (EN);EN;Cerrado;Vazio;Sim;Não;Não;2;Sim;"BA; GO; MG"
Flora;Angiospermas;Asteraceae;Aldama goyazii;-;Vulnerável (VU);VU;Cerrado;Vazio;Sim;Sim;Não;2;Informação não disponível;"GO; MG; SP"
Flora;Angiospermas;Asteraceae;Aldama linearifolia;-;Criticamente em Perigo (CR);CR;Cerrado;Vazio;Sim;Não;Não;2;Não;MS
Flora;Angiospermas;Asteraceae;Aldama paranensis;-;Criticamente em Perigo (CR);CR;Cerrado;Vazio;Sim;Não;Não;2;Sim;PR
Flora;Angiospermas;Asteraceae;Aldama vernonioides;-;Em Perigo (EN);EN;Cerrado;Vazio;Sim;Não;Não;2;Sim;MT
Fauna;Aves;Tyrannidae;Alectrurus tricolor;Galito;Vulnerável (VU);VU;"Cerrado; Mata Atlântica; Pantanal";"Agropecuária; Mineracao; Queimadas";Sim;Sim;Não;4;Não;"BA; DF; GO; MG; MS; MT; PR; SP; TO"
Fauna;Invertebrados Terrestres;Sphingidae;Aleuron prominens;Mariposa;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;"PR; RJ; SP"
Fauna;Invertebrados Terrestres;Sphingidae;Aleuron ypanemae;Mariposa;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Extracao Florestal; Poluição";Sim;Não;Não;2;Sim;SP
Flora;Angiospermas;Euphorbiaceae;Algernonia dimitrii;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Euphorbiaceae;Algernonia kuhlmannii;"sabiá; pau de leite";Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Não;Não;Não;1;Sim;ES
Flora;Angiospermas;Arecaceae;Allagoptera brevicalyx;Cachandó;Vulnerável (VU);VU;"Caatinga; Mata Atlântica";Assentamentos Humanos: Cidades, Turismo/Recreação;Sim;Não;Não;2;Sim;"BA; SE"
Fauna;Anfíbios;Aromobatidae;Allobates brunneus;Desconhecido;Criticamente em Perigo (CR);CR;Cerrado;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;MT
Fauna;Anfíbios;Aromobatidae;Allobates goianus;Desconhecido;Em Perigo (EN);EN;Cerrado;"Agropecuária; Mineracao; Outras Atividades Econômicas:Energia";Sim;Sim;Não;3;Sim;"DF; GO"
Fauna;Anfíbios;Aromobatidae;Allobates olfersioides;Desconhecido;Vulnerável (VU);VU;Mata Atlântica;Assentamento Humano:cidades;Sim;Sim;Não;3;Sim;RJ
Flora;Angiospermas;Rutaceae;Almeidea coerulea;-;Em Perigo (EN);EN;Mata Atlântica;Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Sim;BA
Fauna;Peixes Marinhos;Alopiidae;Alopias superciliosus;Tubarão-raposa;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;4;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
