Lista;Grupo;FamIlia;Especie.Simplificado;NomeComum;CategoriaAmeaCa;Status;Bioma;PrincipaisAmeacas;PresencaAreasProtegidas;PAN;OrdenamentoPesqueiro ;Nivel.Protecao.Estrategia.Nacional;Especie.exclusiva.Brasil;EstadosOcorrencia
Flora;Angiospermas;Orchidaceae;Rauhiella silvana;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"BA; ES; RJ"
Flora;Angiospermas;Rutaceae;Raulinoa echinata;-;Vulnerável (VU);VU;Mata Atlântica;Barragens;Sim;Não;Não;2;Sim;SC
Flora;Angiospermas;Verbenaceae;Recordia reitzii;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Sim;Não;2;Sim;"SC; RS"
Flora;Pteridófitas;Marsileaceae;Regnellidium diphyllum;-;Vulnerável (VU);VU;Pampa;Agropecuária;Sim;Sim;Não;2;Informação não disponível;RS
Flora;Angiospermas;Poaceae;Reitzia smithii;-;Vulnerável (VU);VU;Mata Atlântica;Vazio;Sim;Sim;Não;2;Sim;"RS; SC; SP"
Flora;Angiospermas;Zingiberaceae;Renealmia brasiliensis;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"ES; MG; SC"
Fauna;Peixes Continentais;Heptapteridae;Rhamdia jequitinhonha;Mandi;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";"Mineracao; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;MG
Fauna;Peixes Continentais;Heptapteridae;Rhamdiopsis krugi;Bagrinho-cego;Vulnerável (VU);VU;Cerrado;"Agropecuária; Outras Atividades Econômicas:Turismo";Sim;Não;Não;2;Sim;BA
Flora;Angiospermas;Rhamnaceae;Rhamnidium glabrum;-;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Vazio;Sim;Não;Não;2;Informação não disponível;"MS; PR; RJ; RS; SC; SP"
Fauna;Aves;Thamnophilidae;Rhegmatorhina gymnops;Mãe-de-taoca-de-cara-branca;Vulnerável (VU);VU;Amazônia;Extracao Florestal;Sim;Sim;Não;4;Sim;"MT; PA"
Fauna;Peixes Marinhos;Rhincodontidae;Rhincodon typus;Tubarão-baleia;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;3;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE"
Fauna;Peixes Marinhos;Rhinobatidae;Rhinobatos horkelii;Raia-viola ;Criticamente em Perigo (CR);CR;Marinho;"Extracao Direta:Caça/Pesca; Poluição";Sim;Sim;Sim;2;Não;"ES; PR; RJ; RS; SC; SP"
Fauna;Peixes Marinhos;Rhinobatidae;Rhinobatos lentiginosus;Raia-viola ;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;"AP; MA; PA"
Fauna;Peixes Continentais;Characidae;Rhinopetitia potamorhachia;Desconhecido;Em Perigo (EN);EN;Amazônia;Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;"MT; PA"
Fauna;Peixes Marinhos;Myliobatidae;Rhinoptera brasiliensis;Raia-beiço-de-boi;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;2;Sim;"PR; RJ; RS; SC; SP"
Fauna;Invertebrados Terrestres;Aeshnidae;Rhionaeschna eduardoi;Libélula;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades; Mineracao";Não;Não;Não;0;Sim;MG
Fauna;Mamíferos;Cricetidae;Rhipidomys cariri;Rato-da-árvore;Vulnerável (VU);VU;Caatinga;Agropecuária;Sim;Não;Não;2;Sim;"BA; CE; PE"
Fauna;Mamíferos;Cricetidae;Rhipidomys tribei;Rato-da-árvore;Em Perigo (EN);EN;Cerrado;"Agropecuária; Mineracao";Sim;Não;Não;1;Sim;MG
Flora;Angiospermas;Cactaceae;Rhipsalis cereoides;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Espécies Invasoras, Assentamentos Humanos: Cidades, Turismo/Recreação, Mineração, Queimadas, Desenvolvimento e Infraestrutura, Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;3;Sim;"ES; RJ"
Flora;Angiospermas;Cactaceae;Rhipsalis pacheco-leonis;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;3;Sim;"ES; MG; RJ"
Flora;Angiospermas;Cactaceae;Rhipsalis paradoxa subsp. septentrionalis;-;Em Perigo (EN);EN;"Caatinga; Mata Atlântica";Perda de Habitat/Degradação (Induzida por Humanos);Não;Não;Não;2;Informação não disponível;"BA; ES; MG; PE"
Flora;Angiospermas;Lauraceae;Rhodostemonodaphne capixabensis;"Canela do nativo; oliveira da praia";Em Perigo (EN);EN;Mata Atlântica;Assentamentos Humanos: Cidades;Sim;Não;Não;2;Sim;"BA; ES"
Flora;Angiospermas;Lauraceae;Rhodostemonodaphne parvifolia;-;Criticamente em Perigo (CR);CR;Amazônia;Assentamentos Humanos: Cidades;Sim;Não;Não;2;Informação não disponível;AM
Flora;Angiospermas;Lauraceae;Rhodostemonodaphne recurva;-;Em Perigo (EN);EN;Amazônia;Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Informação não disponível;AM
Fauna;Invertebrados Terrestres;Formicidae;Rhopalothrix plaumanni;Formiga;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Poluição";Não;Não;Não;0;Sim;SC
Fauna;Invertebrados Terrestres;Buthidae;Rhopalurus lacrau;Escorpião;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Assentamento Humano:rurais; Outras Atividades Econômicas:Turismo; Poluição Assoreamento";Não;Não;Não;0;Sim;BA
Fauna;Aves;Thamnophilidae;Rhopornis ardesiacus;Gravatazeiro;Em Perigo (EN);EN;"Caatinga; Mata Atlântica";"Agropecuária; Extracao Florestal; Queimadas";Sim;Sim;Não;2;Sim;"BA; MG"
Flora;Angiospermas;Melastomataceae;Rhynchanthera latifolia;-;Vulnerável (VU);VU;Cerrado;Mineração;Sim;Não;Não;2;Sim;SP
Fauna;Peixes Continentais;Doradidae;Rhynchodoras xingui;Bacuzinho;Em Perigo (EN);EN;"Amazônia; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;"GO; MT; PA"
Flora;Briófitas;Ricciaceae;Riccia ridleyi;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Não;PE
Flora;Angiospermas;Rubiaceae;Richardia schumannii;-;Em Perigo (EN);EN;Cerrado;Desenvolvimento e Infraestrutura, Agropecuária;Sim;Não;Não;2;Sim;"MG; PR; SP"
Flora;Angiospermas;Asteraceae;Richterago angustifolia;-;Em Perigo (EN);EN;Cerrado;Desenvolvimento e Infraestrutura, Queimadas;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago arenaria;-;Vulnerável (VU);VU;Cerrado;Desenvolvimento e Infraestrutura, Queimadas;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago campestris;-;Em Perigo (EN);EN;Cerrado;Mineração, Turismo/Recreação, Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago caulescens;-;Criticamente em Perigo (CR);CR;Cerrado;Turismo/Recreação, Queimadas;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago conduplicata;-;Em Perigo (EN);EN;Cerrado;Queimadas, Transporte Terrestre/Aéreo;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago elegans;-;Vulnerável (VU);VU;Cerrado;Desenvolvimento e Infraestrutura, Queimadas, Turismo/Recreação, Mineração;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago hatschbachii;-;Em Perigo (EN);EN;Cerrado;Queimadas, Agropecuária, Transporte Terrestre/Aéreo;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago lanata;-;Em Perigo (EN);EN;Cerrado;Queimadas, Transporte Terrestre/Aéreo;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago petiolata;-;Em Perigo (EN);EN;Cerrado;Turismo/Recreação, Queimadas;Sim;Não;Não;2;Sim;"GO; MG"
Flora;Angiospermas;Asteraceae;Richterago polyphylla;-;Em Perigo (EN);EN;Cerrado;Queimadas, Turismo/Recreação, Agropecuária;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago riparia;-;Vulnerável (VU);VU;Cerrado;Agropecuária, Queimadas, Transporte Terrestre/Aéreo;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago stenophylla;-;Em Perigo (EN);EN;Cerrado;Transporte Terrestre/Aéreo, Queimadas, Agropecuária;Sim;Sim;Não;3;Sim;MG
Flora;Angiospermas;Asteraceae;Richterago suffrutescens;-;Criticamente em Perigo (CR);CR;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos);Não;Não;Não;1;Sim;MG
Flora;Angiospermas;Violaceae;Rinorea bicornuta;-;Criticamente em Perigo (CR);CR;Amazônia;Agropecuária;Não;Não;Não;1;Sim;AM
Flora;Angiospermas;Violaceae;Rinorea longistipulata;canela de velho;Em Perigo (EN);EN;Amazônia;Agropecuária;Sim;Não;Não;2;Sim;AC
Flora;Angiospermas;Violaceae;Rinorea ramiziana;-;Em Perigo (EN);EN;Mata Atlântica;Plantação de Madereiras, Desenvolvimento e Infraestrutura;Sim;Não;Não;2;Sim;"ES; RJ"
Flora;Angiospermas;Violaceae;Rinorea villosiflora;-;Criticamente em Perigo (CR);CR;Amazônia;Agropecuária;Sim;Não;Não;2;Sim;MA
Flora;Angiospermas;Rubiaceae;Riodocea pulcherrima;"Arariba-preta; Jenipapo-da-mata; Jenipapo-bravo; Jenipapinho";Em Perigo (EN);EN;Mata Atlântica;Distúrbio Humano, Agropecuária;Sim;Não;Não;2;Sim;ES
Fauna;Peixes Marinhos;Arhynchobatidae;Rioraja agassizii;Raia-santa ;Em Perigo (EN);EN;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;3;Não;"ES; PR; RJ; RS; SC; SP"
Fauna;Répteis;Dipsadidae;Rodriguesophis chui;Muçurana-nariguda-das-dunas;Em Perigo (EN);EN;Caatinga;"Agropecuária; Mineracao";Sim;Não;Não;1;Sim;BA
Fauna;Répteis;Dipsadidae;Rodriguesophis scriptorcibatus;Muçurana-nariguda-do-são-francisco;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Extracao Florestal; Mineracao";Sim;Não;Não;3;Sim;BA
Fauna;Peixes Continentais;Cynodontidae;Roestes itupiranga;Desconhecido;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Não;Sim;Não;1;Sim;PA
Flora;Angiospermas;Proteaceae;Roupala asplenioides;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos), Turismo/Recreação;Sim;Não;Não;2;Sim;"PR; SC; RS"
Flora;Angiospermas;Proteaceae;Roupala sculpta;-;Vulnerável (VU);VU;Mata Atlântica;Agropecuária, Plantação de Madereiras, Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"RJ; SP"
Flora;Angiospermas;Connaraceae;Rourea cnestidifolia;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos), Extração de Madeira;Sim;Sim;Não;3;Sim;"ES; MG"
Flora;Angiospermas;Connaraceae;Rourea pseudospadicea;-;Em Perigo (EN);EN;Mata Atlântica;Poluição, Distúrbio Humano, Perda de Habitat/Degradação (Induzida por Humanos), Mineração, Assentamentos Humanos: Cidades;Sim;Não;Não;2;Sim;SP
