Familia	nomeCientifico	Autor	Categoria	Criterio
Dioscoreaceae	Dioscorea furcata	Griseb.	EN	B2ab(iii)
Eriocaulaceae	Actinocephalus polyanthus	(Bong.) Sano	VU	A2a
Eriocaulaceae	Eriocaulon gomphrenoides	Kunth	VU	A2a; D1
Eriocaulaceae	Eriocaulon ligulatum	(Vell.) L.B. Sm.	VU	B1ab(iii)
Eriocaulaceae	Eriocaulon magnificum	Ruhland	VU	A2a
Eriocaulaceae	Eriocaulon modestum	Kunth	VU	A2a
Eriocaulaceae	Eriocaulon reitzii	Moldenke & L.B. Sm	VU	A2a
Eriocaulaceae	Paepalanthus caldensis	Malme	VU	A2a
Eriocaulaceae	Paepalanthus catharinae	Ruhland	VU	A2a
Eriocaulaceae	Syngonanthus chrysanthus	(Bong.) Ruhland	EN	A2a+4a; C1
Erythroxylaceae	Erythroxylum substriatum	O.E. Schulz	EN	B1ab(i,iii)
Escalloniaceae	Escallonia farinacea	A. St.-Hil.	CR	B2b(i,ii,iii)
Escalloniaceae	Escallonia petrophila	Rambo & Sleumer	EN	A1cd
Euphorbiaceae	Chiropetalum foliosum	(Müll.Arg.) Pax & K.Hoffm.	EN	B2ab(iii)
Euphorbiaceae	Croton macrobothrys	Baill.	CR	B1ab(i)
Euphorbiaceae	Pausandra morisiana	(Casar.) Radlk.	CR	B1ab(i,ii,iii)
Fabaceae	Abarema langsdorfii	Barneby & J.W. Grimes	EN	B1ab(iii)+2ab(iii)
Fabaceae	Adesmia rocinhensis	Burkart	EN	B1ab(iii)+2ab(iii)
Fabaceae	Adesmia sessilifolia	Iganci & Miotto	EN	B2ab(iii)
Fabaceae	Aeschynomene fructipendula	Abruzzi de Oliveira	CR	B1ab(ii,iii)
Fabaceae	Aeschynomene montevidensis	Vogel	EN	B1ab(ii)c(i)
Fabaceae	Apuleia leiocarpa	(Vogel) Macbr.	CR	A4c
Fabaceae	Arachis villosa	Benth.	CR	B2ab(iii)
Fabaceae	Bauhinia uruguayensis	Benth.	CR	B2ab(ii,iii,iv,v)
Fabaceae	Calliandra brevicaulis	Micheli	EN	D
Fabaceae	Chaetocalyx nigricans	Burkart	VU	D2
Fabaceae	Collaea speciosa	(Lois.) DC.	EN	B2ab(ii,iii)
Fabaceae	Dahlstedtia pentaphylla	(Taub.) BurkartCyperaceae Cyperus berroi (C.B. Clarke) Barros	VU	D2
Cyperaceae	Cyperus celluloso-reticulatus	Boeck.	VU	B1ab(iii)
Cyperaceae	Cyperus mundulus	Kunth	EN	B1ab(iii)
Cyperaceae	Cyperus uncinulatus	Schrad. ex Nees	VU	D2
Cyperaceae	Eleocharis atrobrunnea	R. Trevis. & S. González	CR	B2ab(iii)
Cyperaceae	Eleocharis quinquangularis	Boeck.	VU	D2
Cyperaceae	Eleocharis rabenii	Boeck.	EN	B1ab(iii)
Dilleniaceae	Doliocarpus glomeratus	Eichler	EN	B1ab(iii)
Dioscoreaceae	Dioscorea furcata	Griseb.	EN	B2ab(iii)
Eriocaulaceae	Actinocephalus polyanthus	(Bong.) Sano	VU	A2a	
Eriocaulaceae	Eriocaulon gomphrenoides	Kunth	VU	A2a; D1
Eriocaulaceae	Eriocaulon ligulatum	(Vell.) L.B. Sm.	VU	B1ab(iii)
Eriocaulaceae	Eriocaulon magnificum	Ruhland	VU	A2a
Eriocaulaceae	Eriocaulon modestum	Kunth	VU	A2a
Eriocaulaceae	Eriocaulon reitzii	Moldenke & L.B. Sm	VU	A2a
Eriocaulaceae	Paepalanthus caldensis	Malme	VU	A2a
Eriocaulaceae	Paepalanthus catharinae	Ruhland	VU	A2a
Eriocaulaceae	Syngonanthus chrysanthus	(Bong.) Ruhland	EN	A2a+4a; C1
Erythroxylaceae	Erythroxylum substriatum	O.E. Schulz	EN	B1ab(i,iii)
Escalloniaceae	Escallonia farinacea	A. St.-Hil.	CR	B2b(i,ii,iii)
Escalloniaceae	Escallonia petrophila	Rambo & Sleumer	EN	A1cd
Euphorbiaceae	Chiropetalum foliosum	(Müll.Arg.) Pax & K.Hoffm.	EN	B2ab(iii)
Euphorbiaceae	Croton macrobothrys	Baill.	CR	B1ab(i)
Euphorbiaceae	Pausandra morisiana	(Casar.) Radlk.	CR	B1ab(i,ii,iii)
Fabaceae	Abarema langsdorfii	Barneby & J.W. Grimes	EN	B1ab(iii)+2ab(iii)
Fabaceae	Adesmia rocinhensis	Burkart	EN	B1ab(iii)+2ab(iii)
Fabaceae	Adesmia sessilifolia	Iganci & Miotto	EN	B2ab(iii)
Fabaceae	Aeschynomene fructipendula	Abruzzi de Oliveira	CR	B1ab(ii,iii)
Fabaceae	Aeschynomene montevidensis	Vogel	EN	B1ab(ii)c(i)
Fabaceae	Apuleia leiocarpa	(Vogel) Macbr.	CR	A4c
Fabaceae	Arachis villosa	Benth.	CR	B2ab(iii)
Fabaceae	Bauhinia uruguayensis	Benth.	CR	B2ab(ii,iii,iv,v)
Fabaceae	Calliandra brevicaulis	Micheli	EN	D
Fabaceae	Chaetocalyx nigricans	Burkart	VU	D2
Fabaceae	Collaea speciosa	(Lois.) DC.	EN	B2ab(ii,iii)
Fabaceae	Dahlstedtia pentaphylla	(Taub.) Burkart	VU	D2
Fabaceae	Desmodium craspediferum	Azevedo & Oliveira	CR	B1ab(ii,iii,v)+2ab(ii)
Fabaceae	Desmodium hassleri	(Schindler.) Burkart	CR	B2ab(iv)
Fabaceae	Desmodium venosum	Vogel	EN	B2ab(iii)
Fabaceae	Discolobium psoraleaefolium	Benth.	EN	B2ab(i,ii,iii,iv); D
Fabaceae	Gleditsia amorphoides	(Griseb.) Taub.	EN	A4c
Fabaceae	Lathyrus acutifolius	Vogel	VU	D2
Fabaceae	Lathyrus paraguariensis	Hassl.	CR	B2ab(ii,iii)
Fabaceae	Lathyrus parodii	Burkart	CR	C2a(i)
Fabaceae	Lonchocarpus torrensis	N.F. Mattos	EN	B1ab(iii)
Fabaceae	Machaerium nyctitans	(Vell.) Benth.	VU	D2
Fabaceae	Mimosa sprengelii	DC.	CR	B1ab(iii)
Fabaceae	Mimosa balduini	Burkart	CR	B1ab(iii)
Fabaceae	Mimosa barnebiana	Fortunato et Tressens	CR	B2ab(i,ii,iii)
Fabaceae	Mimosa involucrata	Benth.	EN	B1ab(i,ii,iii)
Fabaceae	Mimosa rocae	Lorentz & Niederlein	EN	D
Fabaceae	Mimosa sobralii	Grings & O.S. Ribas	EN	B1ab(iii)
Fabaceae	Mucuna urens	(L.) Medik.	VU	D2
Fabaceae	Myrocarpus frondosus	Allemão	VU	A2cd
Fabaceae	Piptadenia affinis	Burkart	CR	A4ac
Fabaceae	Poecilanthe parviflora	Benth.	CR	C2a(i)
Fabaceae	Prosopis affinis	Spreng.	VU	B1ab(iii)
Fabaceae	Prosopis nigra	(Griseb.) Hieron.	CR	B2ab(iii)
Fabaceae	Sellocharis paradoxa	Taub.	CR	D
Fabaceae	Senegalia magnibracteosa	(Burkart) Seigler & Ebinger	CR	B1ab(i,ii,iii,iv)
Fabaceae	Senna nana	(Benth.) H.S. Irwin & Barneby	CR	B2ab(ii,iii)c(ii,iii)
Fabaceae	Trifolium argentinense	Speg.	EN	B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)
Fabaceae	Vachellia ibirocayensis	(Marchiori) Deble & Marchiori	CR	B1ab(i,ii,iii,iv); C2a(i)
Fabaceae	Vicia tephrosioides	Vogel	CR	B1ab(i,ii,iii)+2ab(i,ii,iii)
Gesneriaceae	Codonanthe gracilis	(Mart.) Hanst.	CR	B2b(ii)
Gesneriaceae	Nematanthus fissus	(Vell.) L.E. Skog	CR	B2ab(ii,iii)
Gesneriaceae	Nemathanthus tessmanii	(Hoehne) Chautems	CR	B1ab(iii)
Gesneriaceae	Sinningia bullata	Chautems & M.Peixoto	CR	B2ab(iii)
Gesneriaceae	Sinningia curtiflora	(Malme) Chautems	CR	B1b(ii,iii)
Gesneriaceae	Sinningia lineata	(Hjem) Chautems	EN	B2ab(iii)
Gesneriaceae	Sinningia nivalis	Chautems	EN	B2ab(iii)
Gesneriaceae	Sinningia polyantha	(DC.) Wiehler	EN	B1ab(ii,iii)
Gesneriaceae	Sinningia ramboi	G.E. Ferreira, Waechter & Chautems	EN	B1ab(iii)+2ab(iii)
Gesneriaceae	Sinningia warmingii	(Mart.) Whieler	EN	B1ab(ii,iii)
Griseliniaceae	Griselinia ruscifolia	(Clos) Taubert	VU	B1ab(i,iii)
Gunneraceae	Gunnera herteri	Osten	VU	B2b(ii,iii)c(ii); D1
Haloragaceae	Laurembergia tetrandra	(Schott) Kanitz	VU	B1ab(i,ii,iii)
Hypericaceae	Hypericum cordatum	(Vell.) N. Robson	VU	B1b(iii)c(iii)
Hypericaceae	Hypericum gentianoides	(L.) Britton, Sterns & Poggenb.	EN	B2ab(iii)
Hypericaceae	Hypericum pedersenii	N. Robson	EN	B1ab(iii,iv)+2ab(iii,iv)
Hypericaceae	Hypericum rigidum subsp. sellowianum	(R. Keller) N. Robson	CR	B1b(iii,iv)c(ii)+2b(iii,iv)c(ii)
Hypericaceae	Hypericum salvadorense	N. Robson	EN	B2b(iii,iv)c(iv)
Hypericaceae	Hypericum teretiusculum	A. St.-Hil.	VU	B1ab(iii,iv)
Hypericaceae	Hypericum ternum	A. St.-Hil.	CR	B2b(iii,iv)c(i)
Iridaceae	Calydorea crocoides	Ravenna	EN	B1ab(iii)
Iridaceae	Catila amabilis	Ravenna	CR	C2a(i); D
Iridaceae	Cypella aquatilis	Ravenna	CR	D
Iridaceae	Cypella discolor	Ravenna	EN	B1ab(iii)
Iridaceae	Cypella hauthalii ssp. opalina	Ravenna	EN	B1ab(iii)
Iridaceae	Cypella laxa	Ravenna	CR	B2ab(iii,iv); D
Iridaceae	Cypella luteogibbosa	Deble	CR	B1ab(iii); D
Iridaceae	Cypella magnicristata	Deble	CR	B1ab(iii); D
Iridaceae	Cypella pusilla	(Link & Otto) Benth. & Hook. f. ex B.D. Jacks.	CR	B2ab(iii)
Iridaceae	Gelasine coerulea	(Vell.) Ravenna	CR	B2ab(iii); D
Iridaceae	Gelasine elongata	(Graham) Ravenna	EN	B2ab(i,ii,iii)
Iridaceae	Herbertia crosae	Roitman & J.A. Castillo	EN	B1ab(iii)
Iridaceae	Herbertia darwinii	Roitman & J.A. Castillo	EN	B2ab(iii)
Iridaceae	Herbertia zebrina	Deble	CR	B1ab(iii,iv)
Iridaceae	Kelissa brasiliensis	(Baker) Ravenna	VU	B1ab(i,iii)
Iridaceae	Sisyrinchium flabellatum	Aita & L.Eggers	CR	B2ab(iii); D
Iridaceae	Sisyrinchium rambonis	R.C. Foster	EN	B1ab(iii)
Juncaginaceae	Triglochin scilloides	(Poir.) Mering & Kadereit	EN	B2ab(ii)
Lamiaceae	Cunila fasciculata	Bentham	VU	B1ab(i,iii)
Lamiaceae	Cunila platyphylla	Epling	EN	B1ab(i,iii)
Lamiaceae	Glechon discolor	Epling	EN	B1ab(i,ii,iii)
Lamiaceae	Hesperozygis nitida	(Benth.) Epling	CR	B1ab(i,ii,iii)
Lamiaceae	Hesperozygis ringens	(Benth.) Epling	VU	B1ab(i,iii)
Lamiaceae	Hyptis tetracephala	Bordignon	CR	B1ab(i,ii,iii)
Lamiaceae	Hyptis uliginosa	A.St.-Hil. ex Benth.	EN	B1ab(i)
Lamiaceae	Ocimum neurophyllum	Briquet	CR	B1b(i,ii,iii,iv)c(i,ii,iii)+2b(i,ii,iii,iv)c(i,ii,iii)
Lamiaceae	Ocimum procurrens	Epling	CR	B1ab(ii,iii,iv)c(i,ii,iii)+2ab(i,ii,iii,iv)c(i,ii,iii,iv)
Lamiaceae	Salvia congestiflora	Epling	EN	B1b(ii,iii)c(ii)+2b(ii,iii)c(ii)
Lamiaceae	Salvia scoparia	Epling	EN	B1ab(i,ii,iii,iv)c(i,ii,iii)
Lamiaceae	Salvia uliginosa	Bentham	VU	B2b(ii,iii)c(iii)
Lauraceae	Aniba firmula	(Nees & Mart.) Mez	CR	B1ab(i,iii,iv)
Lauraceae	Cinnamomum triplinerve	(Ruiz & Pav.) Kosterm.	EN	B1ab(i,ii,iii)
Lauraceae	Licaria armeniaca	(Nees) Kosterm.	CR	A4cd
Lauraceae	Nectandra angustifolia	(Schrad.) Nees	EN	B2ab(ii,iii)
Lauraceae	Ocotea catharinensis	Mez	VU	A1acd
Lauraceae	Ocotea lancifolia	(Schott) Mez	EN	A4c
Lauraceae	Ocotea lobbii	(Meisn.) Rohwer	CR	A4acd
Lauraceae	Ocotea nectandrifolia	Mez	VU	A4c
Lauraceae	Ocotea odorifera	(Vell.) Rohwer	CR	A1abcd
Lauraceae	Ocotea porosa	(Nees et Mart.) L. Barroso	EN	B1ab(i,ii,iii)
Lauraceae	Ocotea silvestris	Vatt.-Gil	VU	B1ab(i,ii,iii)
Lauraceae	Ocotea teleiandra	(Meisn.) Mez	VU	B1ab(i,ii,iii)
Lauraceae	Ocotea tristis	(Nees & Mart.) Mez	EN	B1ab(i,ii,iii)
Lauraceae	Persea venosa	Nees & Mart. ex Nees	CR	A4cd
Lauraceae	Persea willdenovii	Kosterm.	CR	A4cd
Lythraceae	Cuphea confertiflora	A.St.-Hil.	CR	B2ab(i,ii,iii)
Lythraceae	Lafoensia nummularifolia	A. St.-Hil.	EN	B1ab(iii)+2ab(ii,iii);C2a(i); D
Magnoliaceae	Magnolia ovata	(A. St.-Hil.) Spreng.	EN	B1ab(i,ii,iii)
Malpighiaceae	Amorimia exotropica	(Griseb.) W.R. Anderson	VU	B2ab(ii,iii)
Malpighiaceae	Bunchosia maritima	(Vell.) J.F. Macbr.	EN	B1ab(i,ii,iii,iv)
Malpighiaceae	Byrsonima niedenzuiana	Skottsb.	VU	B1ab(ii,iii)+2ab(ii,iii)
Malpighiaceae	Dicella bracteosa	(A. Juss.) Griseb.	VU	B1ab(iv)
Malpighiaceae	Heteropterys dusenii	Nied.	EN	B1ab(i,ii,iii,iv)
Malpighiaceae	Mascagnia divaricata	(Kunth) Nied.	EN	B2ab(iii,iv)
Malpighiaceae	Stigmaphyllon bonariense	(Hook. & Arn.) C.E.Anderson	CR	B2ab(iv)
Malpighiaceae	Stigmaphyllon ciliatum	(Lam.) A.Juss.	EN	B2ab(iii,iv)
Malvaceae	Callianthe rufinerve	(A. St.-Hil.) Donnel	CR	B1ab(iii)
Malvaceae	Calyculogygas serrana	Grings	CR	B1ab(iii)c(ii)
Malvaceae	Calyculogygas uruguayensis	Krapov.	CR	D
Malvaceae	Ceiba speciosa	(A. St.-Hil.) Ravenna	VU	B1ab(i,ii,iv)
Malvaceae	Cienfuegosia drumondii	(A. Gray) Lewt.	EN	B1ab(iii)
Malvaceae	Cienfuegosia sulfurea	(A. St.-Hil.) Garcke	EN	B1ab(iii)
Malvaceae	Cienfuegosia ulmifolia	Fryxell	EN	B1ab(iii)
Malvaceae	Herissantia nemoralis	(St. Hil.) Briz.	CR	B1ab(iii)
Malvaceae	Hochreutinera hasslerana	(Hocher) Krapov.	VU	B1ab(iii)
Malvaceae	Melochia hermannioides	A. St.-Hil.	EN	B1ab(iii)
Malvaceae	Monteiroa ptarmicifolia	(St. Hil. et Naud.) Krap.	VU	B2ab(iii)
Malvaceae	Monteiroa reitzii	Krapov.	VU	B1ab(iii)
Malvaceae	Monteiroa triangularifolia	Krapov.	CR	B1ab(iii)
Malvaceae	Pavonia angustipetala	Krapov. & Cristóbal	VU	B2b(iii)c(iii)
Malvaceae	Pavonia commutata	Garcke	EN	B1ab(iii)c(iii)
Malvaceae	Pavonia cryptica	Krapov. & Cristóbal	CR	B1ab(iii)
Malvaceae	Pavonia dusenii	Krapov. & Cristóbal	VU	B1ab(iii)
Malvaceae	Pavonia glutinosa	Krapov. & Cristóbal	CR	B1ab(iii)+2ab(iii)
Malvaceae	Pavonia horrida	Krapov.	EN	B1ac(iii)
Malvaceae	Pavonia kleinii	Krapov.	EN	B1ab(iii)
Malvaceae	Pavonia lanata	R.E. Fries	EN	B1ab(iii)
Malvaceae	Pavonia nana	R.E. Fries	CR	B1ab(iii)+2ab(iii)
Malvaceae	Pavonia ramboi	Krapov.	EN	B1b(iii)c(ii)+2b(iii)c(ii)
Malvaceae	Pavonia renifolia	Krapov.	CR	B1ab(iii)+2ab(iii)
Malvaceae	Pavonia rosengurtii	Krapov. & Cristóbal	EN	B1ab(iii)
Malvaceae	Pavonia secreta	Grings & Krapov.	CR	B2ab(iii); D
Malvaceae	Pavonia stenopetala	Krapov.	VU	B1ab(iii)
Malvaceae	Pavonia subrotunda	A. St.-Hil. & Naudin	CR	B1ab(iii)
Malvaceae	Peltaea edouardii	(Hochr.) Krapov. & Cristóbal	CR	B2ab(iii)
Malvaceae	Rhynchosida physocalyx	(A. Gray) Fryxell	EN	B1ab(iii)
Malvaceae	Sida confusa	Hassl.	EN	B2ab(iii)
Malvaceae	Sida paradoxa	Rodrigo	EN	B1ab(iii)
Malvaceae	Sida pseudorubifolia	Krapov. & Bueno	VU	B2ab(iii)
Malvaceae	Sphaeralcea bonariensis	(Cav.) Griseb.	CR	B1ac(iv)
Malvaceae	Talipariti pernambucense	(Arruda) Bovini	EN	B1ab(iii)
Malvaceae	Tropidococcus pinnatipartitus	(A. St.-Hil. & Naudin) Krapov.	VU	B1ab(iii)
Marantaceae	Thalia multiflora	Horkel ex Koern.	CR	B2ab(iii)
Marcgraviaceae	Marcgravia polyantha	Delpino	VU	B1ab(i,ii,iii)
Melastomataceae	Huberia semiserrata	DC.	CR	B2ab(i,ii,iii); E
Melastomataceae	Leandra catharinensis	Cong.	EN	B1ab(i,ii,iii)
Melastomataceae	Ossaea amygdaloides	(DC.) Triana	EN	B2ab(i,ii,iii)
Melastomataceae	Tibouchina asperior	(Cham.) Cogn.	EN	A3c+4acd
Melastomataceae	Tibouchina hospita	Cogn.	EN	B2ab(i,ii,iii)
Melastomataceae	Tibouchina rupestris	Cogn.	EN	B2ab(i,ii,iii)
Melastomataceae	Tibouchina trichopoda	(DC.) Baillon	EN	B2ab(i,ii,iii)
Melastomataceae	Tibouchina urvilleana	(DC.) Cogn.	EN	B2ab(i,ii,iii)
Meliaceae	Trichilia casarettoi	C.DC.	EN	A2cd+4c
Meliaceae	Trichilia lepidota	Mart.	EN	A2c+4c
Meliaceae	Trichilia pallens	C. DC.	EN	A2c+4c
Monimiaceae	Mollinedia triflora	(Spreng.) Tul.	EN	B1b(iii)c(i)+2b(iii)c(i)
Moraceae	Brosimum glazioui	Taub.	EN	B1ab(iii)
Moraceae	Ficus citrifolia	Mill.	VU	B1ab(iii,v)
Moraceae	Ficus eximia	Schott	EN	B1ab(iii,iv,v)+2ab(iii,iv,v)
Myristicaceae	Virola bicuhyba	(Schott ex Spreng.) Warb.	EN	B1ab(i,ii,iii)
Myrtaceae	Calyptranthes pileata	D. Legrand	EN	B1ab(i,iii)
Myrtaceae	Campomanesia guaviroba	(DC.) Kiaersk.	CR	A4acd
Myrtaceae	Campomanesia littoralis	D. Legrand	EN	B1ab(iii)
Myrtaceae	Eugenia anomala	D. Legrand	EN	B2ab(i,ii,iii)
Myrtaceae	Eugenia arenosa	Mattos	EN	B1ab(i,iii)
Myrtaceae	Eugenia dimorpha	O. Berg	VU	A4a
Myrtaceae	Eugenia gracillima	Kiaersk.	EN	B2ab(i)
Myrtaceae	Eugenia hamiltonii	(Mattos) Mattos	CR	A4acd
Myrtaceae	Eugenia neomyrtifolia	Sobral	EN	B1ab(i,iii,iv)
Myrtaceae	Eugenia rotundicosta	D. Legrand	CR	A4acd
Myrtaceae	Myrceugenia foveolata	(O.Berg) Sobral	EN	B1ab(i,iii)
Myrtaceae	Myrceugenia ovalifolia	(O.Berg) Landrum	CR	B1ab(iii)
Myrtaceae	Myrcia anomala	Cambess.	CR	A4acd
Myrtaceae	Myrcianthes riparia	Sobral et al.	CR	B2ab(iii)
Myrtaceae	Plinia pseudodichasiantha	(Kiaersk.) G.M. Barroso ex Sobral	EN	B1ab(i,ii,iii)
Myrtaceae	Psidium longipetiolatum	D. Legrand	EN	A4acd
Nymphaeaceae	Nymphaea amazonum	Mart. & Zucc.	CR	B1ab(iii)+2ab(iii)
Nymphaeaceae	Nymphaea prolifera	Wiersema	EN	B2ab(iii)
Olacaceae	Heisteria silvianii	Schwacke	EN	D
Oleaceae	Chionanthus filiformis	(Vell.) Green	VU	B1ab(i,iii)
Opiliaceae	Agonandra excelsa	Griseb.	VU	B1ab(iii)
Orchidaceae	Baptistonia riograndensis	(Cogn.) Chiron & V.P. Castro	VU	A3c
Orchidaceae	Baptistonia venusta	(Drapiez) Chiron	CR	B1ab(ii,iii)
Orchidaceae	Bipinnula biplumata	(L. f.) Rchb. f.	CR	B2ab(ii,iii); C1
Orchidaceae	Bipinnula gibertii	Rchb. f.	CR	B2ab(iv)
Orchidaceae	Bipinnula montana	Arechav.	VU	B1ab(iii)
Orchidaceae	Bipinnula penicillata	(Rchb. f.) Cisternas & Salazar	EN	B1ab(i,ii,iii)+2ab(i,ii,iii); D
Orchidaceae	Brachystele subfiliformis	(Cogn.) Schltr.	EN	B1ab(i,ii,iii); D
Orchidaceae	Brasilaelia purpurata	(Lindl. & Paxton) Campacci	EN	A3cd; B1ab(i,ii,iii)
Orchidaceae	Catasetum atratum	Lindl.	VU	D2
Orchidaceae	Catasetum cernuum	(Lindl.) Rchb. f.	VU	D2
Orchidaceae	Catasetum fimbriatum	(C.Morren) Lindl.	VU	D2
Orchidaceae	Cattleya intermedia	Grah.	VU	A4cd
Orchidaceae	Cattleya tigrina	A. Rich.	EN	A3cd; B1ab(i,ii,iii)
Orchidaceae	Chloraea membranaceae	Lindl.	VU	B1ab(i,ii,iii)+2ab(i,ii,iii)
Orchidaceae	Cleistes ramboi	Pabst	CR	B1ab(iii)
Orchidaceae	Codonorchis canisioi	Mansf.	CR	A1ac; B2ab(i,ii,iii); C1; D
Orchidaceae	Cyanaeorchis arundinae	(Rchb.f.) Barb.Rodr.	VU	B1ab(iii)
Orchidaceae	Cyrtopodium witeckii	L.C. Menezes	VU	D2
Orchidaceae	Habenaria dutrae	Schltr.	CR	B1ab(iii)+2ab(iii); D
Orchidaceae	Habenaria ekmaniana	Kraenzl.	CR	C2a(i)
Orchidaceae	Habenaria exaltata	Barb. Rodr.	VU	B2ab(iii); D1
Orchidaceae	Habenaria henscheniana	Barb. Rodr.	EN	C2a(i)
Orchidaceae	Habenaria pentadactyla	Lindl.	EN	C2a(i)
Orchidaceae	Pelexia ekmanii	(Kraenzl.) Schltr.	EN	B2ab(i,ii,iii); D
Orchidaceae	Sarcoglottis uliginosa	(Barb. Rodr.) Barb. Rodr.	EN	B1ab(i,ii,iii); D
Oxalidaceae	Oxalis cytisoides	C. Mart. & Zucc.	CR	B1ab(i,ii)
Oxalidaceae	Oxalis geralensis	R. Knuth	EN	B1ab(i)+2ab(iii)
Oxalidaceae	Oxalis myriophylla	A. St.-Hil.	CR	B2ab(i,ii)
Oxalidaceae	Oxalis refracta	A.St.-Hil.	CR	B2ab(i,ii)
Oxalidaceae	Oxalis subvillosa	Norlind	CR	B2ab(i,ii)
Passifloraceae	Passiflora actinia	Hook.	EN	B2ab(i,ii,iii,iv)
Passifloraceae	Passiflora eichleriana	Mast.	VU	B1ab(i,ii,iii,iv)
Passifloraceae	Passiflora organensis	Vell.	EN	B1ab(i,ii,iii,iv)
Passifloraceae	Passiflora urnifolia	Rusby	VU	A1a
Passifloraceae	Passiflora urubiciensis	Cervi	CR	B2ab(ii,iii,v)
Pentaphyllaceae	Ternstroemia brasiliensis	Cambess.	EN	B1ab(i,iii)
Phyllanthaceae	Margaritaria nobilis	L. f.	EN	B1b(i,ii,iii)
Phytolaccaceae	Microtea scabrida	Urban	CR	A2acd
Phytolaccaceae	Seguieria langsdorffii	Moq.	EN	A2acd
Poaceae	Agrostis lenis	Roseng., B.R. Arrill. & Izag.	VU	B2b(iii)c(i)
Poaceae	Agrostis longiberbis	Hackel ex L. B. Smith	EN	B1ab(iii)+2ab(ii,iii)
Poaceae	Agrostis ramboi	Parodi	VU	B1ab(iii)
Poaceae	Aristida constricta	Longhi-Wagner	EN	B2ab(iv)c(iii)
Poaceae	Aulonemia ulei	(Hack.) McClure & L.B. Sm.	EN	B1ab(i,iii)+2ab(i,iii)
Poaceae	Bothriochloa brasiliensis	(Hack) Henrard	VU	D2
Poaceae	Bothriochloa imperatoides	(Hack.) Herter	VU	D2
Poaceae	Bothriochloa meridionalis	M. Marchi	VU	B1ab(iii,iv)c(iii)
Poaceae	Chascolytrum brasiliense	(Nees ex Steud.) Essi, Longhi-Wagner & Souza-Chies	VU	D2
Poaceae	Chascolytrum bulbosum	(Parodi) Essi, Longhi-Wagner & Souza-Chies	EN	B1ab(iii,iv)
Poaceae	Chascolytrum latifolium	Essi, Souza-Chies & Longhi-Wagner	VU	D2
Poaceae	Chascolytrum parodianum	(Roseng., B.R. Arrrill. & Izag.) Matthei	CR	B1ab(iii)
Poaceae	Chascolytrum scabrum	(Nees ex Steud.)Matthei	EN	B2ab(i,iii)
Poaceae	Chusquea bambusoides	(Raddi) Hack.	CR	B2ab(i,ii,iii)
Poaceae	Chusquea capituliflora	Trin.	EN	B1ab(i)
Poaceae	Chusquea gracilis	McClure & L.B.	EN	B1ab(i,iii)
Poaceae	Chusquea leptophylla	Nees	EN	B1ab(i,iii)
Poaceae	Chusquea sellowii	Rupr.	EN	B1ab(i,ii,iii)
Poaceae	Colanthelia cingulata	(McClure & L.B.Sm.)McClure	CR	B1ab(i,iii)
Poaceae	Colanthelia lanciflora	(McClure & L.B.Sm.)McClure	EN	B1ab(i)
Poaceae	Colanthelia rhizantha	(Hack.) McClure	VU	B1ab(i)
Poaceae	Deschampsia caespitosa	(L.) Beauv.	EN	B1ab(iii)
Poaceae	Guadua chacoensis	(Rojas) Londoño & P.M.Peterson	CR	B2ab(iii)
Poaceae	Guadua tagoara	(Nees) Kunth	CR	B1ab(i,iii)
Poaceae	Melica arzivencoi	Valls & Barcellos	VU	D2
Poaceae	Melica riograndensis	Longhi-Wagner & Valls	VU	D2
Poaceae	Melica spartinoides	L.B. Sm.	CR	B2ab(iii,iv)
Poaceae	Merostachys caucaiana	Send.	CR	B2ab(i,iii)
Poaceae	Merostachys pilifera	Send.	CR	B2ab(i,iii)
Poaceae	Merostachys speciosa	Spreng.	EN	B1ab(i,iii)
Poaceae	Merostachys ternata	Nees	CR	B2ab(i,iii)
Poaceae	Nassella planaltina	(A. Zanin & Longhi-Wagner) Peñail	EN	B1ab(iii)c(iii)
Poaceae	Nassella rhizomata	(A. Zanin & Longhi-Wagner) Peñail	CR	B1ab(iii,iv)
Poaceae	Nassella rosengurttii	(Chase) Barkworth	VU	D2
Poaceae	Panicum aristellum	Doell	EN	B2ab(iii,iv)c(iii)
Poaceae	Panicum pedersenii	Zuloaga	EN	B1ab(i,iii,iv)
Poaceae	Paspalum rawitscheri	(Parodi) Chase ex G.H.Rua & Valls	VU	B1ab(iii,iv)
Poaceae	Piptochaetium alpinum	L.B. Sm.	CR	B1ab(iii,iv)c(iii)+2ab(iv)c(iii)
Poaceae	Poa bradei	Pilger	VU	B1ab(iii)
Poaceae	Poa reitzii	Swallen	CR	B2ab(iv)c(ii,iii)
Poaceae	Rhynchoriza subulata	(Nees) Baillon	CR	B2ab(i,ii)c(i)
Poaceae	Schizachyrium	scabriflorum (Rupr. ex Hack.) A.Camus	CR	B2ab(iii,iv)
Poaceae	Setaria hassleri	Hackel	CR	B2ab(iv)
Poaceae	Setaria paucifolia	(Morong). Lind.	EN	B2ab(iii,iv)c(iii)
Poaceae	Setaria stolonifera	(Steud.) Griseb.	CR	B2ab(iii,iv)
Poaceae	Streptochaeta spicata	Schrad. ex Nees	CR	B1ab(i,ii,iii)
