Familia	nomeCientifico	Autor	Categoria	Criterio
Apocynaceae	Oxypetalum stipatum	Malme	VU	A2c
Apocynaceae	Oxypetalum sylvestre	(Hook. & Arn.) Goyder & Rapini	VU	B1ab(iii)
Apocynaceae	Peplonia axillaris	(Vell.) Fontella & Rapini	EN	B1ab(iii)+2ab(ii)
Apocynaceae	Rauvolfia sellowii	Müll. Arg.	EN	A2c
Apocynaceae	Temnadenia odorifera	(Vell.) J.F. Morales	EN	B1ab(iii)+2ab(iii)
Araceae	Asterostigma reticulatum	E.G. Gonç.	VU	B1ab(i,ii,iii)
Araceae	Mangonia tweediana	Schott	CR	B2ab(iii)
Araliaceae	Aralia warmingiana	(Marchal) J. Wen	VU	B1ab(i,iii)
Araliaceae	Oreopanax fulvus	Marchal	VU	B1ab(i,iii)
Arecaceae	Butia catarinensis	Noblick & Lorenzi	CR	A4acd
Arecaceae	Butia eriospatha	(Mart.) Becc.	EN	A4cd
Arecaceae	Butia exilata	Deble & Marchiori	CR	B1ab(i,ii,iii,iv,v)
Arecaceae	Butia lallemantii	Deble & Marchiori	EN	A4acd
Arecaceae	Butia odorata	(Barb. Rodr.) Noblick	EN	A4cd
Arecaceae	Butia paraguayensis	(Barb. Rodr.) L.H. Bailey	CR	B1ab(i,ii,iii,v)
Arecaceae	Butia witeckii	K. Soares & Longhi	CR	A4c
Arecaceae	Butia yatay	(Mart.) Becc.	EN	B2ab(ii,iii,v)
Arecaceae	Euterpe edulis	Mart.	EN	A4abcd
Arecaceae	Geonoma gamiova	Barb. Rodr.	VU	B1ab(ii,iii)
Arecaceae	Geonoma schottiana	Mart.	EN	B2ab(i,ii,iii)
Arecaceae	Trithrinax acanthocoma	Drude	CR	A4acd
Arecaceae	Trithrinax brasiliensis	Mart.	CR	A4acd
Aristolochiaceae	Aristolochia curviflora	Malme	EN	B2ab(iii)
Aristolochiaceae	Aristolochia robertii	Ahumada	EN	B1ab(iii)+2ab(iii)
Asparagaceae	Clara gracilis	R.C. Lopes e Andreata	EN	B2ab(ii)
Asparagaceae	Clara ophiopogonoides	Kunth	EN	B2ab(i)
Asparagaceae	Clara stricta	(L.B. Sm.) R.C. Lopes e Andreata	VU	A2c
Asteraceae	Acmella pusilla	(Hook. & Arn.) R. K. Jansen	CR	B1ab(i)
Asteraceae 	Aldama guaranitica	(Chodat ) E.E. Schill. & Panero	EN	B1ab(iii)
Asteraceae	Aldama knobiana	(Mondin & Magenta) E.E. Schill. & Panero	CR	B1ab(iii)
Asteraceae	Aldama meridionalis	(Magenta) E.E. Schill. & Panero	CR	B1ab(iii)
Asteraceae	Aldama santacatarinensis	(H. Rob. & A.J. Moore) E.E. Schill. & Panero	EN	B1ab(iii)
Asteraceae	Aldama tuberosa	Griseb.	CR	B1ab(iii)
Asteraceae	Ambrosia scabra	Hook. & Arn.	CR	B2ab(iii)
Asteraceae	Aspilia pascalioides	Griseb.	CR	B2ab(iii)
Asteraceae	Asteropsis megapotamica	(Spreng.) Marchesi et al.	EN	B1b(iv)c(iii)
Asteraceae	Baccharis albilanosa	A.S. Oliveira & Deble	CR	B1b(iii)c(i)
Asteraceae	Baccharis deblei	A.S. Oliveira & Marchiori	EN	B1ab(iii)
Asteraceae	Baccharis hyemalis	Deble	VU	B1ab(iii)
Asteraceae	Baccharis hypericifolia	Baker	EN	B1ab(iii)
Asteraceae	Baccharis multifolia	A.S. Oliveira et al.	EN	B1ab(iii)
Asteraceae	Baccharis napaea	G.Heiden	CR	B1b(iii)c(ii)
Asteraceae	Baccharis sphagnophila	A.A. Schneid. & G. Heiden	EN	B1ab(iv) 
Asteraceae	Calea clematidea	Baker	VU	B1ab(iii)
Asteraceae 	Calea kristiniae	Pruski	VU	D2
Asteraceae 	Chaptalia arechavaletae	Hieron.	EN	B2ab(ii,iii)
Asteraceae 	Chaptalia cordifolia	(Baker) Cabrera	EN	B2ab(ii,iii,iv)
Asteraceae 	Chaptalia graminifolia	(Dusén ex Malme) Cabrera	VU	B1ab(iii)+2ab(iii)
Asteraceae 	Chaptalia ignota	Burkart	EN	B2ab(iv)c(iii); C1
Asteraceae 	Dasyphyllum synacanthum	(Baker) Cabrera	EN	B2ab(iii)c(ii)
Asteraceae 	Dimerostemma grisebachii	(Baker) M.D. Moraes	VU	B1ab(iii)
Asteraceae 	Dimerostemma tenuifolium	(Hassl.) M.D. Moraes	VU	B1ab(iii)
Asteraceae 	Eupatorium angusticeps	Malme	VU	B1ab(iii)
Asteraceae 	Grindelia atlantica	Deble & Oliveira-Deble	CR	B1b(iii)
Asteraceae 	Grindelia gaucha	Deble & Oliveira-Deble	EN	B1ab(iv)
Asteraceae 	Helenium radiatum	(Less.) Seckt	EN	B2ab(iii)
Asteraceae 	Holocheilus hieracioides	(D. Don.) Cabrera	EN	B2ab(iii)
Asteraceae 	Holocheilus monocephalus	Mondin	CR	B2ab(ii,iii,iv)
Asteraceae 	Hymenoxys tweediei	Hook. & Arn.	CR	B1ab(iii)+2ab(iii); D
Asteraceae 	Hysterionica pinnatiloba	Matzenb. & Sobral	EN	B1ab(iii)
Asteraceae 	Ianthopappus corymbosus	(Less.) Roque & D. J.N. Hind	EN	B1ab(iii); C2a(i)
Asteraceae 	Isostigma crithmifolium	Less.	CR	B1ab(iii)
Asteraceae 	Isostigma peucedanifolium	(Spreng.) Less.	VU	B1b(iii,iv)c(iii)
Asteraceae 	Jaumea linearifolia	(Juss.) DC.	CR	B1ab(iii)
Asteraceae 	Melanthera latifolia	(Gardner) Cabr.	CR	B1ab(iii)+2ab(iii)
Asteraceae 	Mikania anethifolia	(DC.) Matzenbacher	EN	B2ab(iii); D
Asteraceae 	Mikania capricorni	B.L. Rob.	EN	B2ab(iii); D
Asteraceae 	Mikania chlorolepis	Baker	VU	D2
Asteraceae 	Mikania clematidifolia	Dusén	CR	B1ab(iii); D
Asteraceae 	Mikania decumbens	Malme	EN	B1ab(iii)
Asteraceae 	Mikania dusenii	B.L. Rob.	CR	B1ab(iii); D
Asteraceae 	Mikania hemisphaerica	Sch. Bip. ex Baker	EN	B2ab(iii); D
Asteraceae 	Mikania lindleyana	DC.	VU	D2
Asteraceae 	Mikania lundiana	DC.	CR	B1b(ii,iii,iv)c(i,ii,iii); C1
Asteraceae 	Mikania microptera	DC.	EN	B1ab(iii); D
Asteraceae 	Mikania oblongifolia	DC.	CR	B2ab(iii)
Asteraceae	Mikania oreophila	M.R. Ritter & Miotto	EN	B1ab(iii); D
Asteraceae 	Mikania periplocifolia	Hook. & Arn.	EN	B2ab(iii)
Asteraceae	Mikania rufescens	Sch. Bip. ex Baker	CR	B2ab(iii); D
Asteraceae 	Mikania salviifolia	Gardner	VU	B1ab(iii)
Asteraceae 	Mikania smaragdina	Dusén ex Malme	EN	B1ab(iii); D
Asteraceae 	Mikania trinervis	Hook. & Arn.	EN	B1ab(iii)
Asteraceae 	Mikania ulei	Hieron.	EN	B1ab(iii)
Asteraceae 	Mikania variifolia	Hieron.	VU	D2
Asteraceae 	Mikania viminea	DC.	EN	B1ab(i,ii,iii); D
Asteraceae	Moquiniastrum cinereum	(Hook. & Arn.) G. Sancho	EN	B1ab(i,iii)
Asteraceae	Moquiniastrum mollissimum	(Malme ) G. Sancho	CR	C2a(i)
Asteraceae	Moquiniastrum polymorphum subsp. floccosum	(Less. ) G. Sancho	EN	B1ab(i,iii)
Asteraceae	Moquiniastrum ramboi	(Cabrera) G.Sancho	EN	B1ab(iii)+2ab(iii)
Asteraceae	Moquiniastrum sordidum	(Less. ) G. Sancho	EN	C1
