Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Syngonanthus circinnatus (Bong.) Ruhland	317517	Syngonanthus circinnatus	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Hyptidendron claussenii (Benth.) Harley	333909	Hyptidendron claussenii	Lamiaceae		Lamiaceae	VU	Vulnerável	2008
Xeronycteris vieirai Gregorin & Ditchfield, 2005	206099	Xeronycteris vieirai	Phyllostomidae		Xeronycteris vieirai	VU	Vulnerável	2010
Trichomanes arbuscula Desv.	347801	Trichomanes arbuscula	Hymenophyllaceae		Hymenophyllaceae	CR	Criticamente em Perigo	2008
Richterago caulescens Roque	308038	Richterago caulescens	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Phylloscartes sylviolus (Cabanis & Heine, 1859)	217864	Phylloscartes sylviolus	Rhynchocyclidae		Phylloscartes sylviolus	EN	Em Perigo	2010
Hippeastrum reginae Herb.	351813	Hippeastrum reginae	Amaryllidaceae		Amaryllidaceae	CR	Criticamente em Perigo	2008
Hippeastrum solandriflorum (Lindl) Herb.	307690	Hippeastrum solandriflorum	Amaryllidaceae		Amaryllidaceae	VU	Vulnerável	2008
Alcantarea duarteana (L.B. Sm.) J. R. Grant	313816	Alcantarea duarteana	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Inga leptantha Benth.	290962	Inga leptantha	Fabaceae		Fabaceae	EN	Em Perigo	2008
Aburria jacutinga (Spix, 1825)	156033	Aburria jacutinga	Cracidae		Aburria jacutinga	CR	Criticamente em Perigo	2010
Jabiru mycteria (Lichtenstein, 1819)	211716	Jabiru mycteria	Ciconiidae		Jabiru mycteria	EN	Em Perigo	2010
Abarema obovata (Benth.) Barneby & Grimes	308941	Abarema obovata	Fabaceae		Fabaceae	VU	Vulnerável	2008
Anetanthus gracilis Hiern	332838	Anetanthus gracilis	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Mimosa chrysastra Mart. ex Benth.	322780	Mimosa chrysastra	Fabaceae		Fabaceae	CR	Criticamente em Perigo	2008
Aspilia cylindrocephalla H. Rob.	311759	Aspilia cylindrocephala	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Schefflera botumirimensis Fiachi & Pirani	311249	Schefflera botumirimensis	Araliaceae		Araliaceae	VU	Vulnerável	2008
Lippia triplinervis Gardn.	276345	Lippia triplinervis	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Lupinus coriaceus Benth.	319495	Lupinus coriaceus	Fabaceae		Fabaceae	VU	Vulnerável	2008
Thelypteris biolleyi (H. Christ) Proctor	350397	Thelypteris biolleyi	Thelypteridaceae		Thelypteridaceae	CR	Criticamente em Perigo	2008
Melanoxylon brauna Schott	315085	Melanoxylon brauna	Fabaceae		Fabaceae	VU	Vulnerável	2008
