Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Orthophytum supthutii E. Gross & Barthlott.	314091	Orthophytum supthutii	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Melipona asilvai Moure, 1971	196113	Melipona (Eomelipona) asilvai	Apidae		Melipona (Eomelipona) asilvai	VU	Vulnerável	2010
Gaylussacia oleifolia Dunal	316331	Gaylussacia oleifolia	Ericaceae		Ericaceae	VU	Vulnerável	2008
Tripogandra brasiliensis Handlos	355262	Tripogandra brasiliensis	Commelinaceae		Commelinaceae	VU	Vulnerável	2008
Culcita coniifolia (Hook.) Maxon	298848	Culcita coniifolia	Culcitaceae		Culcitaceae	CR	Criticamente em Perigo	2008
Vanhouttea leonii Chautems	333264	Vanhouttea leonii	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Trimezia plicatifolia Chukr	359683	Trimezia plicatifolia	Iridaceae		Iridaceae	CR	Criticamente em Perigo	2008
Proteopsis argentea Mart. & Zucc. ex Sch.Bip.	308024	Proteopsis argentea	Asteraceae		Asteraceae	VU	Vulnerável	2008
Vernonia pycnostachia DC.						VU	Vulnerável	2008
Lithobium cordatum Bong.	330353	Lithobium cordatum	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Encholirium pedicellatum (Mez) Rauh	314070	Encholirium pedicellatum	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Pitcairnia bradei Markgr.	308259	Pitcairnia bradei	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Epidendrum vesicatum Lindl.	343917	Epidendrum vesicatum	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Persea rufotomentosa Nees & Mart.	334882	Persea rufotomentosa	Lauraceae		Lauraceae	VU	Vulnerável	2008
Lagenocarpus adamantinus Nees						VU	Vulnerável	2008
Banisteriopsis cipoensis B.Gates	321349	Banisteriopsis cipoensis	Malpighiaceae		Malpighiaceae	EN	Em Perigo	2008
Encholirium biflorum (Mez) Forzza	314042	Encholirium biflorum	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Oncidium praetextum Rchb. f.	294248	Oncidium praetextum	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Uebelmannia pectinifera flavispina (Buining & Brederoo) P.J.Braun & Esteves	368511	Uebelmannia pectinifera subsp. flavispina	Cactaceae		Cactaceae	EN	Em Perigo	2008
Euglossa (Euglossella) decorata Smith, 1874	164433	Euglossa (Euglossella) decorata	Apidae		Euglossa (Euglossella) decorata	EN	Em Perigo	2010
Myrsine glazioviana Warm.	339863	Myrsine glazioviana	Primulaceae		Primulaceae	EN	Em Perigo	2008
Stachytarpheta linearis Moldenke	351269	Stachytarpheta linearis	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Syndesus schuberti (Perty, 1830)						VU	Vulnerável	2010
Vriesea simulans Leme	314149	Vriesea simulans	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Neoregelia simulans L. B. Sm.	328122	Neoregelia simulans	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Vellozia piresiana L. B. Sm.	350902	Vellozia piresiana	Velloziaceae		Velloziaceae	EN	Em Perigo	2008
Pfaffia argyrea Pedersen	310775	Pfaffia argyrea	Amaranthaceae		Amaranthaceae	VU	Vulnerável	2008
Myrsine villosissima Mart.	339902	Myrsine villosissima	Primulaceae		Primulaceae	VU	Vulnerável	2008
Coleocephalocereus purpureus (Buining & Brederoo) F.Ritter	367619	Coleocephalocereus purpureus	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Drosera graomogolensis T.R.S.Silva	308504	Drosera graomogolensis	Droseraceae		Droseraceae	VU	Vulnerável	2008
Elaphoglossum peltatum (Swartz) Urban	347134	Elaphoglossum peltatum	Dryopteridaceae		Dryopteridaceae	VU	Vulnerável	2008
Alsophila salvinii Hook.	360336	Alsophila salvinii	Cyatheaceae		Cyatheaceae	CR	Criticamente em Perigo	2008
Baccharis martiana G.M.Barroso	311928	Baccharis martiana	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Chamaecrista stillifera (H.S.Irwin & Barneby) H.S.Irwin & Barneby	314991	Chamaecrista stillifera	Fabaceae		Fabaceae	VU	Vulnerável	2008
Heteragrion petiense Machado, 1988	241265	Heteragrion petiense	Heteragrionidae		Heteragrion petiense	VU	Vulnerável	2010
Sophronitis ghillanyi (Pabst) Van den Berg & M.W.Chase	348211	Sophronitis ghillanyi	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Ipomoea fiebrigii Hassl. ex O'Donell	315627	Ipomoea fiebrigii	Convolvulaceae		Convolvulaceae	VU	Vulnerável	2008
Arrojadoa dinae eriocaulis (Buining & Brederoo) N.P.Taylor & D.C.Zappi						EN	Em Perigo	2008
Byrsonima fonsecae W.R.Anderson	321430	Byrsonima fonsecae	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Brachygalba lugubris melanosterna Sclater 1855	201224	Brachygalba lugubris melanosterna	Galbulidae		Brachygalba lugubris melanosterna	CR	Criticamente em Perigo	2010
Barbacenia delicatula L.B.Sm. & Ayensu	368611	Barbacenia delicatula	Velloziaceae		Velloziaceae	EN	Em Perigo	2008
Wunderlichia senae Glaz. ex Maguire & G.M.Barroso	278909	Wunderlichia senae	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Penelope jacucaca Spix, 1825	187020	Penelope jacucaca	Cracidae		Penelope jacucaca	EN	Em Perigo	2010
Viguiera hispida Baker	313609	Viguiera hispida	Asteraceae		Asteraceae	VU	Vulnerável	2008
Edmundoa lindenii var. rosea (E. Morren) Leme	337321	Edmundoa lindenii var. rosea	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Leopardus tigrinus (Schreber, 1775)	226826	Leopardus tigrinus	Felidae		Leopardus tigrinus	VU	Vulnerável	2010
Dyckia ursina L.B.Sm.	314036	Dyckia ursina	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Ditassa cordeiroana Fontella	307735	Ditassa cordeiroana	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Brycon nattereri Günther, 1864	119714	Brycon nattereri	Bryconidae		Brycon nattereri	EN	Em Perigo	2010
Svitramia integerrima R.Romero & A.B.Martins	372924	Svitramia integerrima	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Mikania glabra D.J.N.Hind	307999	Mikania glabra	Asteraceae		Asteraceae	VU	Vulnerável	2008
"Callicebus personatus (É. Geoffroy, 1812) Sauá;"						EN	Em Perigo	2010
Syngonanthus aciphyllus (Bong.) Ruhland	317420	Syngonanthus aciphyllus	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Choeroniscus minor (Peters, 1868)	268460	Choeroniscus minor	Phyllostomidae		Choeroniscus minor	EN	Em Perigo	2010
Laniisoma elegans (Thunberg, 1823)	234647	Laniisoma elegans	Tityridae		Laniisoma elegans	VU	Vulnerável	2010
Cheilanthes regnelliana Mett.	349721	Cheilanthes regnelliana	Pteridaceae		Pteridaceae	VU	Vulnerável	2008
Angelonia crassifolia Benth.	294874	Angelonia crassifolia	Plantaginaceae		Plantaginaceae	EN	Em Perigo	2008
Lavoisiera cordata Cogn.	322033	Lavoisiera cordata	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Mesoclemmys hogei Mertens, 1967	203087	Mesoclemmys hogei	Chelidae		Mesoclemmys hogei	EN	Em Perigo	2010
Orobrassolis ornamentalis (Stichel, 1906)	271511	Orobrassolis ornamentalis	Nymphalidae		Orobrassolis ornamentalis	EN	Em Perigo	2010
Ocotea langsdorffii (Meisn.) Mez	334727	Ocotea langsdorffii	Lauraceae		Lauraceae	VU	Vulnerável	2008
Myrmecophaga tridactyla Linnaeus, 1758	127145	Myrmecophaga tridactyla	Myrmecophagidae		Myrmecophaga tridactyla	VU	Vulnerável	2010
Neesioscyphus bicuspidatus (Steph.) Grolle	363466	Neesioscyphus bicuspidatus	Balantiopsidaceae		Balantiopsidaceae	EN	Em Perigo	2008
Pareiorhaphis mutuca (Oliveira & Oyakawa, 1999)	235735	Pareiorhaphis mutuca	Loricariidae		Pareiorhaphis mutuca	CR	Criticamente em Perigo	2010
Ipomoea pinifolia Meisn.	315673	Ipomoea pinifolia	Convolvulaceae		Convolvulaceae	EN	Em Perigo	2008
Blechnum sprucei C.Chr.	298825	Blechnum sprucei	Blechnaceae		Blechnaceae	CR	Criticamente em Perigo	2008
Lychnophora vilosissima Mart.	312970	Lychnophora villosissima	Asteraceae		Asteraceae	EN	Em Perigo	2008
Xyris dardanoi Wand.	351513	Xyris dardanoi	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Cochlidium pumilum C. Chr.	348821	Cochlidium pumilum	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Potos flavus (Schreber, 1774)	266663	Potos flavus	Procyonidae		Potos flavus	EN	Em Perigo	2010
Rhynchocyclus olivaceus (Temminck, 1820)	154767	Rhynchocyclus olivaceus	Rhynchocyclidae		Rhynchocyclus olivaceus	EN	Em Perigo	2010
Vernonia glandulosa-dentata Hieron.	313532	Vernonia glanduloso-dentata	Asteraceae		Asteraceae	VU	Vulnerável	2008
Alcantarea burle-marxii (Leme) J. R. Grant	327106	Alcantarea burle-marxii	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Asplenium pumilum Sw.	298642	Asplenium pumilum	Aspleniaceae		Aspleniaceae	EN	Em Perigo	2008
Malaxis cogniauxiana (Schltr.) Pabst	363206	Malaxis cogniauxiana	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Pseudotrimezia cipoana Ravenna	320321	Pseudotrimezia cipoana	Iridaceae		Iridaceae	VU	Vulnerável	2008
Acritopappus irwinii R. M. King & H. Rob.	307924	Acritopappus irwinii	Asteraceae		Asteraceae	EN	Em Perigo	2008
Cichlocolaptes leucophrus (Jardine & Selby, 1830)	263169	Cichlocolaptes leucophrus	Furnariidae		Cichlocolaptes leucophrus	EN	Em Perigo	2010
Sophronitis itambana (Pabst) Van den Berg & M.W.Chase	348221	Sophronitis itambana	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Dasyophthalma vertebralis Butler, 1869	137133	Dasyophthalma vertebralis	Nymphalidae		Dasyophthalma vertebralis	CR	Criticamente em Perigo	2010
Stenandrium stenophyllum Kameyama	307613	Stenandrium stenophyllum	Acanthaceae		Acanthaceae	VU	Vulnerável	2008
Alstroemeria variegata M.C.Assis	369587	Alstroemeria variegata	Alstroemeriaceae		Alstroemeriaceae	CR	Criticamente em Perigo	2008
Araucaria angustifolia (Bertol.) Kuntze	353101	Araucaria angustifolia	Araucariaceae		Araucariaceae	EN	Em Perigo	2008
Paralychnophora bicolor (DC.) MacLeish	308010	Paralychnophora bicolor	Asteraceae		Asteraceae	VU	Vulnerável	2008
Unonopsis bauxitae Maas et al.	376118	Unonopsis bauxitae	Annonaceae		Annonaceae	EN	Em Perigo	2008
Thelypteris anoptera (Kunze ex Kuhn) C.F. Reed	390552	Thelypteris anoptera	Thelypteridaceae		Thelypteridaceae	CR	Criticamente em Perigo	2008
Alstroemeria ochracea M.C.Assis	310671	Alstroemeria ochracea	Alstroemeriaceae		Alstroemeriaceae	EN	Em Perigo	2008
Vellozia alata L. B. Sm.	350731	Vellozia alata	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Paspalumzuloagae Davidse & Filg.						VU	Vulnerável	2008
Epicharis (Epicharitides) minima Friese, 1904	258514	Epicharis (Epicharitides) minima	Apidae		Epicharis (Epicharitides) minima	EN	Em Perigo	2010
Gardnerina angustata (Gardner) R.M.King & H.Rob.	312383	Gardnerina angustata	Asteraceae		Asteraceae	EN	Em Perigo	2008
Lycopodiella bradei (Herter) B.Øllg.	348438	Lycopodiella bradei	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Heteropterys lindleyana A. Juss.	335955	Heteropterys lindleyana	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Charinus eleonorae Baptista & Giupponi	233533	Charinus eleonorae	Charinidae		Charinus eleonorae	VU	Vulnerável	2010
Polypodium monoides Weath.	349272	Polypodium monoides	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Verbesina pseudoclaussenii D.J.N.Hind	308091	Verbesina pseudoclausseni	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Miconia cipoensis R.Goldenb.	322157	Miconia cipoensis	Melastomataceae		Melastomataceae	EN	Em Perigo	2008
Syngonanthus elegans (Bong.) Ruhland	317571	Syngonanthus elegans	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Leporinus thayeri Borodin, 1929						CR	Criticamente em Perigo	2010
Doryopteris itatiaiensis (Fée) Christ.	349753	Doryopteris itatiaiensis	Pteridaceae		Pteridaceae	CR	Criticamente em Perigo	2008
Chamaecrista fodinarum H.S.Irwin & Barneby	314640	Chamaecrista fodinarum	Fabaceae		Fabaceae	EN	Em Perigo	2008
Eremanthus capitatus (DC.) MacLeish	325356	Eremanthus capitatus	Asteraceae		Asteraceae	EN	Em Perigo	2008
Myrmotherula urosticta (Sclater, 1857)	230978	Myrmotherula urosticta	Thamnophilidae		Myrmotherula urosticta	EN	Em Perigo	2010
Agalinis angustifolia (Mart.) D'Arcy	329359	Agalinis angustifolia	Orobanchaceae		Orobanchaceae	VU	Vulnerável	2008
Myrmeciza ruficauda (Wied, 1831)						CR	Criticamente em Perigo	2010
Evolvulus kramerioides Mart.	315568	Evolvulus kramerioides	Convolvulaceae		Convolvulaceae	EN	Em Perigo	2008
Rudgea triflora Benth.	280124	Rudgea triflora	Rubiaceae		Rubiaceae	EN	Em Perigo	2008
Centroglossa nunes-limae Porto & Brade	362167	Centroglossa nunes-limae	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Vriesea rafaelli Leme	329103	Vriesea rafaelii	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Syngonanthus brasiliana Giul.	332362	Syngonanthus brasiliana	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Aechmea alopecurus Mez	326676	Aechmea alopecurus	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Hemipogon furlanii (Fontella) Rapini	311558	Hemipogon furlanii	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Griffinia liboniana Morren	283772	Griffinia liboniana	Amaryllidaceae		Amaryllidaceae	CR	Criticamente em Perigo	2008
Crax blumenbachii Spix, 1825	187005	Crax blumenbachii	Cracidae		Crax blumenbachii	CR	Criticamente em Perigo	2010
Coprophanaeus punctatus (d'Olsoufieff, 1924)	129254	Coprophanaeus (Metallophanaeus) punctatus	Scarabaeidae		Coprophanaeus (Metallophanaeus) punctatus	CR	Criticamente em Perigo	2010
Eriocaulon singulare Moldenke	316467	Eriocaulon singulare	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Lophopterys floribunda W.R.Anderson & C.C.Davis	336035	Lophopterys floribunda	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Cattleya guttata Lindl.	343192	Cattleya guttata	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Lippia lacunosa Mart. & Schauer	310218	Lippia lacunosa	Verbenaceae		Verbenaceae	VU	Vulnerável	2008
Paepalanthus sicaefolius Silveira	317295	Paepalanthus sicaefolius	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Amaurospiza moesta (Hartlaub, 1853)	223030	Amaurospiza moesta	Cardinalidae		Amaurospiza moesta	VU	Vulnerável	2010
Callithrix flaviceps (Thomas, 1903)	250890	Callithrix flaviceps	Callitrichidae		Callithrix flaviceps	EN	Em Perigo	2010
Hemipogon piranii (Fontella) Rapini	311572	Hemipogon piranii	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Kentropyx paulensis Boettger, 1893	256531	Kentropyx paulensis	Teiidae		Kentropyx paulensis	VU	Vulnerável	2010
Caranx latus Agassiz 1831	128023	Caranx latus	Carangidae		Caranx latus	CR	Criticamente em Perigo	2010
Chamaecostus subsessilis (Nees & Mart.) C. Specht & D. W. Stev.	376414	Chamaecostus subsessilis	Costaceae		Costaceae	CR	Criticamente em Perigo	2008
Burlemarxia rodriguesii N. L. Menezes & Semir	350685	Burlemarxia rodriguesii	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Chionolaena lychnophorioides Sch.Bip.	335301	Chionolaena lychnophorioides	Asteraceae		Asteraceae	VU	Vulnerável	2008
Minaria magisteriana (Rapini) T.U.P.Konno & Rapini	339935	Minaria magisteriana	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Vellozia armata Mello-Silva	350747	Vellozia armata	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Piprites pileata (Temminck, 1822)	114914	Piprites pileata	Pipritidae		Piprites pileata	EN	Em Perigo	2010
Biatas nigropectus (Lafresnaye, 1850)	136641	Biatas nigropectus	Thamnophilidae		Biatas nigropectus	CR	Criticamente em Perigo	2010
Veniliornis affinis (Swainson, 1821)	206570	Veniliornis affinis	Picidae		Veniliornis affinis	CR	Criticamente em Perigo	2010
Glyphonycteris sylvestris Thomas, 1896	142737	Glyphonycteris sylvestris	Phyllostomidae		Glyphonycteris sylvestris	VU	Vulnerável	2010
Charonias theano theano (Boisduval, 1836)						VU	Vulnerável	2010
Brycon insignis Steindachner, 1877	152551	Brycon insignis	Bryconidae		Brycon insignis	CR	Criticamente em Perigo	2010
Schinopsis brasiliensis Engl.	369887	Schinopsis brasiliensis	Anacardiaceae		Anacardiaceae	VU	Vulnerável	2008
Mikania parvifolia Baker	325663	Mikania parvifolia	Asteraceae		Asteraceae	VU	Vulnerável	2008
Acroceras fluminense (Hack.) Zuloaga & Morrone	348479	Acroceras fluminense	Poaceae		Poaceae	EN	Em Perigo	2008
Ida barringtoniae subsp. Rossyi (Hoehne) Oakeley	363079	Ida barringtoniae subsp. rossyi	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Merremia repens Austin & Staples	378481	Merremia repens	Convolvulaceae		Convolvulaceae	VU	Vulnerável	2008
Blotiella lindeniana (Hook.) R.M.Tryon	299059	Blotiella lindeniana	Dennstaedtiaceae		Dennstaedtiaceae	EN	Em Perigo	2008
Xyris hilariana Malme	298018	Xyris hilariana	Xyridaceae		Xyridaceae	VU	Vulnerável	2008
Orthophytum magalhaesii L. B. Sm.	328365	Orthophytum magalhaesii	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Achetaria caparaoense (Brade) V. C. Souza	329400	Achetaria caparaoense	Plantaginaceae		Plantaginaceae	CR	Criticamente em Perigo	2008
Neoplecostomus franciscoensis Langeani, 1990	273001	Neoplecostomus franciscoensis	Loricariidae		Neoplecostomus franciscoensis	VU	Vulnerável	2010
Psychotria ipecacuanha (Brot.) Stokes	279839	Psychotria ipecacuanha	Rubiaceae		Rubiaceae	CR	Criticamente em Perigo	2008
Cuphea teleandra Lourteig	309024	Cuphea teleandra	Lythraceae		Lythraceae	EN	Em Perigo	2008
Scybalium fungiforme Schott & Endl.	326095	Scybalium fungiforme	Balanophoraceae		Balanophoraceae	VU	Vulnerável	2008
Spigelia lundiana A.DC.	335228	Spigelia lundiana	Loganiaceae		Loganiaceae	CR	Criticamente em Perigo	2008
Bernardia crassifolia Müll.Arg.	317830	Bernardia crassifolia	Euphorbiaceae		Euphorbiaceae	VU	Vulnerável	2008
Vernonia irwinii G.M.Barroso	278870	Vernonia irwinii	Asteraceae		Asteraceae	VU	Vulnerável	2008
Dryopteris patula (Sw.) Underw.	347125	Dryopteris patula	Dryopteridaceae		Dryopteridaceae	CR	Criticamente em Perigo	2008
Calea heteropappa Pruski & Urbatsch	392799	Calea heteropappa	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Schiffornis turdina (Wied, 1831)	140258	Schiffornis turdina	Tityridae		Schiffornis turdina	VU	Vulnerável	2010
Monotagma plurispicatum (Körn.) K. Schum.	337358	Monotagma plurispicatum	Marantaceae		Marantaceae	VU	Vulnerável	2008
Diplazium lechleri (Mett.) T. Moore	350682	Diplazium lechleri	Athyriaceae		Athyriaceae	CR	Criticamente em Perigo	2008
Pseudotrimezia aminae Chukr	320313	Pseudotrimezia aminae	Iridaceae		Iridaceae	CR	Criticamente em Perigo	2008
Encholirium scrutor (L.B.Sm.) Rauh	314073	Encholirium scrutor	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Cuphea rubrovirens T.B.Cavalc.	309022	Cuphea rubrovirens	Lythraceae		Lythraceae	CR	Criticamente em Perigo	2008
Pseudotrimezia concava Ravenna	308845	Pseudotrimezia concava	Iridaceae		Iridaceae	EN	Em Perigo	2008
Dyckia macedoi L.B. Sm.	313977	Dyckia macedoi	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Rudgea reticulata Benth.	280113	Rudgea reticulata	Rubiaceae		Rubiaceae	VU	Vulnerável	2008
Canastra lanceolata (Filg.)	348564	Canastra lanceolata	Poaceae		Poaceae	EN	Em Perigo	2008
Vriesea oligantha (Baker) Mez	286715	Vriesea oligantha	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Pseudolaelia corcovadensis Porto & Brade	345545	Pseudolaelia corcovadensis	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Glyphonycteris behnii (Peters 1865)	236764	Glyphonycteris behnii	Phyllostomidae		Glyphonycteris behnii	VU	Vulnerável	2010
Costus cuspidatus (Nees & Mart.) Maas	377762	Costus cuspidatus	Costaceae		Costaceae	VU	Vulnerável	2008
Alstroemeria isabelleana Herb.	369557	Alstroemeria isabelleana	Alstroemeriaceae		Alstroemeriaceae	EN	Em Perigo	2008
Lavoisiera crassifolia Mart. & Schr. ex DC.	322036	Lavoisiera crassifolia	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Lychnophora syncephalla Sch. Bip.	378463	Lychnophora syncephala	Asteraceae		Asteraceae	VU	Vulnerável	2008
Neoregelia ibitipocensis Leme	327967	Neoregelia ibitipocensis	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Syngonanthus suberosus Giul.	332421	Syngonanthus suberosus	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Anthurium fontellanus Nadruz & Leoni	324227	Anthurium fontellanum	Araceae		Araceae	CR	Criticamente em Perigo	2008
Arthrocereus glaziovii (K.Schum.) N.P.Taylor & Zappi	367426	Arthrocereus glaziovii	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Megalops atlanticus Valenciennes 1847	240271	Megalops atlanticus	Megalopidae		Megalops atlanticus	CR	Criticamente em Perigo	2010
Diplusodon minasensis Lourteig	321224	Diplusodon minasensis	Lythraceae		Lythraceae	VU	Vulnerável	2008
Glaucis dohrnii (Bourcier e Mulsant,1852)	209970	Glaucis dohrnii	Trochilidae		Glaucis dohrnii	CR	Criticamente em Perigo	2010
Vernonia viscidula Less.	389309	Vernonia viscidula	Asteraceae		Asteraceae	EN	Em Perigo	2008
Gaylussacia caparoensis Sleumer	331847	Gaylussacia caparoensis	Ericaceae		Ericaceae	VU	Vulnerável	2008
Tapirus terrestris (Linnaeus, 1758)	256113	Tapirus terrestris	Tapiriidae		Tapirus terrestris	EN	Em Perigo	2010
Mezia araujoi Nied.	336059	Mezia araujoi	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Mimosa macedoana (Burkart) Barneby	322988	Mimosa macedoana	Fabaceae		Fabaceae	EN	Em Perigo	2008
Megalastrum lasiernos (Spreng.) A.R.Sm. & R.C.Moran						VU	Vulnerável	2008
Heliconia subulata Ruiz & Pavón	333328	Heliconia subulata	Heliconiaceae		Heliconiaceae	CR	Criticamente em Perigo	2008
Ocotea odorifera (Vell.) Rohwer	334751	Ocotea odorifera	Lauraceae		Lauraceae	VU	Vulnerável	2008
Cyperus subcastaneus graomogolii D.A. Simpson	315933	Cyperus subcastaneus subsp. graomogolii	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Euplassa semicostata Plana	278505	Euplassa semicostata	Proteaceae		Proteaceae	VU	Vulnerável	2008
Itatiella ulei (Broth. ex Müll. Hal.) G. L. Sm.	362180	Itatiella ulei	Polytrichaceae		Polytrichaceae	VU	Vulnerável	2008
Encholirium horridum L.B.Sm.	327720	Encholirium horridum	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Chamaecrista cipoana (H. S. Irwin & Barneby) H. S. Irwin & Barneby	314490	Chamaecrista cipoana	Fabaceae		Fabaceae	VU	Vulnerável	2008
Hippeastrum psittacinum (Ker Gawler) Herb.	369787	Hippeastrum psittacinum	Amaryllidaceae		Amaryllidaceae	CR	Criticamente em Perigo	2008
Melocactus violaceus Pfeiff.	367957	Melocactus violaceus	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Alstroemeria apertiflora Baker	369533	Alstroemeria apertiflora	Alstroemeriaceae		Alstroemeriaceae	CR	Criticamente em Perigo	2008
Goyazia rupicola Taubert	320223	Goyazia rupicola	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Vriesea itatiaiae Wawra	328936	Vriesea itatiaiae	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Baccharis concinna G.M.Barroso	311913	Baccharis concinna	Asteraceae		Asteraceae	EN	Em Perigo	2008
Pseudotrimezia gracilis Chukr	320326	Pseudotrimezia gracilis	Iridaceae		Iridaceae	VU	Vulnerável	2008
Pfaffia minarum Pedersen	327743	Pfaffia minarum	Amaranthaceae		Amaranthaceae	VU	Vulnerável	2008
Mimosa pogonoclada Benth.	323123	Mimosa pogonoclada	Fabaceae		Fabaceae	VU	Vulnerável	2008
Baccharis polyphylla Gardner	284895	Baccharis polyphylla	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Pteroglossus bailloni (Vieillot, 1819)	115548	Pteroglossus bailloni	Ramphastidae		Pteroglossus bailloni	VU	Vulnerável	2010
Geositta poeciloptera (Wied, 1830)	261771	Geositta poeciloptera	Scleruridae		Geositta poeciloptera	EN	Em Perigo	2010
Minasia alpestris (Gardner) H.Rob.	313073	Minasia alpestris	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Billbergia tweediana Baker						VU	Vulnerável	2008
Brachionidium restrepioides (Hoehne) Pabst	342837	Brachionidium restrepioides	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Simpsonichthys trilineatus (Costa & Brasil, 1994)						CR	Criticamente em Perigo	2010
Cissus pulcherrima Vell.	283210	Cissus pulcherrima	Vitaceae		Vitaceae	EN	Em Perigo	2008
Sophronitis duveenii (Fowlie) Van den Berg & M.W.Chase	364782	Sophronitis duveenii	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Melpomene peruviana (Desv.) A.R. Sm. & R.C. Moran	348994	Melpomene peruviana	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Adiantum discolor Prado	349521	Adiantum discolor	Pteridaceae		Pteridaceae	CR	Criticamente em Perigo	2008
Miltonia regnellii Rchb. f.	344735	Miltonia regnellii	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Eugenia blanda Sobral	309366	Eugenia blanda	Myrtaceae		Myrtaceae	VU	Vulnerável	2008
Macroperipatus acacioi (Marcus & Marcus, 1995) Peck, 1975	201026	Macroperipatus acacioi	Peripatidae		Macroperipatus acacioi	VU	Vulnerável	2010
Epicharis (Epicharana) pygialis (Friese, 1900)	164541	Epicharis (Epicharana) pygialis	Apidae		Epicharis (Epicharana) pygialis	VU	Vulnerável	2010
Cuphea adenophylla T.B.Cavalc.	320961	Cuphea adenophylla	Lythraceae		Lythraceae	CR	Criticamente em Perigo	2008
