"Supplied Name","guid","scientificName","family","kingdom","status","sourceStatus","year","family"
"Marmosops incanus(Lund, 1840)","147497","Marmosops incanus","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Sooretamys angouya(Fischer, 1814)","220461","Sooretamys angouya","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Anoura caudifer(É. Geoffroy, 1818)","142435","Anoura caudifer","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Hydrochoerus hydrochaeris(Linnaeus, 1766)","129660","Hydrochoerus hydrochaeris","Caviidae",,"LC","Pouco Preocupante","2010","Caviidae"
"Euryzygomatomys spinosus(Fischer, 1814)","136869","Euryzygomatomys spinosus","Echimyidae",,"DD","Dados Insuficientes","2010","Echimyidae"
"Leopardus geoffroyi(d’Orbigny & Gervais, 1844)","226823","Leopardus geoffroyi","Felidae",,"NE","Não Avaliado","2010","Felidae"
"Pteronura brasiliensis(Gmelin, 1788)","174417","Pteronura brasiliensis","Mustelidae",,"CR","Criticamente em Perigo","2010","Mustelidae"
"Caluromys philander(Linnaeus, 1758)","147345","Caluromys philander","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Lasiurus cinereus(Beauvois, 1796)","151329","Lasiurus (Lasiurus) cinereus","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Artibeus lituratus(Olfers, 1818)","174123","Artibeus (Artibeus) lituratus","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Vampyressa pusilla(Wagner, 1843)","142697","Vampyressa pusilla","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Myrmecophaga tridactyla Linnaeus, 1758",,"Myrmecophaga tridactyla",,,"CR","Criticamente em Perigo","2010",
"Puma yagouaroundi(É. Geoffroy, 1803)","131599","Puma yagouaroundi","Felidae",,"DD","Dados Insuficientes","2010","Felidae"
"Mazama bororo Duarte, 1996",,"Mazama bororo",,,"VU","Vulnerável","2010",
"Chrotopterus auritus(Peters, 1856)","236767","Chrotopterus auritus","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Tapirus terrestris(Linnaeus, 1758)","256113","Tapirus terrestris","Tapiriidae",,"EN","Em Perigo","2010","Tapiriidae"
