"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Vriesea delicatula L. B. Sm.","328832","Vriesea delicatula","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Lytocaryum insigne (Hort. ex Drude) Toledo","333855","Lytocaryum insigne","Arecaceae",,"Arecaceae","V","Vulnerável"
"Agalinis bandeirensis Barringer","346363","Agalinis bandeirensis","Orobanchaceae",,"Orobanchaceae","CR","CriticamEm Perigote em Perigo"
"Piptocarpha notata (Less.) Baker","325862","Piptocarpha notata","Asteraceae",,"Asteraceae","V","Vulnerável"
"Dimerandra emarginata (G. Mey.) Hoehne","343590","Dimerandra emarginata","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Cyathea poeppigii (Hook.) Domin","298997","Cyathea poeppigii","Cyatheaceae",,"Cyatheaceae","V","Vulnerável"
"Phymatidium glaziovii Toscano","345148","Phymatidium glaziovii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Kielmeyera rupestris Duarte","330035","Kielmeyera rupestris","Calophyllaceae",,"Calophyllaceae","CR","CriticamEm Perigote em Perigo"
"Plinia renatiana G. M. Barroso & A. L. Peixoto","341716","Plinia renatiana","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Radula affinis Lindenb. & Gott.",,,,,,"V","Vulnerável"
"Lycaste ciliata (Ruiz & Pav.) Lindl. ex Rchb. f.","344594","Lycaste ciliata","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Cephalozia crassifolia (Lindenb. & Gott.) Fulf.","363548","Cephalozia crassifolia","Cephaloziaceae",,"Cephaloziaceae","EN","Em Perigo"
"Calathea singularis H. Kenn.","337197","Calathea singularis","Marantaceae",,"Marantaceae","EN","Em Perigo"
"Acianthera  papillosa (Lindl.) Pridgeon & M. W. Chase","342329","Acianthera papillosa","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Bulbophyllum boudetiana Fraga","342912","Bulbophyllum boudetianum","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Habenaria carvalhoi Ruschi","317489","Habenaria carvalhoi","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Ornithophora radicans (Rchb. f.) Garay & Pabst","345018","Ornithophora radicans","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Encyclia burle-marxii Pabst","314887","Encyclia burle-marxii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Miconia capixaba R. Goldenberg","329910","Miconia capixaba","Melastomataceae",,"Melastomataceae","EN","Em Perigo"
"Asplenium austrobrasiliense (Christ) Maxon","298459","Asplenium austrobrasiliense","Aspleniaceae",,"Aspleniaceae","V","Vulnerável"
"Peperomia suboppositifolia Yunck.","275085","Peperomia suboppositifolia","Piperaceae",,"Piperaceae","CR","CriticamEm Perigote em Perigo"
"Byrsonima alvimii W. R. Anderson","335764","Byrsonima alvimii","Malpighiaceae",,"Malpighiaceae","CR","CriticamEm Perigote em Perigo"
"Piper laevicarpum Yunck.","275371","Piper laevicarpum","Piperaceae",,"Piperaceae","V","Vulnerável"
"Odontocarya vitis (Vell.) J. M. A. Braga","339367","Odontocarya vitis","Menispermaceae",,"Menispermaceae","V","Vulnerável"
"Epidendrum carpophorum Barb. Rodr.","293936","Epidendrum carpophorum","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Cissus blanchetiana Planch.","283184","Cissus blanchetiana","Vitaceae",,"Vitaceae","V","Vulnerável"
"Belemia  fucsioides Pires","341905","Belemia fucsioides","Nyctaginaceae",,"Nyctaginaceae","CR","CriticamEm Perigote em Perigo"
"Zygopetalum brachypetalum Lindl.","346274","Zygopetalum brachypetalum","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Pteris limae Brade","349990","Pteris limae","Pteridaceae",,"Pteridaceae","V","Vulnerável"
"Acianthera  heringeri (Hoehne) F. Barros","342244","Acianthera heringeri","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Justicia congrua (Nees) Lindau","369142","Justicia congrua","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Trichocentrum fuscum Lindl.","346115","Trichocentrum fuscum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Anthurium ianthinopodum  Schott ex Engler","307842","Anthurium ianthinopodum","Araceae",,"Araceae","V","Vulnerável"
"Calathea sciuroides Petersen","337191","Calathea sciuroides","Marantaceae",,"Marantaceae","EN","Em Perigo"
"Aphelandra nitida  Nees & Mart.","369017","Aphelandra nitida","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Ottonia peltata E. F. Guim. & Ichaso","274725","Ottonia peltata","Piperaceae",,"Piperaceae","V","Vulnerável"
"Melicoccus espiritosantensis Acev.-Rodr.","296571","Melicoccus espiritosantensis","Sapindaceae",,"Sapindaceae","EN","Em Perigo"
"Pallavicinia lyellii (Hook.) S. F. Gray","365514","Pallavicinia lyellii","Pallaviciniaceae",,"Pallaviciniaceae","V","Vulnerável"
"Bactris ferruginea Burret","284358","Bactris ferruginea","Arecaceae",,"Arecaceae","EN","Em Perigo"
"Tillandsia kautskyi E. Pereira","328627","Tillandsia kautskyi","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Miltonia spectabilis Lindl.","344737","Miltonia spectabilis","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Sinningia magnifica (Otto & A. Dietr.) Wiehler","333183","Sinningia magnifica","Gesneriaceae",,"Gesneriaceae","V","Vulnerável"
"Calathea wioti Regel  ","350830","Calathea wioti","Marantaceae",,"Marantaceae","CR","CriticamEm Perigote em Perigo"
"Hoffmannseggella  kautskyana V. P. Castro & Chiron",,,,,,"CR","CriticamEm Perigote em Perigo"
"Cryptophoranthus schenckii Cogn.","313840","Cryptophoranthus schenckii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Begonia hugelii (Klotzsch) A. DC.","326324","Begonia huegelii","Begoniaceae",,"Begoniaceae","EN","Em Perigo"
"Aechmea pedicellata Leme & Luther","326981","Aechmea pedicellata","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Elaphoglossum nigrescens (Hook.) T. Moore ex Diels","347287","Elaphoglossum nigrescens","Dryopteridaceae",,"Dryopteridaceae","V","Vulnerável"
