"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Buchenavia pabstii Marquete & C.Valente  ","330080","Buchenavia pabstii","Combretaceae",,"Combretaceae","EN","Em Perigo"
"Sinningia sceptrum (Mart.) Wiehler","333208","Sinningia sceptrum","Gesneriaceae",,"Gesneriaceae","V","Vulnerável"
"Peixotoa glabra Adr. Juss.","321573","Peixotoa glabra","Malpighiaceae",,"Malpighiaceae","CR","CriticamEm Perigote em Perigo"
"Aechmea rubrolilacina Leme","327036","Aechmea rubrolilacina","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Asplenium lacinulatum Schrad.","298576","Asplenium lacinulatum","Aspleniaceae",,"Aspleniaceae","V","Vulnerável"
"Asplenium wacketii Rosenst.","298731","Asplenium wacketii","Aspleniaceae",,"Aspleniaceae","V","Vulnerável"
"Acianthera  rupestris (Lindl.) F. Barros","309762","Acianthera rupestris","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Bulbophyllum gomesii Fraga","361787","Bulbophyllum gomesii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Codonanthe devosiana Lem.","332884","Codonanthe devosiana","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Sloanea garckeana K. Schum.","331748","Sloanea garckeana","Elaeocarpaceae",,"Elaeocarpaceae","V","Vulnerável"
"Elaphoglossum organense Brade","360644","Elaphoglossum organense","Dryopteridaceae",,"Dryopteridaceae","V","Vulnerável"
"Philodendron vargealtense Sakuragui","324639","Philodendron vargealtense","Araceae",,"Araceae","CR","CriticamEm Perigote em Perigo"
"Syagrus botryophora (Mart.) Mart.","284485","Syagrus botryophora","Arecaceae",,"Arecaceae","V","Vulnerável"
"Neoregelia ruschii Leme & B. R. Silva","328103","Neoregelia ruschii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Byrsonima laevigata (Poir.) DC.","335794","Byrsonima laevigata","Malpighiaceae",,"Malpighiaceae","V","Vulnerável"
"Conchocarpus marginatus (Rizzini) Kallunki & Pirani  ","365194","Conchocarpus marginatus","Rutaceae",,"Rutaceae","EN","Em Perigo"
"Vriesea morrenii Wawra","329009","Vriesea morrenii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Orthophytum estevesii (Rauh) Leme","328322","Orthophytum estevesii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Bunchosia acuminata Dobson  ","335745","Bunchosia acuminata","Malpighiaceae",,"Malpighiaceae","V","Vulnerável"
"Nematanthus sericeus (Hanst.) Chautems","333008","Nematanthus sericeus","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Alstroemeria capixaba M. C. Assis","369537","Alstroemeria capixaba","Alstroemeriaceae",,"Alstroemeriaceae","CR","CriticamEm Perigote em Perigo"
"Bradea montana Brade","278688","Bradea montana","Rubiaceae",,"Rubiaceae","EN","Em Perigo"
"Stanhopea insignis Frost ex W. Hook.","346007","Stanhopea insignis","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Dorstenia hildegardis Carauta, C. Valente & R. Barth","379205","Dorstenia hildegardis","Moraceae",,"Moraceae","CR","CriticamEm Perigote em Perigo"
"Beilschmiedia linharensis  Sa. Nishida & van der Werff","334492","Beilschmiedia linharensis","Lauraceae",,"Lauraceae","EN","Em Perigo"
"Pseudolaelia dutrae Ruschi","345548","Pseudolaelia dutrae","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Swartzia linharensis Mansano  ","280665","Swartzia linharensis","Fabaceae",,"Fabaceae","EN","Em Perigo"
"Neoregelia inexspectata Leme","327974","Neoregelia inexspectata","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Neoregelia zonata L. B. Sm.","328158","Neoregelia zonata","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Dorstenia alberti Carauta, C. Valente & Sucre","379222","Dorstenia alberti","Moraceae",,"Moraceae","CR","CriticamEm Perigote em Perigo"
"Peperomia rostulatiformis Yunck.","275042","Peperomia rostulatiformis","Piperaceae",,"Piperaceae","CR","CriticamEm Perigote em Perigo"
"Aspilia floribunda (Gardner) Baker","311788","Aspilia floribunda","Asteraceae",,"Asteraceae","V","Vulnerável"
"Sinningia aghensis Chautems","333067","Sinningia aghensis","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Calathea tuberosa (Vell.) Körn.","337203","Calathea tuberosa","Marantaceae",,"Marantaceae","CR","CriticamEm Perigote em Perigo"
"Huperzia martii (Wawra) Holub","348304","Huperzia martii","Lycopodiaceae",,"Lycopodiaceae","V","Vulnerável"
"Schwenckia novaveneciana Carvalho","281529","Schwenckia nova-veneciana","Solanaceae",,"Solanaceae","CR","CriticamEm Perigote em Perigo"
"Pilosocereus brasiliensis (Britton & Rose) Backeb.","368141","Pilosocereus brasiliensis","Cactaceae",,"Cactaceae","V","Vulnerável"
"Pycnolejeunea papillosa X. - L. He","364817","Pycnolejeunea papillosa","Lejeuneaceae",,"Lejeuneaceae","V","Vulnerável"
"Bertolonia foveolata Brade","337501","Bertolonia foveolata","Melastomataceae",,"Melastomataceae","CR","CriticamEm Perigote em Perigo"
"Hadrolaelia coccinea (Lindl.) Chiron & V. P. Castro","344347","Hadrolaelia coccinea","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Phymatidium geiseli Ruschi; Albuquerque; Zipinotti & A. Ruschi",,,,,,"CR","CriticamEm Perigote em Perigo"
"Aphelandra espirito-santensis Profice & Wassh.","368980","Aphelandra espirito-santensis","Acanthaceae",,"Acanthaceae","EN","Em Perigo"
"Begonia polygonifolia A. DC.","326503","Begonia polygonifolia","Begoniaceae",,"Begoniaceae","CR","CriticamEm Perigote em Perigo"
"Dichaea moseni Rchb. f.","343572","Dichaea mosenii","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Aphanolejeunea ephemeroides Schust.",,,,,,"V","Vulnerável"
"Philodendron hatschbachii Nadruz & Mayo","324554","Philodendron hatschbachii","Araceae",,"Araceae","EN","Em Perigo"
"Begonia crispula Brade","326210","Begonia crispula","Begoniaceae",,"Begoniaceae","CR","CriticamEm Perigote em Perigo"
"Conocliniopsis prasiifolia (DC.) R. M. King & H. Rob.  ","285081","Conocliniopsis prasiifolia","Asteraceae",,"Asteraceae","V","Vulnerável"
"Dorstenia cayapia Vell.","339609","Dorstenia cayapia","Moraceae",,"Moraceae","EN","Em Perigo"
"Huperzia flexibilis (Fée) B. Ollg.",,,,,,"V","Vulnerável"
"Neoregelia zaslawskyi E. Pereira & Leme","328154","Neoregelia zaslawskyi","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Maxillaria robusta Barb. Rodr.","294151","Maxillaria robusta","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Vriesea repandostachys Leme","329119","Vriesea repandostachys","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Mikania biformis DC.","325473","Mikania biformis","Asteraceae",,"Asteraceae","V","Vulnerável"
"Cryptanthus dorothyae Leme","327470","Cryptanthus dorothyae","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Couepia carautae Prance","354701","Couepia carautae","Chrysobalanaceae",,"Chrysobalanaceae","EN","Em Perigo"
"Plinia stictophylla G. M. Barroso & A. L. Peixoto  ","341738","Plinia stictophylla","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Chamaeranthemum beyrichii Nees  ","369063","Chamaeranthemum beyrichii","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Heteropterys perplexa W. R. Anderson","292216","Heteropterys perplexa","Malpighiaceae",,"Malpighiaceae","V","Vulnerável"
"Vriesea gracilior (L. B. Sm.) Leme","328895","Vriesea gracilior","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Epidendrum kautskyi Pabst","343825","Epidendrum kautskyi","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Rodrigueziella gomezoides (Barb. Rodr.) Berman","345673","Rodrigueziella gomezoides","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Rudgea minor","280086","Rudgea minor","Rubiaceae",,"Rubiaceae","CR","CriticamEm Perigote em Perigo"
"Centroglossa macroceras Barb. Rodr.","343233","Centroglossa macroceras","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Dorstenia milaneziana Carauta, C. Valente & Sucre","293109","Dorstenia milaneziana","Moraceae",,"Moraceae","EN","Em Perigo"
"Encyclia bragancae Ruschi","343679","Encyclia bragancae","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Orthophytum zanonii Leme","328398","Orthophytum zanonii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Begonia hirtella Link","326313","Begonia hirtella","Begoniaceae",,"Begoniaceae","EN","Em Perigo"
"Bulbophyllum cantagalense (Barb. Rodr.) Cogn.","342917","Bulbophyllum cantagallense","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Rudgea minor (Cham.) Standl.","280086","Rudgea minor","Rubiaceae",,"Rubiaceae","V","Vulnerável"
"Dorstenia gracilis Carauta, C. Valente & Araujo",,,,,,"EN","Em Perigo"
"Schultesia guianensis (Aubl.) Malme","332747","Schultesia guianensis","Gentianaceae",,"Gentianaceae","CR","CriticamEm Perigote em Perigo"
"Jungermannia amoena Lindenb. & Gott.","363922","Jungermannia amoena","Jungermanniaceae",,"Jungermanniaceae","V","Vulnerável"
"Saranthe klotzchiana (Körn.) Eichler",,,,,,"V","Vulnerável"
"Vriesea hieroglyphica (Carriere) E. Morren","328916","Vriesea hieroglyphica","Bromeliaceae",,"Bromeliaceae","CR","CriticamEm Perigote em Perigo"
"Rudgea reflexa Zappi","280110","Rudgea reflexa","Rubiaceae",,"Rubiaceae","EN","Em Perigo"
"Oxalis clausenii Lourteig","274171","Oxalis clausenii","Oxalidaceae",,"Oxalidaceae","V","Vulnerável"
"Campylocentrum crassirhizum Hoehne","343012","Campylocentrum crassirhizum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Ottonia villosa Yunck.","274734","Ottonia villosa","Piperaceae",,"Piperaceae","EN","Em Perigo"
"Caesalpinia echinata Lam.","285913","Caesalpinia echinata","Fabaceae",,"Fabaceae","CR","CriticamEm Perigote em Perigo"
"Acianthera  saurocephala (Lodd.) Pridgeon & M. W. Chase","342365","Acianthera saurocephala","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Hadrolaelia pygmaea (Pabst) Chiron & V. P. Castro","344374","Hadrolaelia pygmaea","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Aechmea microcephala E. Pereira & Leme","353649","Aechmea microcephala","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Neoregelia pascoaliana L. B. Sm.","328061","Neoregelia pascoaliana","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Notylia microchila Cogn.  ","363301","Notylia microchila","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Aphelandra maximiliana (Nees) Benth.","369009","Aphelandra maximiliana","Acanthaceae",,"Acanthaceae","EN","Em Perigo"
"Polygala pulcherrima Kuhlm.","295540","Polygala pulcherrima","Polygalaceae",,"Polygalaceae","EN","Em Perigo"
"Cryptanthus exaltatus H. Luther","327474","Cryptanthus exaltatus","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Mezilaurus  crassiramea (Meisn.) Taub. ex Mez","320746","Mezilaurus crassiramea","Lauraceae",,"Lauraceae","CR","CriticamEm Perigote em Perigo"
"Calathea aemula Körn.","337230","Calathea aemula","Marantaceae",,"Marantaceae","V","Vulnerável"
"Fissidens elegans Brid.","360911","Fissidens elegans","Fissidentaceae",,"Fissidentaceae","V","Vulnerável"
"Encholirium gracile L. B. Sm.","327717","Encholirium gracile","Bromeliaceae",,"Bromeliaceae","CR","CriticamEm Perigote em Perigo"
"Dorstenia bonijesu Carauta & C. Valente","339597","Dorstenia bonijesu","Moraceae",,"Moraceae","V","Vulnerável"
"Cranichis candida (Barb. Rodr.) Cogn.","343404","Cranichis candida","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Piper truncatum Vell.","275565","Piper truncatum","Piperaceae",,"Piperaceae","EN","Em Perigo"
"Cryptochloa capillata (Trin.) Soderstr.  ","276471","Cryptochloa capillata","Poaceae",,"Poaceae","EN","Em Perigo"
"Stromanthe schottiana Eichler","337394","Stromanthe schottiana","Marantaceae",,"Marantaceae","V","Vulnerável"
"Miconia setosociliata Cogn.","338533","Miconia setosociliata","Melastomataceae",,"Melastomataceae","V","Vulnerável"
"Dasycondylus resinosus (Spreng.) R. M. King & H. Rob.  ","285097","Dasycondylus resinosus","Asteraceae",,"Asteraceae","V","Vulnerável"
"Vriesea parviflora L. B. Sm.","329042","Vriesea parviflora","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Vriesea pereireae L. B. Sm.","329060","Vriesea pereirae","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Pseudolaelia canaanensis (Ruschi) F. Barros","345542","Pseudolaelia canaanensis","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Oxalis rhombeo-ovata A. St.-Hil.","274302","Oxalis rhombeo-ovata","Oxalidaceae",,"Oxalidaceae","V","Vulnerável"
"Hymenolobium janeirense Kuhlm.","281491","Hymenolobium janeirense","Fabaceae",,"Fabaceae","V","Vulnerável"
"Acianthera  auriculata (Lindl.) Pridgeon & M. W. Chase","342173","Acianthera auriculata","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Piptocarpha robusta G. M. Barroso","325886","Piptocarpha robusta","Asteraceae",,"Asteraceae","V","Vulnerável"
"Racinaea domingos-martinsii (Rauh) J. R. Grant",,,,,,"V","Vulnerável"
"Anthurium jilekii Schott","324263","Anthurium jilekii","Araceae",,"Araceae","V","Vulnerável"
"Cavanillesia arborea (Willdenow) K. Schum.","303173","Cavanillesia arborea","Malvaceae",,"Malvaceae","V","Vulnerável"
"Piper vicosanum Yunck.","294756","Piper vicosanum","Piperaceae",,"Piperaceae","EN","Em Perigo"
"Bactris timbuiensis Boudet Fern.","353276","Bactris timbuiensis","Arecaceae",,"Arecaceae","V","Vulnerável"
"Otacanthus caparaoensis Brade","313586","Otacanthus caparaoensis","Plantaginaceae",,"Plantaginaceae","CR","CriticamEm Perigote em Perigo"
"Vanilla dubia Hoehne","346185","Vanilla dubia","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Siparuna reginae (Tul.) A. DC.  ","281050","Siparuna reginae","Siparunaceae",,"Siparunaceae","V","Vulnerável"
"Bertolonia formosa Brade","337498","Bertolonia formosa","Melastomataceae",,"Melastomataceae","CR","CriticamEm Perigote em Perigo"
"Trichocolea uleana Steph.",,,,,,"EN","Em Perigo"
"Tabebuia riodocensis A. H. Gentry  ","387174","Tabebuia riodocensis","Bignoniaceae",,"Bignoniaceae","EN","Em Perigo"
"Clusia aemygdioi A. G. da Silva & B. Weinberg","329893","Clusia aemygdioi","Clusiaceae",,"Clusiaceae","V","Vulnerável"
"Neomitranthes obtusa Sobral & Zambom","341630","Neomitranthes obtusa","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Pleurothallis colnagoi Pabst","364226","Pleurothallis colnagoi","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Andreaea spurioalpina C. Muell.",,,,,,"EN","Em Perigo"
"Codonanthe uleana Fritsch  ","332898","Codonanthe uleana","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Vochysia santaluciae M. C. Vianna & Fontella  ","333474","Vochysia santaluciae","Vochysiaceae",,"Vochysiaceae","EN","Em Perigo"
"Vriesea pabstii McWilliams & L. B. Sm.","329028","Vriesea pabstii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Barnebya dispar (Griseb.) W. R. Anderson & B. Gates","335730","Barnebya dispar","Malpighiaceae",,"Malpighiaceae","CR","CriticamEm Perigote em Perigo"
"Sinningia barbata (Nees & Mart.) G.  Nicholson","333082","Sinningia barbata","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Ruellia rosea (Nees) Hemsl.",,,,,,"V","Vulnerável"
"Verdoornianthus griffinii Gradst.","364906","Verdoornianthus griffinii","Lejeuneaceae",,"Lejeuneaceae","V","Vulnerável"
"Cryptanthus whitmanii Leme","327586","Cryptanthus whitmanii","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Maxillaria piresiana Hoehne","363376","Maxillaria piresiana","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Hyptis paludosa A. St.-Hill ex Benth.  ","334076","Hyptis paludosa","Lamiaceae",,"Lamiaceae","V","Vulnerável"
"Pavonia selloi Gürke ex Mart.","352201","Pavonia selloi","Malvaceae",,"Malvaceae","V","Vulnerável"
"Riodocea pulcherrima Delprete","280035","Riodocea pulcherrima","Rubiaceae",,"Rubiaceae","EN","Em Perigo"
"Stenostephanus lobeliaeformis Nees","369443","Stenostephanus lobeliiformis","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Encyclia megalantha (Barb. Rodr.) Porto & Brade","315002","Encyclia megalantha","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Tibouchina apparicioi Brade","338871","Tibouchina apparicioi","Melastomataceae",,"Melastomataceae","CR","CriticamEm Perigote em Perigo"
"Acianthera  strupifolia (Lindl.) Pridgeon & M. W. Chase","342378","Acianthera strupifolia","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Eriope macrostachya Mart. ex Benth.  ","333806","Eriope macrostachya","Lamiaceae",,"Lamiaceae","EN","Em Perigo"
"Heteropterys bahiensis Nied.  ","335899","Heteropterys bahiensis","Malpighiaceae",,"Malpighiaceae","EN","Em Perigo"
"Vochysia angelica M. C. Vianna & Fontella  ","283326","Vochysia angelica","Vochysiaceae",,"Vochysiaceae","EN","Em Perigo"
"Tachigali  rugosa (Mart. ex Benth.) Zarucchi & Pipoly","325868","Tachigali rugosa","Fabaceae",,"Fabaceae","EN","Em Perigo"
"Hoffmannseggella  mixta (Hoehne) Chiron & V. P. Castro","344435","Hoffmannseggella mixta","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Justicia tijucensis V. A. W. Graham","369210","Justicia tijucensis","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Eltroplectris kuhlmanniana (Hoehne) Pabst","343660","Eltroplectris kuhlmanniana","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Cissus coccinea (Baker) Mart. ex Planch.","283193","Cissus coccinea","Vitaceae",,"Vitaceae","V","Vulnerável"
"Mikania firmula Baker","325360","Mikania firmula","Asteraceae",,"Asteraceae","V","Vulnerável"
"Andradea floribunda Allemão","341898","Andradea floribunda","Nyctaginaceae",,"Nyctaginaceae","EN","Em Perigo"
"Rudgea coronata","280052","Rudgea coronata","Rubiaceae",,"Rubiaceae","CR","CriticamEm Perigote em Perigo"
"Elaphoglossum villosum (Sw.) J. Sm.",,,,,,"V","Vulnerável"
"Syagrus romanzoffiana (Cham.) Glassman","284525","Syagrus romanzoffiana","Arecaceae",,"Arecaceae","CR","CriticamEm Perigote em Perigo"
"Catasetum purum Nees & Sinning","343163","Catasetum purum","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Coryanthes speciosa (Hook.) Hook.","343394","Coryanthes speciosa","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Oncidium majevskyi Toscano & V. P. Castro","393917","Oncidium majevskyi","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Mikania dentata G. M. Barroso","325800","Mikania ternata","Asteraceae",,"Asteraceae","V","Vulnerável"
"Cryptanthus lutherianus I. Ramírez","327504","Cryptanthus lutherianus","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Myrcia follii G. M. Barroso & A. L. Peixoto","341222","Myrcia follii","Myrtaceae",,"Myrtaceae","V","Vulnerável"
"Vriesea funebris L. B. Sm.","328880","Vriesea funebris","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Cirrhaea longiracemosa Hoehne","343278","Cirrhaea longiracemosa","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Eremanthus crotonoides (DC.) Sch. Bip.","325363","Eremanthus crotonoides","Asteraceae",,"Asteraceae","V","Vulnerável"
"Paratecoma peroba (Record & Mell) Kuhlm.","386777","Paratecoma peroba","Bignoniaceae",,"Bignoniaceae","CR","CriticamEm Perigote em Perigo"
"Ocotea polyantha (Nees & Mart.) Mez","334754","Ocotea polyantha","Lauraceae",,"Lauraceae","EN","Em Perigo"
"Bulbophyllum campos-portoi Brade","342914","Bulbophyllum campos-portoi","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Centroglossa tripollinica Barb. Rodr.","343242","Centroglossa tripollinica","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Phymatidium tillandsoides Barb. Rodr.",,,,,,"CR","CriticamEm Perigote em Perigo"
"Miltonia russelliana (Lindl.) Lindl.","363476","Miltonia russelliana","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Acianthera  aphthosa (Lindl.) Pridgeon & M. W. Chase","342171","Acianthera aphthosa","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Metzgeria libnanniana  Lindenb. & Gott.",,,,,,"V","Vulnerável"
"Dalbergia elegans A. M. Carvalho","319048","Dalbergia elegans","Fabaceae",,"Fabaceae","EN","Em Perigo"
"Aechmea fosteriana L. B. Sm.","326841","Aechmea fosteriana","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo"
"Maxillaria cleistogama Brieger & Illg.","294119","Maxillaria cleistogama","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Arachniopsis monodactyla (Spruce) Schust.",,,,,,"V","Vulnerável"
"Trichocolea brevifissa Steph.","365350","Trichocolea brevifissa","Trichocoleaceae",,"Trichocoleaceae","EN","Em Perigo"
"Blotiella lindeniana (Hook.) R. M. Tryon","299059","Blotiella lindeniana","Dennstaedtiaceae",,"Dennstaedtiaceae","V","Vulnerável"
"Epidendrum geniculatum Barb. Rodr.","343804","Epidendrum geniculatum","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Pseudolaelia vellozicola (Hoehne) Porto & Brade","345560","Pseudolaelia vellozicola","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Hadrolaelia xanthina (Lindl.) Chiron & V. P. Castro","344391","Hadrolaelia xanthina","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Bulbophyllum teresensis Ruschi",,,,,,"CR","CriticamEm Perigote em Perigo"
"Cattleya velutina Rchb.f.","343223","Cattleya velutina","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Trichopilia santos-limae Brade","346124","Trichopilia santos-limae","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Heliconia richardiana Miq.","333322","Heliconia richardiana","Heliconiaceae",,"Heliconiaceae","V","Vulnerável"
"Xylobium pallidiflorum (Hook.) G. Nicholson","393449","Xylobium pallidiflorum","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Rhipsalis paradoxa (Salm-Dyck ex Pfeiff.) Salm-Dyck","368360","Rhipsalis paradoxa","Cactaceae",,"Cactaceae","EN","Em Perigo"
"Trattinnickia mensalis Daly","329312","Trattinnickia mensalis","Burseraceae",,"Burseraceae","EN","Em Perigo"
"Bifrenaria witigii (Rchb. f.) Hoehne","342816","Bifrenaria wittigii","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Rhacocarpus inermis Hedw.","370837","Rhacocarpus inermis","Rhacocarpaceae",,"Rhacocarpaceae","EN","Em Perigo"
"Dryadella kautskyi (Pabst) Luer","343615","Dryadella kautskyi","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Sinningia villosa Lindl.","333233","Sinningia villosa","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Alcantarea vinicolor (E. Pereira & Reitz) J. R. Grant","327169","Alcantarea vinicolor","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Centroglossa castellensis Brade","343229","Centroglossa castellensis","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Cylindrocolea rhizantha (Mont.) Schust.","363607","Cylindrocolea rhizantha","Cephaloziellaceae",,"Cephaloziellaceae","V","Vulnerável"
"Mollinedia glabra (Spreng.) Perkins","339497","Mollinedia glabra","Monimiaceae",,"Monimiaceae","EN","Em Perigo"
"Clusia marizii A. G. da Silva & B. Weinberg","326854","Clusia marizii","Clusiaceae",,"Clusiaceae","V","Vulnerável"
"Jacquinia  armillaris Jacq.","282233","Jacquinia armillaris","Primulaceae",,"Primulaceae","V","Vulnerável"
"Heterotaxis crassifolia Lindl.","318024","Heterotaxis crassifolia","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Elaphoglossum pteropus C. Chr.","347309","Elaphoglossum pteropus","Dryopteridaceae",,"Dryopteridaceae","V","Vulnerável"
"Staurogyne anigozanthus (Nees) Kuntze","369367","Staurogyne anigozanthus","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Rodrigueziopsis microphyta (Barb. Rodr.) Schltr.","345691","Rodrigueziopsis microphyta","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Cattleya labiata Lindl.","343204","Cattleya labiata","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Begonia ruschii L. Kollmann","326539","Begonia ruschii","Begoniaceae",,"Begoniaceae","CR","CriticamEm Perigote em Perigo"
"Oncidium gardneri Lindl.","347938","Oncidium gardneri","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Cochleanthes candida (Lindl.) R. E. Schult. & Garay","362266","Cochleanthes candida","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Vriesea appariciana E. Pereira & Reitz","328736","Vriesea appariciana","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Cryptanthus roberto-kautskyi Leme","327548","Cryptanthus roberto-kautskyi","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Sinningia valsuganensis Chautems","333229","Sinningia valsuganensis","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Tetrapterys lalandiana Adr. Juss.",,,,,,"V","Vulnerável"
"Ornithocephalus myrticola Lindl.","345011","Ornithocephalus myrticola","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Miltonia candida Lindl.","363462","Miltonia candida","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Meriania tetramera Wurdack","338229","Meriania tetramera","Melastomataceae",,"Melastomataceae","V","Vulnerável"
"Bradea anomala Brade","278675","Bradea anomala","Rubiaceae",,"Rubiaceae","CR","CriticamEm Perigote em Perigo"
"Brassia arachnoidea Barb. Rodr.","342901","Brassia arachnoidea","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Tabebuia arianeae A. H. Gentry  ","386927","Tabebuia arianeae","Bignoniaceae",,"Bignoniaceae","EN","Em Perigo"
"Vriesea debilis Leme","328827","Vriesea debilis","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Doliocarpus lancifolius Kubitzki","331481","Doliocarpus lancifolius","Dilleniaceae",,"Dilleniaceae","V","Vulnerável"
"Tillandsia segregata E. Pereira","328683","Tillandsia segregata","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Epidendrum coronatum Ruiz & Pav.  ","343773","Epidendrum coronatum","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Sphagnum pendulirameum Crum","363121","Sphagnum pendulirameum","Sphagnaceae",,"Sphagnaceae","V","Vulnerável"
"Dryadella espirito-santensis (Pabst) Luer","343608","Dryadella espirito-santensis","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
