"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Chelonia mydas (Linnaeus, 1758)","139646","Chelonia mydas","Cheloniidae","Animalia","Tartaruga-verde","VU","Vulnerável"
"Dysithamnus plumbeus (Wied, 1831)","168189","Dysithamnus plumbeus","Thamnophilidae",,"Choquinha-chumbo","EN","Em Perigo"
"Hornschuchia obliqua Maas & Setten","375906","Hornschuchia obliqua","Annonaceae",,"Hornschuchia obliqua","EN","Em Perigo"
"Lepidaploa almasensis (D.J.N.Hind) H.Rob.","312564","Lepidaploa almasensis","Asteraceae",,"Lepidaploa almasensis","CR","Criticamente em Perigo"
"Siphlophis pulcher (Raddi, 1820)","116695","Siphlophis pulcher","Dipsadidae",,,"EN","Em Perigo"
"Uromacerina ricardinii (Peracca, 1897)","116863","Uromacerina ricardinii","Dipsadidae",,,"VU","Vulnerável"
"Dioscorea macrothyrsa Uline","288596","Dioscorea macrothyrsa","Dioscoreaceae",,"Dioscorea macrothyrsa","VU","Vulnerável"
"Philcoxia bahiensis V.C.Souza & Harley","385690","Philcoxia bahiensis","Plantaginaceae",,"Philcoxia bahiensis","CR","Criticamente em Perigo"
"Chamaecrista amorimii Barneby","290720","Chamaecrista amorimii","Fabaceae",,"Chamaecrista amorimii","EN","Em Perigo"
"Marcetia viscida Wurdack","292739","Marcetia viscida","Melastomataceae",,"Marcetia viscida","VU","Vulnerável"
"Espostoopsis dybowskii (Rol.-Goss.) Buxb.","367724","Espostoopsis dybowskii","Cactaceae",,"Espostoopsis dybowskii","EN","Em Perigo"
"Dichorisandra conglomerata Aona & M.C.E.Amaral","284359","Dichorisandra conglomerata","Commelinaceae",,"Dichorisandra conglomerata","VU","Vulnerável"
"Sauvagesia insignis (Ule) Sastre","293610","Sauvagesia insignis","Ochnaceae",,"Sauvagesia insignis","EN","Em Perigo"
"Pouteria confusa Alves-Araújo & M. Alves","301328","Pouteria confusa","Sapotaceae",,"Pouteria confusa","EN","Em Perigo"
"Myrcia pseudomarlierea Sobral","292285","Myrcia pseudomarlierea","Myrtaceae",,"Myrcia pseudomarlierea","EN","Em Perigo"
"Aristolochia longispathulata F.González","284566","Aristolochia longispathulata","Aristolochiaceae",,"Aristolochia longispathulata","VU","Vulnerável"
"Callicebus barbarabrownae Hershkovitz, 1990","241155","Callicebus barbarabrownae","Pitheciidae",,"Guigó-da-caatinga","CR","Criticamente em Perigo"
"Mimagoniates sylvicola Menezes & Weitzman 1990","233170","Mimagoniates sylvicola","Characidae","Animalia","Piaba","EN","Em Perigo"
"Heteropterys andersonii Amorim","335893","Heteropterys andersonii","Malpighiaceae",,"Heteropterys andersonii","CR","Criticamente em Perigo"
"Paralychnophora patriciana D.J.N.Hind","285587","Paralychnophora patriciana","Asteraceae",,"Paralychnophora patriciana","EN","Em Perigo"
"Lepidocharax diamantina Ferreira, Menezes & Quagio-Grassioto 2011","233174","Lepidocharax diamantina","Characidae",,,"EN","Em Perigo"
"Picramnia coccinea W.W.Thomas","274678","Picramnia coccinea","Picramniaceae",,"Picramnia coccinea","EN","Em Perigo"
"Spirotheca elegans Carv.-Sobr., M.Machado & L.P.Queiroz","327353","Spirotheca elegans","Malvaceae",,"Spirotheca elegans","EN","Em Perigo"
"Gurania neei Gomes-Costa","347822","Gurania neei","Cucurbitaceae",,"Gurania neei","VU","Vulnerável"
