"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Trichilia florbranca T.D.Penn.","339258","Trichilia florbranca","Meliaceae",,"Trichilia florbranca","CR","Criticamente em Perigo"
"Algernonia pardina Croizat",,,,,,"VU","Vulnerável"
"Epinephelus itajara (Lichtenstein, 1822)","167054","Epinephelus itajara","Serranidae","Animalia","Mero","CR","Criticamente em Perigo"
"Ronnbergia neoregelioides Leme","328558","Ronnbergia neoregelioides","Bromeliaceae",,"Ronnbergia neoregelioides","EN","Em Perigo"
"Stylotrichium edmundoi G.M.Barroso","285878","Stylotrichium edmundoi","Asteraceae",,"Stylotrichium edmundoi","EN","Em Perigo"
"Persea glabra van der Werff","342490","Persea glabra","Lauraceae",,"Persea glabra","CR","Criticamente em Perigo"
"Ronnbergia silvana Leme","328560","Ronnbergia silvana","Bromeliaceae",,"Ronnbergia silvana","VU","Vulnerável"
"Calliandra ganevii Barneby","290595","Calliandra ganevii","Fabaceae",,"Calliandra ganevii","VU","Vulnerável"
"Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","333182","Senegalia ricoae","Fabaceae",,"Senegalia ricoae","VU","Vulnerável"
"Mimosa hirsuticaulis Harms","289530","Mimosa hirsuticaulis","Fabaceae",,"Mimosa hirsuticaulis","EN","Em Perigo"
"Carcharhinus plumbeus (Nardo, 1827)","254386","Carcharhinus plumbeus","Carcharhinidae","Animalia","Tubarão-galhudo","VU","Vulnerável"
"Lophiosilurus alexandri Steindachner 1876","206023","Lophiosilurus alexandri","Pseudopimelodidae","Animalia","Pacamã","VU","Vulnerável"
"Aechmea mollis L.B.Sm.B1035","326949","Aechmea mollis","Bromeliaceae",,"Aechmea mollis","VU","Vulnerável"
"Microlicia blanchetiana (Naudin) Cogn.","309275","Microlicia blanchetiana","Melastomataceae",,"Microlicia blanchetiana","VU","Vulnerável"
"Oocephalus halimifolius (Mart. ex Benth.) Harley & J.F.B.Pastore","394888","Oocephalus halimifolius","Lamiaceae",,"Oocephalus halimifolius","EN","Em Perigo"
"Melocactus azureus Buining & Brederoo","367858","Melocactus azureus","Cactaceae",,"Melocactus azureus","EN","Em Perigo"
"Charadrius wilsonia Ord, 1814","138976","Charadrius wilsonia","Charadriidae","Animalia","Batuíra-bicuda","EN","Em Perigo"
"Marcetia oxycoccoides Wurdack & A.B.Martins","292727","Marcetia oxycoccoides","Melastomataceae",,"Marcetia oxycoccoides","EN","Em Perigo"
"Guettarda paludosa Müll.Arg.","296084","Guettarda paludosa","Rubiaceae",,"Guettarda paludosa","CR","Criticamente em Perigo"
"Hypsolebias picturatus (Costa, 2000)","252431","Hypsolebias picturatus","Rivulidae","Animalia","Peixe-anual","VU","Vulnerável"
"Hippocampus aff. erectus Perry, 1810",,,,"Animalia","Cavalo-marinho","VU","Vulnerável"
"Epinephelus morio (Valenciennes, 1828)","167156","Epinephelus morio","Serranidae","Animalia","Garoupa","EN","Em Perigo"
"Negaprion brevirostris (Poey, 1868)","128096","Negaprion brevirostris","Carcharhinidae","Animalia","Tubarão-limão","VU","Vulnerável"
"Eremanthus hatschbachii H.Rob.","285255","Eremanthus hatschbachii","Asteraceae",,"Eremanthus hatschbachii","EN","Em Perigo"
"Maranta tuberculata L.Andersson","337344","Maranta tuberculata","Marantaceae",,"Maranta tuberculata","CR","Criticamente em Perigo"
"Calliandra stelligera Barneby","290682","Calliandra stelligera","Fabaceae",,"Calliandra stelligera","VU","Vulnerável"
"Lychnophora santosii H.Rob.","285430","Lychnophora santosii","Asteraceae",,"Lychnophora santosii","EN","Em Perigo"
"Inga aptera (Vinha) T.D.Penn.","290937","Inga aptera","Fabaceae",,"Inga aptera","VU","Vulnerável"
"Metastelma giuliettianum Fontella","307801","Metastelma giuliettianum","Apocynaceae",,"Metastelma giuliettianum","EN","Em Perigo"
"Pionus reichenowi Heine, 1844","175014","Pionus reichenowi","Psittacidae","Animalia","Maitaca-de-barriga-azul","VU","Vulnerável"
"Isurus paucus Guitart Manday, 1966","270421","Isurus paucus","Lamnidae",,"Anequim-preto","VU","Vulnerável"
"Cattleya aclandiae Lindl.","293817","Cattleya aclandiae","Orchidaceae",,"Cattleya aclandiae","VU","Vulnerável"
"Schaueria marginata Nees","283538","Schaueria marginata","Acanthaceae",,"Schaueria marginata","VU","Vulnerável"
"Cerdale fasciata Dawson, 1974","171880","Cerdale fasciata","Gobiidae","Animalia","Peixe-lombriga-listrado","EN","Em Perigo"
"Gomphrena nigricans Mart.","283729","Gomphrena nigricans","Amaranthaceae",,"Gomphrena nigricans","CR","Criticamente em Perigo"
"Pavonia longipedunculata Gürke","336740","Pavonia longipedunculata","Malvaceae",,"Pavonia longipedunculata","EN","Em Perigo"
"Hohenbergia lemei H.Luther & K.Norton","327789","Hohenbergia lemei","Bromeliaceae",,"Hohenbergia lemei","VU","Vulnerável"
"Aechmea echinata (Leme) Leme","326816","Aechmea echinata","Bromeliaceae",,"Aechmea echinata","EN","Em Perigo"
"Neoraputia calliantha Kallunki","389924","Neoraputia calliantha","Rutaceae",,"Neoraputia calliantha","EN","Em Perigo"
"Kolpotocheirodon figueiredoi Malabarba, Lima & Weitzman 2004","138756","Kolpotocheirodon figueiredoi","Characidae",,,"CR","Criticamente em Perigo"
"Erythroxylum petrae-caballi Plowman","332570","Erythroxylum petrae-caballi","Erythroxylaceae",,"Erythroxylum petrae-caballi","VU","Vulnerável"
"Matelea morilloana Fontella","284616","Matelea morilloana","Apocynaceae",,"Matelea morilloana","VU","Vulnerável"
"Iodopleura pipra (Lesson, 1831)","171889","Iodopleura pipra","Tityridae","Animalia","Anambezinho","VU","Vulnerável"
"Ocotea thinicola van der Werff et P.L.R. Moraes","387036","Ocotea thinicola","Lauraceae",,"Ocotea thinicola","VU","Vulnerável"
"Sotalia guianensis (van Bénéden, 1864)","236599","Sotalia guianensis","Delphinidae","Animalia","Boto-cinza","VU","Vulnerável"
"Scarus zelindae (Moura, Figueiredo & Sazima, 2001)","195429","Scarus zelindae","Labridae",,"Peixe-papagaio-banana","EN","Em Perigo"
"Anodorhynchus leari Bonaparte, 1856","238116","Anodorhynchus leari","Psittacidae",,"Arara-azul-de-lear","EN","Em Perigo"
"Chamaecrista depauperata Conc. et al.","314585","Chamaecrista depauperata","Fabaceae",,"Chamaecrista depauperata","EN","Em Perigo"
"Calyptommatus leiolepis Rodrigues, 1991","173064","Calyptommatus leiolepis","Gymnophthalmidae",,,"VU","Vulnerável"
"Marcetia shepherdii A.B.Martins","292730","Marcetia shepherdii","Melastomataceae",,"Marcetia shepherdii","EN","Em Perigo"
"Comanthera bahiensis (Moldenke) L.R.Parra & Giul.","392364","Comanthera bahiensis","Eriocaulaceae",,"Comanthera bahiensis","EN","Em Perigo"
"Xyris mertensiana Körn. ex Malme","298035","Xyris mertensiana","Xyridaceae",,"Xyris mertensiana","EN","Em Perigo"
"Eurolophosaurus divaricatus (Rodrigues, 1986)","178927","Eurolophosaurus divaricatus","Tropiduridae",,,"VU","Vulnerável"
"Dichorisandra ordinatiflora Aona & Faden","284349","Dichorisandra ordinatiflora","Commelinaceae",,"Dichorisandra ordinatiflora","VU","Vulnerável"
"Stachytarpheta lychnitis Mart.","297775","Stachytarpheta lychnitis","Verbenaceae",,"Stachytarpheta lychnitis","VU","Vulnerável"
"Chamaecrista compitalis (H.S.Irwin & Barneby) H.S.Irwin & Barneby","290745","Chamaecrista compitalis","Fabaceae",,"Chamaecrista compitalis","VU","Vulnerável"
"Thripophaga macroura (Wied, 1821)","137449","Thripophaga macroura","Furnariidae","Animalia","Rabo-amarelo","VU","Vulnerável"
"Melipona (Melipona) subnitida Ducke, 1910","195676","Melipona (Melipona) subnitida","Apidae","Animalia","Jandaíra","EN","Em Perigo"
"Scarus trispinosus (Valenciennes, 1840)","162948","Scarus trispinosus","Labridae","Animalia","Budião-azul","EN","Em Perigo"
"Eucidaris tribuloides (Lamarck, 1816)","115921","Eucidaris tribuloides","Cidaridae","Animalia","Ouriço-satélite","VU","Vulnerável"
"Sphyrna lewini (Griffith & Smith, 1834)","171151","Sphyrna lewini","Sphyrnidae","Animalia","Tubarão-martelo","CR","Criticamente em Perigo"
"Myrcia thomasii B.S.Amorim & A.R.Lourenço","337527","Myrcia thomasii","Myrtaceae",,"Myrcia thomasii","EN","Em Perigo"
"Cattleya kerrii Brieger & Bicalho","343200","Cattleya kerrii","Orchidaceae",,"Cattleya kerrii","EN","Em Perigo"
"Aylacostoma crenocarina (Moricand, 1841)","137958","Aylacostoma crenocarina","Thiaridae",,,"VU","Vulnerável"
"Bradypus torquatus Illiger, 1811","269621","Bradypus torquatus","Bradypodidae","Animalia","Preguiça-de-coleira","VU","Vulnerável"
"Physeter macrocephalus Linnaeus, 1758","268113","Physeter macrocephalus","Physeteridae",,"Cachalote","VU","Vulnerável"
"Manilkara multifida T.D.Penn.","280816","Manilkara multifida","Sapotaceae",,"Manilkara multifida","VU","Vulnerável"
"Comanthera curralensis (Moldenke) L.R.Parra & Giul.","392397","Comanthera curralensis","Eriocaulaceae",,"Comanthera curralensis","VU","Vulnerável"
"Schaueria pyramidalis A.L.A.Côrtes","347792","Schaueria pyramidalis","Acanthaceae",,"Schaueria pyramidalis","CR","Criticamente em Perigo"
"Andira marauensis N.F.Mattos","290453","Andira marauensis","Fabaceae",,"Andira marauensis","VU","Vulnerável"
"Chamaecrista botryoides Conc. et al.","314372","Chamaecrista botryoides","Fabaceae",,"Chamaecrista botryoides","EN","Em Perigo"
"Habeas corpus Simone, 2013","149163","Habeas corpus","Diplommatinidae",,,"VU","Vulnerável"
"Chamaecrista glaucofilix (H.S.Irwin & Barneby) H.S.Irwin & Barneby","314659","Chamaecrista glaucofilix","Fabaceae",,"Chamaecrista glaucofilix","EN","Em Perigo"
"Phyllomys lamarum (Thomas, 1916)","152706","Phyllomys lamarum","Echimyidae","Animalia","Rato-da-árvore","CR","Criticamente em Perigo"
"Pavonia macrobracteolata Gonçalez & M.C Duarte","359910","Pavonia macrobracteolata","Malvaceae",,"Pavonia macrobracteolata","CR","Criticamente em Perigo"
"Apostolepis gaboi Rodrigues, 1992","122807","Apostolepis gaboi","Dipsadidae",,,"EN","Em Perigo"
"Caretta caretta (Linnaeus, 1758)","139606","Caretta caretta","Cheloniidae","Animalia","Tartaruga-cabeçuda","EN","Em Perigo"
"Ituglanis cahyensis Sarmento-Soares, Martins-Pinheiro, Aranda & Chamon 2006","206310","Ituglanis cahyensis","Trichomycteridae",,,"EN","Em Perigo"
"Comanthera lanosa L.R.Parra & Giul.","391298","Comanthera lanosa","Eriocaulaceae",,"Comanthera lanosa","EN","Em Perigo"
"Portea alatisepala Philcox","328458","Portea alatisepala","Bromeliaceae",,"Portea alatisepala","VU","Vulnerável"
"Senecio almasensis Mattf.","285803","Senecio almasensis","Asteraceae",,"Senecio almasensis","CR","Criticamente em Perigo"
"Stachytarpheta guedesii S.Atkins","297759","Stachytarpheta guedesii","Verbenaceae",,"Stachytarpheta guedesii","VU","Vulnerável"
"Chamaecrista salvatoris (H.S.Irwin & Barneby) H.S.Irwin & Barneby","290782","Chamaecrista salvatoris","Fabaceae",,"Chamaecrista salvatoris","EN","Em Perigo"
"Cnidoscolus calyptrodontus Fern.Casas","357801","Cnidoscolus calyptrodontus","Euphorbiaceae",,"Cnidoscolus calyptrodontus","VU","Vulnerável"
"Dichorisandra interrupta Mart. ex Schultes f.","330192","Dichorisandra interrupta","Commelinaceae",,"Dichorisandra interrupta","VU","Vulnerável"
"Turnera albicans Urb.","282417","Turnera albicans","Turneraceae",,"Turnera albicans","EN","Em Perigo"
"Astropyga magnifica A.H. Clark, 1934","143093","Astropyga magnifica","Diadematidae","Animalia","Ouriço-gigante-do-caribe","VU","Vulnerável"
"Utricularia blanchetii A.DC.","291693","Utricularia blanchetii","Lentibulariaceae",,"Utricularia blanchetii","EN","Em Perigo"
"Coccocypselum bahiense C.B.Costa","366015","Coccocypselum bahiense","Rubiaceae",,"Coccocypselum bahiense","VU","Vulnerável"
"Thunnus obesus (Lowe, 1839)","196570","Thunnus obesus","Scombridae",,"Albacora-bandolim","VU","Vulnerável"
"Caaeteboia amarali (Wettstein, 1930)","149536","Caaeteboia amarali","Dipsadidae",,,"EN","Em Perigo"
"Acentronichthys leptos Eigenmann & Eigenmann 1889","112488","Acentronichthys leptos","Heptapteridae","Animalia","Bagre","EN","Em Perigo"
"Sporophila maximiliani (Cabanis, 1851)","170424","Sporophila maximiliani","Thraupidae","Animalia","Bicudo-verdadeiro","CR","Criticamente em Perigo"
"Aechmea discordiae Leme","326806","Aechmea discordiae","Bromeliaceae",,"Aechmea discordiae","VU","Vulnerável"
"Amphilophium perbracteatum A.H.Gentry","381663","Amphilophium perbracteatum","Bignoniaceae",,"Amphilophium perbracteatum","EN","Em Perigo"
"Anctus laminiferus (Ancey, 1888)","152671","Anctus laminiferus","Odontostomidae",,,"VU","Vulnerável"
"Xyris glochidiata Kral & L.B.Sm.","298012","Xyris glochidiata","Xyridaceae",,"Xyris glochidiata","VU","Vulnerável"
"Eugenia rosea DC.","309413","Eugenia rosea","Myrtaceae",,"Eugenia rosea","VU","Vulnerável"
"Trichechus manatus Linnaeus, 1758.","267761","Trichechus manatus","Trichechidae","Animalia","Peixe-boi-marinho","RE","Regionalmente Extinto"
"Oxyrhopus rhombifer Duméril, Bibron & Duméril, 1854","180807","Oxyrhopus rhombifer","Dipsadidae","Animalia","Cobra-Coral","EN","Em Perigo"
"Raddia angustifolia Soderstr. & Zuloaga","277774","Raddia angustifolia","Poaceae",,"Raddia angustifolia","CR","Criticamente em Perigo"
"Hypsolebias mediopapillatus (Costa, 2006)","189836","Hypsolebias mediopapillatus","Rivulidae",,"Peixe-anual","VU","Vulnerável"
"Araeococcus sessiliflorus Leme & J.A.Siqueira","327195","Araeococcus sessiliflorus","Bromeliaceae",,"Araeococcus sessiliflorus","VU","Vulnerável"
"Andreadoxa flava Kallunki","364843","Andreadoxa flava","Rutaceae",,"Andreadoxa flava","CR","Criticamente em Perigo"
"Trichanthecium noterophilum (Renvoize) Zuloaga & Morrone","335255","Trichanthecium noterophylum","Poaceae",,"Trichanthecium noterophylum","EN","Em Perigo"
"Aechmea turbinocalyx Mez","327064","Aechmea turbinocalyx","Bromeliaceae",,"Aechmea turbinocalyx","CR","Criticamente em Perigo"
"Microlicia morii Wurdack","292854","Microlicia morii","Melastomataceae",,"Microlicia morii","EN","Em Perigo"
"Passiflora igrapiunensis T.S.Nunes & L.P.Queiroz","381855","Passiflora igrapiunensis","Passifloraceae",,"Passiflora igrapiunensis","VU","Vulnerável"
"Metastelma harleyi Fontella","307805","Metastelma harleyi","Apocynaceae",,"Metastelma harleyi","EN","Em Perigo"
"Sinningia macrophylla (Nees & Mart.) Benth. & Hook. ex Fritsch","333172","Sinningia macrophylla","Gesneriaceae",,"Sinningia macrophylla","CR","Criticamente em Perigo"
"Philodryas aestiva (Duméril, Bibrón & Duméril, 1854)","122666","Philodryas aestiva","Dipsadidae","Animalia","Cobra-verde","EN","Em Perigo"
"Renvoizea sacciolepoides (Renvoize & Zuloaga) Zuloaga & Morrone","277825","Renvoizea sacciolepoides","Poaceae",,"Renvoizea sacciolepoides","EN","Em Perigo"
"Securidaca revoluta (A.W.Benn.) Marques","295603","Securidaca revoluta","Polygalaceae",,"Securidaca revoluta","VU","Vulnerável"
"Epidendrum garciae Pabst","343802","Epidendrum garciae","Orchidaceae",,"Epidendrum garciae","VU","Vulnerável"
"Neomarica eburnea A.Gil & M.C.E.Amaral","380174","Neomarica eburnea","Iridaceae",,"Neomarica eburnea","CR","Criticamente em Perigo"
"Eriope anamariae Harley","289948","Eriope anamariae","Lamiaceae",,"Eriope anamariae","EN","Em Perigo"
"Stylotrichium hortensiae V. Amorim & Roque","361900","Stylotrichium hortensiae","Asteraceae",,"Stylotrichium hortensiae","VU","Vulnerável"
"Calliandra geraisensis E.R.Souza & L.P.Queiroz","377960","Calliandra geraisensis","Fabaceae",,"Calliandra geraisensis","VU","Vulnerável"
"Canistrum camacaense Martinelli & Leme","327382","Canistrum camacaense","Bromeliaceae",,"Canistrum camacaense","EN","Em Perigo"
"Microlicia harleyi Wurdack","292830","Microlicia harleyi","Melastomataceae",,"Microlicia harleyi","EN","Em Perigo"
"Simopelta minima (Brandão, 1989)","261500","Simopelta minima","Formicidae","Animalia",,"CR (PEX)","Possivelmente Extinta"
"Stromanthe bahiensis Yosh.-Arns, Mayo & J.M.A. Braga","383326","Stromanthe bahiensis","Marantaceae",,"Stromanthe bahiensis","CR","Criticamente em Perigo"
"Vellozia caudata Mello-SilvaVellozia caudata Mello-Silva","297534","Vellozia caudata","Velloziaceae",,"Vellozia caudata","VU","Vulnerável"
"Angelonia verticillata Philcox","309698","Angelonia verticillata","Plantaginaceae",,"Angelonia verticillata","EN","Em Perigo"
"Lontra longicaudis Olfers, 1818","174453","Lontra longicaudis","Mustelidae","Animalia","Lontra, lontra neotropical, lobinho-de-rio, lontrinha","VU","Vulnerável"
"Marcetia formosa Wurdack","292691","Marcetia formosa","Melastomataceae",,"Marcetia formosa","EN","Em Perigo"
"Couepia bondarii Prance","286935","Couepia bondarii","Chrysobalanaceae",,"Couepia bondarii","EN","Em Perigo"
"Pyroderus scutatus (Shaw, 1792)","155655","Pyroderus scutatus","Cotingidae","Animalia","Pavão-do-mato","EN","Em Perigo"
"Alcantarea nahoumii (Leme) J.R.Grant","327143","Alcantarea nahoumii","Bromeliaceae",,"Alcantarea nahoumii","VU","Vulnerável"
"Oocephalus pauciflorus (Harley) Harley & J.F.B.Pastore","394895","Oocephalus pauciflorus","Lamiaceae",,"Oocephalus pauciflorus","EN","Em Perigo"
"Myrcia abrantea (O.Berg) E.Lucas & Sobral","291732","Myrcia abrantea","Myrtaceae",,"Myrcia abrantea","EN","Em Perigo"
"Inga conchifolia L.P.Queiroz","325912","Inga conchifolia","Fabaceae",,"Inga conchifolia","EN","Em Perigo"
"Tropidurus hygomi Reinhardt & Lütken, 1861","178783","Tropidurus hygomi","Tropiduridae",,,"VU","Vulnerável"
"Dichorisandra saxatilis Aona & M.C.E. Amaral","346899","Dichorisandra saxatilis","Commelinaceae",,"Dichorisandra saxatilis","EN","Em Perigo"
"Anctus angiostomus (Wagner, 1827)","119942","Anctus angiostomus","Odontostomidae",,,"VU","Vulnerável"
"Philodendron pachyphillum K.Krause","284188","Philodendron pachyphyllum","Araceae",,"Philodendron pachyphyllum","EN","Em Perigo"
"Heteropterys aliciae W.R.Anderson","292182","Heteropterys aliciae","Malpighiaceae",,"Heteropterys aliciae","CR","Criticamente em Perigo"
"Neomarica brachypus (Baker) Sprague","348170","Neomarica brachypus","Iridaceae",,"Neomarica brachypus","EN","Em Perigo"
"Apodanthera hindii C.Jeffrey","287790","Apodanthera hindii","Cucurbitaceae",,"Apodanthera hindii","VU","Vulnerável"
"Arrojadoa bahiensis (P.J. Braun & E. Esteves Pereira) N.P. Taylor & Eggli","367411","Arrojadoa bahiensis","Cactaceae",,"Arrojadoa bahiensis","EN","Em Perigo"
"Lychnophora regis H.Rob.","285424","Lychnophora regis","Asteraceae",,"Lychnophora regis","EN","Em Perigo"
"Lychnophora sericea D.J.N.Hind","285433","Lychnophora sericea","Asteraceae",,"Lychnophora sericea","CR","Criticamente em Perigo"
"Almeidea coerulea (Nees & Mart.) A.St.-Hil.","364819","Almeidea coerulea","Rutaceae",,"Almeidea coerulea","EN","Em Perigo"
"Microlicia petasensis Wurdack","309294","Microlicia petasensis","Melastomataceae",,"Microlicia petasensis","VU","Vulnerável"
"Discocactus zehntneri Britton & Rose","367662","Discocactus zehntneri","Cactaceae",,"Discocactus zehntneri","VU","Vulnerável"
"Chamaecrista anamariae Conc. et al.","314330","Chamaecrista anamariae","Fabaceae",,"Chamaecrista anamariae","EN","Em Perigo"
"Hypolytrum bahiense M. Alves & W.W. Thomas","331039","Hypolytrum bahiense","Cyperaceae",,"Hypolytrum bahiense","EN","Em Perigo"
"Spiripockia punctata Simone, 2012","150761","Spiripockia punctata","Pomatiopsidae",,,"VU","Vulnerável"
"Sporophila falcirostris (Temminck, 1820)","202499","Sporophila falcirostris","Thraupidae","Animalia","Cigarra-verdadeira","EN","Em Perigo"
"Lepidagathis cuneiformis Kameyama","369221","Lepidagathis cuneiformis","Acanthaceae",,"Lepidagathis cuneiformis","VU","Vulnerável"
"Trichomycterus rubbioli Bichuette & Rizzato, 2012","237221","Trichomycterus rubbioli","Trichomycteridae","Animalia","Bagrinho-de-cavernas","VU","Vulnerável"
"Amorimia candidae R.F.Almeida","357477","Amorimia candidae","Malpighiaceae",,"Amorimia candidae","EN","Em Perigo"
"Justicia antirrhina Nees & Mart.","283442","Justicia antirrhina","Acanthaceae",,"Justicia antirrhina","VU","Vulnerável"
"Oxyrhopus clathratus Duméril, Bibron & Duméril, 1854","180927","Oxyrhopus clathratus","Dipsadidae",,,"VU","Vulnerável"
"Marcetia alba Ule","292682","Marcetia alba","Melastomataceae",,"Marcetia alba","CR","Criticamente em Perigo"
"Dipsas sazimai Fernandes, Marques & Argôlo, 2010","243732","Dipsas sazimai","Dipsadidae",,,"VU","Vulnerável"
"Myrcia ramiflora Sobral, Rigueira & E.Lucas",,,,,,"EN","Em Perigo"
"Diospyros scottmorii B.Walln.","331730","Diospyros scottmorii","Ebenaceae",,"Diospyros scottmorii","EN","Em Perigo"
"Procnias nudicollis (Vieillot, 1817)","218493","Procnias nudicollis","Cotingidae","Animalia","Araponga","VU","Vulnerável"
"Abildgaardia papillosa Kral & M.T. Strong","308381","Abildgaardia papillosa","Cyperaceae",,"Abildgaardia papillosa","CR","Criticamente em Perigo"
"Hornschuchia polyantha Maas","375907","Hornschuchia polyantha","Annonaceae",,"Hornschuchia polyantha","VU","Vulnerável"
"Leopardus wiedii (Schinz, 1821)","131597","Leopardus wiedii","Felidae","Animalia","Gato-maracajá","EN","Em Perigo"
"Heterodactylus septentrionalis Rodrigues, Freitas & Silva, 2009","204575","Heterodactylus septentrionalis","Gymnophthalmidae",,,"CR","Criticamente em Perigo"
"Avicularia gamba Bertani & Fukushima, 2009",,,,"Animalia","Caranguejeira","CR","Criticamente em Perigo"
"Pavonia ciliata G.L.Esteves & Krapov.","336653","Pavonia ciliata","Malvaceae",,"Pavonia ciliata","CR","Criticamente em Perigo"
"Xyris lagoinhae Kral & L.B.Sm.","298026","Xyris lagoinhae","Xyridaceae",,"Xyris lagoinhae","VU","Vulnerável"
"Nyctibius leucopterus (Wied, 1821)","167805","Nyctibius leucopterus","Nyctibiidae","Animalia","Urutau-de-asa-branca","EN","Em Perigo"
"Geotrygon violacea (Temminck, 1809)","120025","Geotrygon violacea","Columbidae","Animalia","Juriti-vermelha","EN","Em Perigo"
"Renvoizea marauensis (Renvoize & Zuloaga) Zuloaga & Morrone","277820","Renvoizea marauensis","Poaceae",,"Renvoizea marauensis","EN","Em Perigo"
"Aechmea ampla L.B.Sm.","326684","Aechmea ampla","Bromeliaceae",,"Aechmea ampla","EN","Em Perigo"
"Pavonia sancti Krapov.","336778","Pavonia sancti","Malvaceae",,"Pavonia sancti","CR","Criticamente em Perigo"
"Tibouchina subglabra Wurdack","292966","Tibouchina subglabra","Melastomataceae",,"Tibouchina subglabra","EN","Em Perigo"
"Diandrolyra pygmaea Soderstr. & Zuloaga ex R.P. Oliveira & Clark","294883","Diandrolyra pygmaea","Poaceae",,"Diandrolyra pygmaea","EN","Em Perigo"
"Cambessedesia rupestris A.B.Martins","292643","Cambessedesia rupestris","Melastomataceae",,"Cambessedesia rupestris","EN","Em Perigo"
"Davilla bahiana Aymard","331417","Davilla bahiana","Dilleniaceae",,"Davilla bahiana","EN","Em Perigo"
"Erythroxylum membranaceum Plowman","332531","Erythroxylum membranaceum","Erythroxylaceae",,"Erythroxylum membranaceum","EN","Em Perigo"
"Culicivora caudacuta (Vieillot, 1818)","149252","Culicivora caudacuta","Tyrannidae","Animalia","Papa-moscas-do-campo","VU","Vulnerável"
"Rhamdiopsis krugi Bockmann & Castro, 2011","112229","Rhamdiopsis krugi","Heptapteridae","Animalia","Bagrinho-cego","VU","Vulnerável"
"Lychnophora morii H.Rob.","285416","Lychnophora morii","Asteraceae",,"Lychnophora morii","EN","Em Perigo"
"Pavonia ovaliphylla G.L.Esteves & Krapov.","336765","Pavonia ovaliphylla","Malvaceae",,"Pavonia ovaliphylla","CR","Criticamente em Perigo"
"Agrianthus carvalhoi D.J.N.Hind","378084","Agrianthus carvalhoi","Asteraceae",,"Agrianthus carvalhoi","VU","Vulnerável"
"Passiflora mucugeana T.S.Nunes & L.P.Queiroz","340156","Passiflora mucugeana","Passifloraceae",,"Passiflora mucugeana","EN","Em Perigo"
"Santosia talmonii R.M.King & H.Rob.","285783","Santosia talmonii","Asteraceae",,"Santosia talmonii","VU","Vulnerável"
"Conchocarpus dasyanthus Kallunki","365127","Conchocarpus dasyanthus","Rutaceae",,"Conchocarpus dasyanthus","VU","Vulnerável"
"Physeterostemon jardimii R.Goldenb. & Amorim","338769","Physeterostemon jardimii","Melastomataceae",,"Physeterostemon jardimii","EN","Em Perigo"
"Polygala chamaecyparis Chodat","332586","Polygala chamaecyparis","Polygalaceae",,"Polygala chamaecyparis","EN","Em Perigo"
"Veyretia sincorensis (Schltr.) Szlach.","294466","Veyretia sincorensis","Orchidaceae",,"Veyretia sincorensis","EN","Em Perigo"
"Eremocaulon asymmetricum (Soderstr. & Londoño) Londoño","276773","Eremocaulon asymmetricum","Poaceae",,"Eremocaulon asymmetricum","EN","Em Perigo"
"Sucrea monophylla Soderstr.",,,,,,"EN","Em Perigo"
"Microlicia oligochaeta Wurdack","322322","Microlicia oligochaeta","Melastomataceae",,"Microlicia oligochaeta","EN","Em Perigo"
"Hypsolebias carlettoi (Costa & Nielsen, 2004)","221412","Hypsolebias carlettoi","Rivulidae","Animalia","Peixe-das-nuvens","CR","Criticamente em Perigo"
"Licania lamentanda Prance","287176","Licania lamentanda","Chrysobalanaceae",,"Licania lamentanda","EN","Em Perigo"
"Utricularia parthenopipes P. Taylor","291711","Utricularia parthenopipes","Lentibulariaceae",,"Utricularia parthenopipes","EN","Em Perigo"
"Bertolonia alternifolia Baumgratz, Amorim & A.B. Jardim","301253","Bertolonia alternifolia","Melastomataceae",,"Bertolonia alternifolia","EN","Em Perigo"
"Lobatus goliath (Schroter, 1805)",,,,"Animalia","Búzio-de-chapéu","VU","Vulnerável"
"Myrcia teimosa Sobral","291643","Myrcia teimosa","Myrtaceae",,"Myrcia teimosa","EN","Em Perigo"
"Xyris rubromarginata Kral & L.B.Sm.","298070","Xyris rubromarginata","Xyridaceae",,"Xyris rubromarginata","VU","Vulnerável"
"Lepidochelys olivacea (Eschscholtz, 1829)","265273","Lepidochelys olivacea","Cheloniidae",,"Tartaruga-oliva","EN","Em Perigo"
"Mackenziaena severa (Lichtenstein, 1823)","136386","Mackenziaena severa","Thamnophilidae",,"Borralhara","VU","Vulnerável"
"Cambessedesia gracilis Wurdack","292630","Cambessedesia gracilis","Melastomataceae",,"Cambessedesia gracilis","EN","Em Perigo"
"Amphisbaena hastata Vanzolini, 1991","213661","Amphisbaena hastata","Amphisbaenidae","Animalia","Cobra-de-duas-cabeças","VU","Vulnerável"
"Spigelia flava Zappi & Harley","291791","Spigelia flava","Loganiaceae",,"Spigelia flava","VU","Vulnerável"
"Acritopappus morii R.M.King & H.Rob.","284691","Acritopappus morii","Asteraceae",,"Acritopappus morii","EN","Em Perigo"
"Ossaea consimilis D´El Rei Souza","338741","Ossaea consimilis","Melastomataceae",,"Ossaea consimilis","VU","Vulnerável"
"Phyllomyias griseocapilla Sclater, 1862","149238","Phyllomyias griseocapilla","Tyrannidae","Animalia","Piolhinho-serrano","EN","Em Perigo"
