"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Carcharhinus porosus","128532","Carcharhinus porosus","Carcharhinidae",,"Carcharhinidae","V","Vulnerável"
"Pouteria brevensis","368321","Pouteria brevensis","Sapotaceae",,"Sapotaceae","V","Vulnerável"
"Drymusa espelunca",,,,,,"EN","Em Perigo"
"Leila esula",,,,,,"V","Vulnerável"
"Jacaranda morii","386630","Jacaranda morii","Bignoniaceae",,"Bignoniaceae","V","Vulnerável"
"Liophis maryellenae",,,,,,"V","Vulnerável"
"Crenicichla cyclostoma","148843","Crenicichla cyclostoma","Cichlidae",,"Cichlidae","Criticamente em peri-","Criticamente em peri-"
"Qualea coerulea","298072","Qualea coerulea","Vochysiaceae",,"Vochysiaceae","V","Vulnerável"
"Phlegopsis nigromaculata paraensis","136402","Phlegopsis nigromaculata paraensis","Thamnophilidae",,"Thamnophilidae","EN","Em Perigo"
"Rubrepeira rubronigra","259857","Rubrepeira rubronigra","Araneidae",,"Araneidae","V","Vulnerável"
"Synallaxis rutilans omissa","231889","Synallaxis rutilans omissa","Furnariidae",,"Furnariidae","EN","Em Perigo"
"Threnetes leucurus","178407","Threnetes leucurus","Trochilidae",,"Trochilidae","EN","Em Perigo"
"Licania anneae","354939","Licania anneae","Chrysobalanaceae",,"Chrysobalanaceae","V","Vulnerável"
"Carcharinus signatus","128525","Carcharhinus signatus","Carcharhinidae",,"Carcharhinidae","V","Vulnerável"
"Galeandra curvifolia","362842","Galeandra curvifolia","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Taczanowskia trilobata","196632","Taczanowskia trilobata","Araneidae",,"Araneidae","V","Vulnerável"
"Drymusa tobyi","134262","Drymusa tobyi","Drymusidae",,"Drymusidae","V","Vulnerável"
"Eudolichotis lacerta","120053","Eudolichotis lacerta","Bulimulidae",,"Bulimulidae","EN","Em Perigo"
"Propyrrhura maracana",,,,,,"V","Vulnerável"
"Sphyrna tiburo","201983","Sphyrna tiburo","Sphyrnidae",,"Sphyrnidae","V","Vulnerável"
"Aspilia paraensis","282539","Aspilia paraensis","Asteraceae",,"Asteraceae","V","Vulnerável"
"Manilkara excelsa","368248","Manilkara excelsa","Sapotaceae",,"Sapotaceae","V","Vulnerável"
"Myrmecophaga tridactyla","127145","Myrmecophaga tridactyla","Myrmecophagidae",,"Myrmecophagidae","V","Vulnerável"
"Aratinga pintoi",,,,,,"V","Vulnerável"
"Ipomoea cavalcantei","284484","Ipomoea cavalcantei","Convolvulaceae",,"Convolvulaceae","EN","Em Perigo"
"Tabebuia impetiginosa","387037","Tabebuia impetiginosa","Bignoniaceae",,"Bignoniaceae","V","Vulnerável"
"Aspidosperma album","352065","Aspidosperma album","Apocynaceae",,"Apocynaceae","V","Vulnerável"
"Negaprion brevirostris","128096","Negaprion brevirostris","Carcharhinidae",,"Carcharhinidae","V","Vulnerável"
"Chiropotes satanas","113830","Chiropotes satanas","Pitheciidae",,"Pitheciidae","CR","Criticamente em Perigo"
