"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Galinago undulata","196299","Gallinago undulata","Scolopacidae",,"Scolopacidae","VU","Vulnerável","2011"
"Lasiurus egregius","151303","Lasiurus (Lasiurus) egregius","Vespertilionidae",,"Vespertilionidae","CR","Criticamente em perigo","2011"
"Sporophila falcirostris","202499","Sporophila falcirostris","Thraupidae","Animalia","Thraupidae","EN","Em Perigo","2011"
"Leucopternis lacernulatus",,,,,,"VU","Vulnerável","2011"
"Conirostrum bicolor","138885","Conirostrum bicolor","Thraupidae","Animalia","Thraupidae","VU","Vulnerável","2011"
"Parides bunichus chamisonia","225494","Parides bunichus chamissonia","Papilionidae",,"Papilionidae","VU","Vulnerável","2011"
"Luidia clathrata","203858","Luidia clathrata","Luidiidae",,"Luidiidae","VU","Vulnerável","2011"
"Eretmochelys imbricata","171196","Eretmochelys imbricata","Cheloniidae",,"Cheloniidae","CR","Criticamente em perigo","2011"
"Puma concolor","131593","Puma concolor","Felidae",,"Felidae","VU","Vulnerável","2011"
"Scleromystax macropterus","124116","Scleromystax macropterus","Callichthyidae",,"Callichthyidae","CR","Criticamente em perigo","2011"
"Cavia intermedia","255961","Cavia intermedia","Caviidae",,"Caviidae","CR","Criticamente em perigo","2011"
"Minyocerus angustus","265387","Minyocerus angustus","Porcellanidae",,"Porcellanidae","VU","Vulnerável","2011"
"Strix huhula","220284","Strix huhula","Strigidae",,"Strigidae","EN","Em Perigo","2011"
"Touit melanonotus","268953","Touit melanonotus","Psittacidae",,"Psittacidae","CR","Criticamente em perigo","2011"
"Hemitriccus diops","186466","Hemitriccus diops","Rhynchocyclidae",,"Rhynchocyclidae","EN","Em Perigo","2011"
"Phibalura flavirostris","249579","Phibalura flavirostris","Cotingidae",,"Cotingidae","EN","Em Perigo","2011"
"Cyanophrys bertha","267834","Cyanophrys bertha","Lycaenidae",,"Lycaenidae","EN","Em Perigo","2011"
"Tonatia bidens","267883","Tonatia bidens","Phyllostomidae",,"Phyllostomidae","CR","Criticamente em perigo","2011"
"Scytalopus iraiensis","150445","Scytalopus iraiensis","Rhinocryptidae",,"Rhinocryptidae","EN","Em Perigo","2011"
"Deuterodon longirostris","170033","Deuterodon longirostris","Characidae",,"Characidae","VU","Vulnerável","2011"
"Leurotrigona mueleri","164782","Leurotrigona muelleri","Apidae",,"Apidae","VU","Vulnerável","2011"
"Cuniculus paca","198749","Cuniculus paca","Cuniculidae",,"Cuniculidae","VU","Vulnerável","2011"
"Diomedea exulans","179986","Diomedea exulans","Diomedeidae",,"Diomedeidae","VU","Vulnerável","2011"
"Thalassarche melanophris","211183","Thalassarche melanophris","Diomedeidae",,"Diomedeidae","EN","Em Perigo","2011"
"Pampasatyrus glaucope glaucope","199954","Pampasatyrus glaucope glaucope","Nymphalidae",,"Nymphalidae","VU","Vulnerável","2011"
"Accipiter poliogaster","113751","Accipiter poliogaster","Accipitridae","Animalia","Accipitridae","CR","Criticamente em perigo","2011"
"Panulirus laevicauda","161902","Panulirus laevicauda","Palinuridae",,"Palinuridae","EN","Em Perigo","2011"
"Panthera onca","257864","Panthera onca","Felidae",,"Felidae","CR","Criticamente em perigo","2011"
"Astyanax ggenys",,,,,,"VU","Vulnerável","2011"
