"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Tibouchina aegopogon (Naudin) Cogn.","322474","Tibouchina aegopogon","Melastomataceae",,"Melastomataceae","EN","Em Perigo","2016"
"Schaefferia argentinensis Speg.","378958","Schaefferia argentinensis","Celastraceae",,"Celastraceae","CR","Criticamente em Perigo","2016"
"Pouteria glomerata (Miq.) Radlk.","280899","Pouteria glomerata","Sapotaceae",,"Sapotaceae","VU","Vulnerável","2016"
"Tillandsia linearis Vell.","328504","Tillandsia linearis","Bromeliaceae",,"Bromeliaceae","VU","Vulnerável","2016"
"Richardia schumannii W.H.Lewis & R.L.Oliv.","280027","Richardia schumannii","Rubiaceae",,"Rubiaceae","EX","Extinta","2016"
"Setaria parviflora var. pilosissima (Hack.) Pensiero","378629","Setaria parviflora var. pilosissima","Poaceae",,"Poaceae","EX","Extinta","2016"
"Campylopus thwaitesii (Mitt.) A.Jaeger","360527","Campylopus thwaitesii","Dicranaceae",,"Dicranaceae","VU","Vulnerável","2016"
"Heterocondylus lysimachioides (Chodat) R.M.King & H.Rob.","370670","Heterocondylus lysimachioides","Asteraceae",,"Asteraceae","EX","Extinta","2016"
"Axonopus ramboi G.A.Black","276187","Axonopus ramboi","Poaceae",,"Poaceae","EX","Extinta","2016"
"Gyptis vernoniopsis (Schultz-Bip. ex Baker) R.M.King & H.Rob.","389860","Gyptis vernoniopsis","Asteraceae",,"Asteraceae","EN","Em Perigo","2016"
"Linum littorale A.St.-Hil.","335131","Linum littorale","Linaceae",,"Linaceae","EN","Em Perigo","2016"
"Lulia nervosa (Less.) Zardini","337914","Lulia nervosa","Asteraceae",,"Asteraceae","EX","Extinta","2016"
"Vriesea pardalina Mez","329038","Vriesea pardalina","Bromeliaceae",,"Bromeliaceae","EX","Extinta","2016"
"Myrceugenia bracteosa (DC.) D.Legrand & Kausel","341043","Myrceugenia bracteosa","Myrtaceae",,"Myrtaceae","EN","Em Perigo","2016"
"Myrsine villosissima Mart.","339902","Myrsine villosissima","Primulaceae",,"Primulaceae","EN","Em Perigo","2016"
"Piptochaetium ruprechtianum Desv.","277728","Piptochaetium ruprechtianum","Poaceae",,"Poaceae","EX","Extinta","2016"
"Peperomia loefgrenii Yuncker","274911","Peperomia loefgrenii","Piperaceae",,"Piperaceae","EX","Extinta","2016"
"Callicostella microcarpa Ångström","361986","Callicostella microcarpa","Pilotrichaceae",,"Pilotrichaceae","EX","Extinta","2016"
"Miconia tentaculifera Naudin","338555","Miconia tentaculifera","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Paspalum stellatum Humb. & Bonpl. ex Flüggé","277656","Paspalum stellatum","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Dryadella lilliputiana (Cogn.) Luer","362465","Dryadella lilliputiana","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Nectandra paranaensis Coe-Teix.","290142","Nectandra paranaensis","Lauraceae",,"Lauraceae","VU","Vulnerável","2016"
"Schizocalyx cuspidatus (A.St.-Hil) Kainul. & B.Bremer","329659","Schizocalyx cuspidatus","Rubiaceae",,"Rubiaceae","VU","Vulnerável","2016"
"Aristida oligospira (Hack.) Henrard","294807","Aristida oligospira","Poaceae",,"Poaceae","EX","Extinta","2016"
"Psychotria loefgrenii Standl.","279857","Psychotria loefgrenii","Rubiaceae",,"Rubiaceae","EN","Em Perigo","2016"
"Cattleya guttata Lindl.","343192","Cattleya guttata","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Ocotea serrana Coe-Teix.","334770","Ocotea serrana","Lauraceae",,"Lauraceae","EN","Em Perigo","2016"
"Heisteria perianthomega (Vell.) Sleumer","342093","Heisteria perianthomega","Olacaceae",,"Olacaceae","EX","Extinta","2016"
"Sinningia warmingii (Hiern.) Chautems","333236","Sinningia warmingii","Gesneriaceae",,"Gesneriaceae","VU","Vulnerável","2016"
"Epidendrum saxatile Lindl.","343900","Epidendrum saxatile","Orchidaceae",,"Orchidaceae","EX","Extinta","2016"
"Passiflora setulosa Killip","274554","Passiflora setulosa","Passifloraceae",,"Passifloraceae","EW","EW","2016"
"Cedrela fissilis Vell.","339216","Cedrela fissilis","Meliaceae",,"Meliaceae","VU","Vulnerável","2016"
"Paspalum compressifolium Swallen","277467","Paspalum compressifolium","Poaceae",,"Poaceae","CR","Criticamente em Perigo","2016"
"Matelea glaziovii (E.Fourn.) Morillo","323540","Matelea glaziovii","Apocynaceae",,"Apocynaceae","VU","Vulnerável","2016"
"Viola gracillima A.St.-Hil.","283165","Viola gracillima","Violaceae",,"Violaceae","EX","Extinta","2016"
"Ipomoea acutisepala O'Donell","342150","Ipomoea acutisepala","Convolvulaceae",,"Convolvulaceae","VU","Vulnerável","2016"
"Paspalum arundinellum Mez","277445","Paspalum arundinellum","Poaceae",,"Poaceae","CR","Criticamente em Perigo","2016"
"Acroceras excavatum (Henrard) Zuloaga & Morrone","275795","Acroceras excavatum","Poaceae",,"Poaceae","VU","Vulnerável","2016"
"Alternanthera aquatica (D. Parodi) Chodat",,,,,,"VU","Vulnerável","2016"
"Cayaponia trilobata (Cogn.) Cogn.","284660","Cayaponia trilobata","Cucurbitaceae",,"Cucurbitaceae","VU","Vulnerável","2016"
"Paspalum usterii Hack.","277667","Paspalum usterii","Poaceae",,"Poaceae","EX","Extinta","2016"
"Diplasiolejeunea unidentata (Lehm. & Lindenb.) Schiffn.","364371","Diplasiolejeunea unidentata","Lejeuneaceae",,"Lejeuneaceae","EX","Extinta","2016"
"Leandra pauloensis Hoehne","383121","Leandra pauloensis","Melastomataceae",,"Melastomataceae","EX","Extinta","2016"
"Begonia paulensis A.DC.","326474","Begonia paulensis","Begoniaceae",,"Begoniaceae","VU","Vulnerável","2016"
"Alternanthera paronychioides A.St.-Hil.",,,,,,"EX","Extinta","2016"
"Axonopus uninodis (Hack.) G.A.Black","276200","Axonopus uninodis","Poaceae",,"Poaceae","EX","Extinta","2016"
"Nassella neesiana (Trin. & Rupr.) Barkworth","278097","Nassella neesiana","Poaceae",,"Poaceae","EX","Extinta","2016"
"Chascolytum itatiaiae (Ekman) Essi, Longhi-Wagner & Souza-Chies",,,,,,"CR","Criticamente em Perigo","2016"
"Zeyheria tuberculosa (Vell.) Bareau ex Verl.","387558","Zeyheria tuberculosa","Bignoniaceae",,"Bignoniaceae","VU","Vulnerável","2016"
"Genlisea aurea A.St.-Hil.","334999","Genlisea aurea","Lentibulariaceae",,"Lentibulariaceae","EN","Em Perigo","2016"
"Ocotea felix Coe-Teix.","334701","Ocotea felix","Lauraceae",,"Lauraceae","EN","Em Perigo","2016"
"Mollinedia salicifolia Perkins","339538","Mollinedia salicifolia","Monimiaceae",,"Monimiaceae","VU","Vulnerável","2016"
"Boopis itatiaiae Dusén","327545","Boopis itatiaiae","Calyceraceae",,"Calyceraceae","EN","Em Perigo","2016"
"Myrcia congestiflora Caliari & V.C.Souza","358676","Myrcia congestiflora","Myrtaceae",,"Myrtaceae","VU","Vulnerável","2016"
"Palicourea tetraphylla Cham. & Schltdl.","279702","Palicourea tetraphylla","Rubiaceae",,"Rubiaceae","VU","Vulnerável","2016"
"Sciaphila schwackeana Johow","376577","Sciaphila schwackeana","Triuridaceae",,"Triuridaceae","EN","Em Perigo","2016"
"Leandra sparsisetulosa Hoehne","338097","Leandra sparsisetulosa","Melastomataceae",,"Melastomataceae","EX","Extinta","2016"
