"id";"taxonID";"scientificName";"family";"taxonRank";"scientificNameAuthorship";"taxonomicStatus";"countryCode";"threatStatus"
"4349";"4349";"Griffinia parviflora";"AMARYLLIDACEAE";"species";"Ker Gawl.";"accepted";"BR";"CR"
"4350";"4350";"Griffinia paubrasilica";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"CR"
"40641";"40641";"Habranthus coeruleus";"AMARYLLIDACEAE";"species";"(Griseb.) Traub";"accepted";"BR";"VU"
"33469";"33469";"Habranthus irwinianus";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"VU"
"33479";"33479";"Hippeastrum angustifolium";"AMARYLLIDACEAE";"species";"Pax";"accepted";"BR";"VU"
"4357";"4357";"Hippeastrum brasilianum";"AMARYLLIDACEAE";"species";"(Traub & J.L.Doran) Dutilh";"accepted";"BR";"EN"
"4358";"4358";"Hippeastrum breviflorum";"AMARYLLIDACEAE";"species";"Herb.";"accepted";"BR";"EN"
"26367";"26367";"Hippeastrum goianum";"AMARYLLIDACEAE";"species";"(Ravenna) Meerow";"accepted";"BR";"EN"
"33499";"33499";"Hippeastrum leucobasis";"AMARYLLIDACEAE";"species";"(Ravenna) Dutilh";"accepted";"BR";"CR"
"33503";"33503";"Hippeastrum morelianum";"AMARYLLIDACEAE";"species";"Lem.";"accepted";"BR";"VU"
"4364";"4364";"Hippeastrum papilio";"AMARYLLIDACEAE";"species";"(Ravenna) Van Scheepen";"accepted";"BR";"CR"
"4365";"4365";"Hippeastrum psittacinum";"AMARYLLIDACEAE";"species";"Herb.";"accepted";"BR";"EN"
"33509";"33509";"Hippeastrum reginae";"AMARYLLIDACEAE";"species";"(L.) Herb.";"accepted";"BR";"EN"
"4368";"4368";"Hippeastrum santacatarina";"AMARYLLIDACEAE";"species";"(Traub) Dutilh";"accepted";"BR";"EN"
"4369";"4369";"Hippeastrum striatum";"AMARYLLIDACEAE";"species";"(Lam.) Moore";"accepted";"BR";"EN"
"33515";"33515";"Hippeastrum vittatum";"AMARYLLIDACEAE";"species";"(L'Hér.) Herb.";"accepted";"BR";"EN"
"40630";"40630";"Worsleya procera";"AMARYLLIDACEAE";"species";"(Lem.) Traub";"accepted";"BR";"EN"
"40638";"40638";"Zephyranthes brasiliensis";"AMARYLLIDACEAE";"species";"(Traub) Traub";"accepted";"BR";"VU"
"33560";"33560";"Zephyranthes candida";"AMARYLLIDACEAE";"species";"(Lindl.) Herb.";"accepted";"BR";"EN"
"4374";"4374";"Zephyranthes capivarina";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"VU"
"4378";"4378";"Zephyranthes paranaensis";"AMARYLLIDACEAE";"species";"Ravenna";"accepted";"BR";"EN"
"4393";"4393";"Myracrodruon balansae";"ANACARDIACEAE";"species";"(Engl.) Santin";"accepted";"BR";"EN"
"115528";"115528";"Schinopsis balansae";"ANACARDIACEAE";"species";"Engl.";"accepted";"BR";"EN"
"90594";"90594";"Anemia blechnoides";"ANEMIACEAE";"species";"J.Sm.";"accepted";"BR";"VU"
"90632";"90632";"Anemia dentata";"ANEMIACEAE";"species";"Gardner";"accepted";"BR";"VU"
"90617";"90617";"Anemia gardneri";"ANEMIACEAE";"species";"Hook.";"accepted";"BR";"VU"
"90664";"90664";"Anemia trichorhiza";"ANEMIACEAE";"species";"Gardner";"accepted";"BR";"VU"
"110251";"110251";"Annona maritima";"ANNONACEAE";"species";"(Záchia) H.Rainer";"accepted";"BR";"VU"
"110258";"110258";"Annona parviflora";"ANNONACEAE";"species";"(A.St.-Hil.) H.Rainer";"accepted";"BR";"EN"
"110259";"110259";"Annona pickelii";"ANNONACEAE";"species";"(Diels) H.Rainer";"accepted";"BR";"VU"
"110264";"110264";"Annona ubatubensis";"ANNONACEAE";"species";"(Maas & Westra) H.Rainer";"accepted";"BR";"EN"
"110326";"110326";"Duguetia magnolioidea";"ANNONACEAE";"species";"Maas";"accepted";"BR";"EN"
"110339";"110339";"Duguetia restingae";"ANNONACEAE";"species";"Maas";"accepted";"BR";"CR"
"110340";"110340";"Duguetia reticulata";"ANNONACEAE";"species";"Maas";"accepted";"BR";"EN"
"110349";"110349";"Duguetia scottmorii";"ANNONACEAE";"species";"Maas";"accepted";"BR";"CR"
"110351";"110351";"Duguetia sooretamae";"ANNONACEAE";"species";"Maas";"accepted";"BR";"EN"
"110466";"110466";"Hornschuchia alba";"ANNONACEAE";"species";"(A.St.-Hil.) R.E.Fr.";"accepted";"BR";"CR"
"110468";"110468";"Hornschuchia cauliflora";"ANNONACEAE";"species";"Maas & Setten";"accepted";"BR";"EN"
"110473";"110473";"Hornschuchia obliqua";"ANNONACEAE";"species";"Maas & Setten";"accepted";"BR";"EN"
"110535";"110535";"Trigynaea axilliflora";"ANNONACEAE";"species";"D.M.Johnson & N.A.Muray";"accepted";"BR";"CR"
"110537";"110537";"Trigynaea oblongifolia";"ANNONACEAE";"species";"Schltdl.";"accepted";"BR";"EN"
"110549";"110549";"Unonopsis riedeliana";"ANNONACEAE";"species";"R.E.Fr.";"accepted";"BR";"EN"
"102502";"102502";"Eryngium corallinum";"APIACEAE";"species";"Mathias & Constance";"accepted";"BR";"CR"
"102503";"102503";"Eryngium divaricatum";"APIACEAE";"species";"Hook. & Arn.";"accepted";"BR";"EN"
"102504";"102504";"Eryngium dorae";"APIACEAE";"species";"Norman";"accepted";"BR";"CR"
"102508";"102508";"Eryngium falcifolium";"APIACEAE";"species";"Irgang";"accepted";"BR";"EN"
"102510";"102510";"Eryngium koehneanum";"APIACEAE";"species";"Urb.";"accepted";"BR";"VU"
"102981";"102981";"Eryngium ombrophilum";"APIACEAE";"species";"Dusén & H.Wolff";"accepted";"BR";"EN"
"102512";"102512";"Eryngium ramboanum";"APIACEAE";"species";"Mathias & Constance";"accepted";"BR";"CR"
"26432";"26432";"Eryngium scirpinum";"APIACEAE";"species";"Cham.";"accepted";"BR";"EN"
"103055";"103055";"Eryngium smithii";"APIACEAE";"species";"Mathias & Constance";"accepted";"BR";"EN"
"103077";"103077";"Eryngium urbanianum";"APIACEAE";"species";"H.Wolff";"accepted";"BR";"EN"
"103078";"103078";"Eryngium zosterifolium";"APIACEAE";"species";"H.Wolff";"accepted";"BR";"VU"
"26440";"26440";"Klotzschia rhizophylla";"APIACEAE";"species";"Urb.";"accepted";"BR";"EN"
"103090";"103090";"Lilaeopsis brasiliensis";"APIACEAE";"species";"(Glaz.) Affolter";"accepted";"BR";"VU"
"4558";"4558";"Ditassa arianeae";"APOCYNACEAE";"species";"Fontella & E.A.Schwarz";"accepted";"BR";"EN"
