"family";"scientificName";"statusSource";"status";"list";"dispLegal"
"Poaceae";"Dichanthelium cabrerae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Peixotoa megalantha";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Peltogyne chrysopis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pseudabutilon pintoi";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gentianaceae";"Schultesia piresiana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Apostolepis arenarius";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rubiaceae";"Mitracarpus rigidifolius";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Hohenbergia correia-araujoi";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Calophyllaceae";"Kielmeyera itacarensis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lamiaceae";"Eriope confusa";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Turneraceae";"Turnera caatingana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bulimulidae";"Auris melanostoma";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rutaceae";"Conchocarpus racemosus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Eugenia itacarensis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Stigmaphyllon hispidum";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Flaematopus palliatus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Arecaceae";"Bactris soeiroana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Felidae";"Puma yagouaroundi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Verbenaceae";"Stachytarpheta froesii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Chamaecrista catolesensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Echimyidae";"Callistomys pictus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stylotrichium sucrei";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stylotrichium glomeratum";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Tityridae";"Laniisoma elegans";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Scarabaeidae";"Oxysternon (Pteroxysternon) pteroderum";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Parianella lanceolata";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stenophalium eriodes";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Araceae";"Anthurium talmonii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Cryptanthus ruthiae";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia pendula";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gymnophthalmidae";"Alexandresaurus camacan";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pavonia spiciformis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pseudobombax calcicola";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Diplopterys bahiana";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lamiaceae";"Eriope montana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Euphorbiaceae";"Algernonia bahiensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Aechmea andersoniana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Hohenbergia brachycephala";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Plinia rara";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lasiolaena morii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Fulcaldea stuessyi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Bunchosia itacarensis";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Mimosa mensicola";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Mussidae";"Mussismilia braziliensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Mycia trimera";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Menispermaceae";"Curarea crassa";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Rodriguesophis scriptorcibatus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lapidia apicifolia";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Araceae";"Anthurium zappiae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Thamnodynastes almae";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gymnophthalmidae";"Colobosauroides carvalhoi";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rhinocryptidae";"Merulaxis stresemanni";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Tibouchina luetzelburgii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Dasyphyllum diamantinense";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Plinia spiciflora";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gymnophthalmidae";"Anotosaura collaris";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Erythroxylaceae";"Erythroxylum compressum";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Microlicia pinheiroi";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Cyperaceae";"Hypolytrum jardimii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Xyridaceae";"Xyris amorimii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lychnophora harleyi";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Diplommatinidae";"Habeas data";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Verbenaceae";"Stachytarpheta ganevii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Loganiaceae";"Spigelia cremnophila";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Annonaceae";"Hornschuchia santosii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Marcetia luetzelburgii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Centrolenidae";"Vitreorana eurygnatha";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Convolvulaceae";"Evolvulus harleyi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Hylidae";"Phasmahyla timbo";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Marcetia lychnophoroides";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Velloziaceae";"Vellozia jolyi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Ochnaceae";"Sauvagesia paniculata";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lasiolaena carvalhoi";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Microlicia leucopetala";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia tetraphylla";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Neoregelia azevedoi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Miconia johnwurdackiana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Plinia muricata";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Agaricia humilis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Turneraceae";"Piriqueta douradinha";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Hoehnephytum almasense";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Marcetia grandiflora";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia tetraloba";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rhynchocyclidae";"Phylloscartes beckeri";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Ichnanthus robustus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Acanthaceae";"Herpetacanthus strongyloides";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Alvimia gracilis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Boraginaceae";"Varronia mayoi";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Tillandsia milagrensis";"En";"En";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gymnophthalmidae";"Leposoma sinepollex";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Orthophytum albopictum";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lamiaceae";"Eriope monticola";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Marantaceae";"Goeppertia orbifolia";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Lymania azurea";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bignoniaceae";"Handroanthus parviflorus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Turneraceae";"Turnera involucrata";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lentibulariaceae";"Genlisea exhibitionista";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lepidaploa bahiana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Echinanthera cephalostriata";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pavonia spectabilis";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Lamiaceae";"Oocephalus nubicola";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Parapiptadenia ilheusana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Olyra filiformis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Lavoisiera harleyi";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Verbenaceae";"Stachytarpheta glandulosa";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Acritopappus teixeirae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Raddia stolonifera";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Verbenaceae";"Lippia magentea";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Olyra latispicula";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Mussidae";"Mussismilia hartii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Syngnathidae";"Micrognathus erugatus";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Orchidaceae";"Gomesa gutfreundiana";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia mucugensis";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Bishopiella elegans";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Calophyllaceae";"Kielmeyera reticulata";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Renvoizea restingae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Iridaceae";"Neomarica portosecurensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Ophthalmolebias suzarti";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Aechmea weberi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Orthophytum amoenum";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Agrianthus giuliettiae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Moraceae";"Dorstenia contensis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gentianaceae";"Macrocarpaea illecebrosa";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Loganiaceae";"Strychnos alvimiana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Begoniaceae";"Begonia russelliana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Orchidaceae";"Cattleya grandis";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Stylotrichium corymbosum";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Sapindaceae";"Serjania bahiana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"";"Pachycondyla holmgreni";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia calyptranthoides";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Poaceae";"Eremitis parviflora";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Canistrum guzmanioides";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Bromeliaceae";"Hohenbergia pennae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Orchidaceae";"Bulbophyllum teimosense";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Piptadenia santosii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Commelinaceae";"Dichorisandra hirtella";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Cactaceae";"Micranthocereus flaviflorus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Chresta hatschbachii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Canavalia dolichothyrsa";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Thamnophilidae";"Dysithamnus plumbeus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Annonaceae";"Hornschuchia obliqua";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lepidaploa almasensis";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Siphlophis pulcher";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dipsadidae";"Uromacerina ricardinii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Dioscoreaceae";"Dioscorea macrothyrsa";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Plantaginaceae";"Philcoxia bahiensis";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Chamaecrista amorimii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Marcetia viscida";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Cactaceae";"Espostoopsis dybowskii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Commelinaceae";"Dichorisandra conglomerata";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Ochnaceae";"Sauvagesia insignis";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Sapotaceae";"Pouteria confusa";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia pseudomarlierea";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Aristolochiaceae";"Aristolochia longispathulata";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Pitheciidae";"Callicebus barbarabrownae";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malpighiaceae";"Heteropterys andersonii";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Paralychnophora patriciana";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Characidae";"Lepidocharax diamantina";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Picramniaceae";"Picramnia coccinea";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Spirotheca elegans";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Cucurbitaceae";"Gurania neei";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Porophyllum bahiense";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Cactaceae";"Pilosocereus glaucochrous";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gentianaceae";"Prepusa montana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Aquifoliaceae";"Ilex auricula";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Diplommatinidae";"Habeas priscus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Odontostomidae";"Cyclodontina tapuia";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Lasiolaena lychnophorioides";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Acanthaceae";"Pseuderanthemum albiflorum";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Marcetia eimeariana";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Eriocaulaceae";"Paepalanthus carvalhoi";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Iridaceae";"Trimezia caulosa";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Eremanthus leucodendron";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Eugenia lacistema";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia gigantea";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Begoniaceae";"Begonia umbraculifera";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Marantaceae";"Goeppertia rufibarba";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Procellariidae";"Pterodroma incerta";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Commelinaceae";"Dichorisandra jardimii";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Rubiaceae";"Standleya glomerulata";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia grazielae";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Amaryllidaceae";"Griffinia parviflora";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Trichomycteridae";"Microcambeva draco";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Acanthaceae";"Herpetacanthus tetrandrus";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Oxalidaceae";"Oxalis alvimii";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Penaeidae";"Xiphopenaeus kroyeri";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Fabaceae";"Chamaecrista arboae";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Cactaceae";"Melocactus glaucescens";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Araceae";"Anthurium bromelicola subsp. bahiense";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Gymnophthalmidae";"Leposoma puk";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Morithamnus crassus";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Malvaceae";"Pachira moreirae";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Asteraceae";"Semiria viscosa";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Convolvulaceae";"Evolvulus gnaphalioides";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Araceae";"Anthurium ensifolium";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Orchidaceae";"Cyclopogon eldorado";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia stigmatosa";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Ochnaceae";"Ouratea rotundifolia";"Em Perigo";"EN";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Melastomataceae";"Microlicia flavovirens";"Vulnerável";"VU";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
"Myrtaceae";"Myrcia serrana";"Criticamente em Perigo";"CR";"Lista Flora Ameacada Bahia";"Portaria SEMA-BA 40/2017"
