"family";"scientificName";"statusSource";"status";"list";"dispLegal"
"Tityridae";"Pachyramphus marginatus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Crenuchidae";"Characidium schubarti";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Megasoma actaeon";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Scolopacidae";"Gallinago undulata";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Entomobryidae";"Seira atrolutea";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pomacanthidae";"Holacanthus ciliaris";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Diplodon rotundus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cracidae";"Aburria jacutinga";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pipridae";"Antilophia galeata";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cricetidae";"Euryoryzomys russatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Psittacidae";"Primolius maracana";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Ardeidae";"Pilherodius pileatus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Molossus cf.";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Felidae";"Leopardus tigrinus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Trochilidae";"Polytmus guainumbi";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Neothraupis fasciata";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Nymphalidae";"Actinote zikani";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Tonnidae";"Tonna galea";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Rallidae";"Fulica armillata";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Scombridae";"Sarda sarda";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Echinasteridae";"Echinaster (Othilia) brasiliensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Sciaenidae";"Menticirrhus americanus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Ischnocnema hoehnei";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Embernagra platensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
