"familia";"nome_cientifico";"status_conservacao";"codStatus";"fonte";"lista";"dispositivo_legal";"CITES";"taxonomicStatus";"nomenclaturalStatus";"acceptedNameUsage"
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Cedrela odorata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Centrolobium paraensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";NA;NA;NA
"Fabaceae";"Centrosema carajasense";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Centrosema carajasense";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Dicypellium caryophyllaceum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Dicypellium caryophyllaceum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Erythroxylaceae";"Erythroxylum nelsonrosae";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";NA;NA;NA
"Lecythidaceae";"Eschweilera piresii ssp. piresii";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";NA;NA;NA
"Lecythidaceae";"Eschweilera subcordata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Euxylophora paraensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Euxylophora paraensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Euxylophora paraensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Euxylophora paraensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lecythidaceae";"Gustavia erythrocarpa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Hymenolobium excelsum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Hymenolobium excelsum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Hymenolobium excelsum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
"Convolvulaceae";"Ipomoea carajasensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"";NA
