"Familia";"Nome_Cientifico";"Categoria";"Cod.";"Fonte";"Lista";"Dispositivo_Legal"
"AMARANTHACEAE";"Gomphrena paranensis";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARANTHACEAE";"Gomphrena regeliana";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Griffinia nocturna";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Griffinia paubrasilica";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Habranthus coeruleus";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Hippeastrum goianum";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Hippeastrum leucobasis";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Worsleya procera";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Zephyranthes brasiliensis";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Zephyranthes capivarina";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"AMARYLLIDACEAE";"Zephyranthes paranaensis";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANACARDIACEAE";"Schinopsis balansae";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANEMIACEAE";"Anemia blechnoides";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANEMIACEAE";"Anemia dentata";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANEMIACEAE";"Anemia gardneri";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANNONACEAE";"Annona parviflora";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANNONACEAE";"Annona pickelii";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANNONACEAE";"Hornschuchia alba";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANNONACEAE";"Trigynaea axilliflora";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"ANNONACEAE";"Unonopsis riedeliana";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APIACEAE";"Eryngium ombrophilum";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APIACEAE";"Klotzschia rhizophylla";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APIACEAE";"Lilaeopsis brasiliensis";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Ditassa maricaensis";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Gonolobus dorothyanus";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Gyrostelma bornmuelleri";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Gyrostelma oxypetaloides";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Jobinia hatschbachii";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Marsdenia otoniensis";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Matelea bahiensis";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Matelea hatschbachii";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Minaria harleyi";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
"APOCYNACEAE";"Minaria refractifolia";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014"
