"nome_cientifico";"status_conservacao";"fonte";"lista";"dispositivo_legal"
"Microlicia subalata";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Serjania magnistipulata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Phanera carvalhoi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Conchocarpus concinnus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Neoregelia longisepala";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Tropidurus mucujensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Calliandra semisepulta";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Turnera marmorata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Erythroxylum leal-costae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vitex martii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oocephalus tenuithyrsus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia gerleniae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Inga pedunculata";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Croton seminudus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Cnidoscolus byssinus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ronnbergia carvalhoi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Diplusodon bahiensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xyris fibrosa";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aeschynomene soniae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Evolvulus delicatus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Philodendron williansii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dahlstedtia bahiana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lychnophora jeffreyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mcvaughia bahiana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chaptalia chapadensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Anthurium radicans";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Agrianthus luetzelburgii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Tibouchina carvalhoi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia sulfurea";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oocephalus ganevii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Orthophytum ophiuroides";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Micranthocereus polyanthus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Baccharis orbiculata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Neoregelia crispata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia luetzelburgii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Janusia christianeae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Tropidodryas serra";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Cuphea bahiensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stigmaphyllon harleyi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Apochloa animara";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bauhinia integerrima";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vernonanthura fagifolia";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Heteropterys sanctorum";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia carvalhoi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Begonia subacida";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eplingiella brightoniae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Orthophytum riocontense";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia rubriphylla";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lippia morii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bothrops jararacussu";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea paradoxa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista amabilis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Alvimia lancifolia";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Melocactus pachyacanthus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Actinocephalus ochrocephalus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Senegalia santosii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Neoregelia kerryi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eriope obovata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Goeppertia brevipes";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Parianella carvalhoi";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Orthophytum harleyi";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pseudiris speciosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea disjuncta";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista coradinii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia catolensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Handroanthus grandiflorus";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Encyclia unaensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Rayleya bahiensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista onusta";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stachytarpheta tuberculata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ameivula sp.";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vellozia canelinha";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Barbacenia contasana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lippia insignis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ocotea sperata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Schwenckia hyssopifolia";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Faramea bicolor";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia lughadhae";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Begonia epibaterium";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Begonia goldingiana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Strychnos setosa";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Acritopappus pintoi";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lasiolaena blanchetii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Jacquemontia macrocalyx";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Canistrum montanum";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Arberella bahiensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Calliandra paganuccii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vellozia furcata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Duguetia restingae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Manilkara decrescens";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia strictiflora";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Helicteres biflexa";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Kielmeyera cuspidata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Sparattosperma catingae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Senegalia olivensana";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Conchocarpus hamadryadicus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dichanthelium adenorhachis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ayenia hirta";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gaylussacia harleyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Acanthosyris paulo-alvinii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mansoa ivanii";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mimosa polydidyma";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Trichogonia tombadorensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ameivula mumbuca";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Alternanthera multicaulis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Parinari alvimii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oocephalus rigens";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia cataphyllata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gomphrena chrestoides";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Bothrops bilineatus";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ouratea longipes";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ara chloropterus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Peixotoa sericea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Arrojadoa marylaniae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Raddia distichophylla";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Calliandra involuta";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hornschuchia cauliflora";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia goetheoides";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Couepia longipetiolata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Heteropterys conformis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gurania wawrei";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea digitata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hohenbergia castellanosii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Erythroxylum mattos-silvae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Acritopappus prunifolius";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Piriqueta asperifolia";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hirtella prancei";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Tibouchina tomentulosa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Koellensteinia spiralis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ilex mucugensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eriotheca dolichopoda";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xyris morii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lippia bromleyana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eugenia azuruensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Croton thomasii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Licania bahiensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Olyra bahiensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eschweilera tetrapetala";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vriesea exaltata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xyris phaeocephala";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chusquea clemirae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Verbesina luetzelburgii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Otophidium chickcharney";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dimerostemma episcopale";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mikania santosii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marlierea lealcostae";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Heteropterys jardimii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Passiflora timböensis";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Orthophytum rubrum";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Hibiscus peterianus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Senecio harleyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia sincorensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eugenia fissurata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Comanthera harleyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Psidium ganevii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ipomoea ana-mariae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stilpnopappus semirianus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gaya dentata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia morii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eleocharis obpyriformis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Banisteriopsis quadriglandula";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xyris picea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Inga pleiogyna";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea andersonii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pagamea harleyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Physeterostemon fiaschii";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Symplocos rhamnifolia";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mezilaurus revolutifolia";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dichorisandra leucophthalmos";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Duguetia magnolioidea";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Psilodon xerophylicum";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mandevilla eximia";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Stachytarpheta arenaria";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Diplusodon argyrophyllus";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Spigelia kuhlmannii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Phyllanthus gongyloides";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Adamantinia miltonioides";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Verbesina baccharifolia";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Piresia palmula";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia semiserrata";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea ramusculosa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vriesea maculosa";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ameivula cyanura";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Erythroxylum longisetulosum";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Myrcia pseudovenulosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Piriqueta nanuzae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Dichorisandra bahiensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Inga grazielae";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Calliandra debilis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chusquea mirabilis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eugenia indistincta";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lymania globosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Connarus portosegurensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Byttneria cristobaliana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microstachys revoluta";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Duguetia scottmorii";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia crispa";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Pavonia paucidentata";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ophthalmolebias perpendiculares";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Microlicia plumosa";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Colicodendron martianum";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Schultesia irwiniana";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Ischnocnema verrucosa";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Mandevilla hatschbachii";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Xyris membranibracteata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Vriesea pseudoligantha";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Gomphrena hatschbachiana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Emmotum harleyi";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Iridopelma katiae";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Acritopappus catolesensis";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Sphaenorhynchus bromelicola";"Criticamente em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Lymania brachycaulis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Heteropterys bullata";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aphelandra phrynioides";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Chamaecrista punctulifera";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Salzmannia arborea";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Laniocera hypopyrra";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Neomarica unca";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Araeococcus montanus";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Marcetia bahiana";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Licania santosii";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Eriotheca bahiensis";"Em Perigo";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Aechmea canaliculata";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Portea grandiflora";"Vulnerável";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017"
"Oncidium schwambachii";"Vulnerável";"ES";"Lista Flora Ameaçada Espirito Santo";"Decreto Estadual 1499-R"
